# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 82020
  1 0.025 4126.06 299.853
  2 0.075 3997.72 301.51
  3 0.125 4084.83 299.992
  4 0.175 4081.22 298.963
  5 0.225 4105.7 300.976
  6 0.275 4164.42 300.884
  7 0.325 4082.96 300.948
  8 0.375 4122.56 299.955
  9 0.425 4058.45 298.433
  10 0.475 4231.83 299.144
  11 0.525 4020.07 298.073
  12 0.575 4130.24 299.423
  13 0.625 4133.45 299.537
  14 0.675 4036.1 299.428
  15 0.725 4156.57 298.321
  16 0.775 4030.16 300.793
  17 0.825 4072.52 300.345
  18 0.875 4117.16 299.988
  19 0.925 4084.06 300.723
  20 0.975 4183.92 302.159
12000 20 82020
  1 0.025 4124.54 300.391
  2 0.075 4054.39 300.227
  3 0.125 4065.49 299.631
  4 0.175 4098.06 300.919
  5 0.225 4099.58 300.832
  6 0.275 4172.6 300.16
  7 0.325 4089.04 302.471
  8 0.375 4133.98 298.522
  9 0.425 4060.74 299.469
  10 0.475 4240.97 298.509
  11 0.525 3997.2 297.22
  12 0.575 4139.74 297.93
  13 0.625 4128.47 300.086
  14 0.675 4030.27 299.405
  15 0.725 4139.63 302.268
  16 0.775 4037.85 301.849
  17 0.825 4038.03 299.968
  18 0.875 4123.21 300.93
  19 0.925 4078.21 300.62
  20 0.975 4168 300.482
13000 20 82019.99999999999
  1 0.025 4133.88 298.81
  2 0.075 4039.38 297.228
  3 0.125 4064.29 299.387
  4 0.175 4063.56 300.846
  5 0.225 4123.57 300.067
  6 0.275 4141.71 303.144
  7 0.325 4080.3 300.98
  8 0.375 4119.59 298.693
  9 0.425 4057.78 297.801
  10 0.475 4229.8 297.943
  11 0.525 4030.46 297.385
  12 0.575 4106.5 298.519
  13 0.625 4146.28 299.594
  14 0.675 4036.33 301.791
  15 0.725 4143.03 300.863
  16 0.775 4062.16 300.528
  17 0.825 4064.52 301.244
  18 0.875 4127.26 301.334
  19 0.925 4078.98 300.564
  20 0.975 4170.62 302.729
14000 20 82020
  1 0.025 4131.08 301.261
  2 0.075 4036.28 297.82
  3 0.125 4068.51 298.9
  4 0.175 4059.29 302.277
  5 0.225 4111.88 300.646
  6 0.275 4176.01 300.806
  7 0.325 4073.54 301.312
  8 0.375 4137.96 298.501
  9 0.425 4063.14 300.346
  10 0.475 4242.9 297.605
  11 0.525 4022.12 295.802
  12 0.575 4121.49 297.554
  13 0.625 4154.37 298.189
  14 0.675 4028.83 300.314
  15 0.725 4132.34 300.944
  16 0.775 4040.5 302.12
  17 0.825 4074.2 301.06
  18 0.875 4102.65 300.754
  19 0.925 4083.63 299.537
  20 0.975 4159.28 300.01
15000 20 82020
  1 0.025 4133.5 299.485
  2 0.075 4047.34 300.67
  3 0.125 4056.36 298.991
