# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 82019.99999999999
  1 0.025 4060.37 303.736
  2 0.075 4087.76 299.537
  3 0.125 4143.01 300.748
  4 0.175 4074.24 297.964
  5 0.225 4063.92 299.188
  6 0.275 4141.54 298.061
  7 0.325 4066.69 302.955
  8 0.375 4104.58 302.982
  9 0.425 4098.2 302.945
  10 0.475 4086.89 299.916
  11 0.525 4096.59 301.482
  12 0.575 4057.1 299.547
  13 0.625 4145.33 297.176
  14 0.675 4067.93 296.005
  15 0.725 4081.15 299.35
  16 0.775 4124.67 298.137
  17 0.825 4139.19 297.106
  18 0.875 4231.8 298.487
  19 0.925 4015.34 301.151
  20 0.975 4133.7 303.034
12000 20 82020.00000000001
  1 0.025 4042.17 304.629
  2 0.075 4077.53 300.652
  3 0.125 4110.18 297.883
  4 0.175 4073.64 297.859
  5 0.225 4092.13 298.74
  6 0.275 4136.49 299.046
  7 0.325 4071.08 303.287
  8 0.375 4097.19 302.718
  9 0.425 4097.71 304.454
  10 0.475 4093.88 299.766
  11 0.525 4098.07 300.466
  12 0.575 4067.58 299.421
  13 0.625 4165.22 296.661
  14 0.675 4052.74 294.9
  15 0.725 4108.16 300.397
  16 0.775 4119.3 300.624
  17 0.825 4144.66 297.687
  18 0.875 4237.28 300.433
  19 0.925 4007.94 300.237
  20 0.975 4127.05 301.133
13000 20 82020
  1 0.025 4060.71 303
  2 0.075 4075.72 301.153
  3 0.125 4128.03 298.193
  4 0.175 4087.33 297.601
  5 0.225 4066.32 300.165
  6 0.275 4147.76 300.042
  7 0.325 4085.49 301.682
  8 0.375 4091.03 303.105
  9 0.425 4121.8 303.902
  10 0.475 4074.71 299.109
  11 0.525 4086.93 300.325
  12 0.575 4059.68 297.706
  13 0.625 4163.01 297.818
  14 0.675 4072.86 297.28
  15 0.725 4105.83 296.797
  16 0.775 4112.91 300.425
  17 0.825 4115.47 299.419
  18 0.875 4236.29 299.2
  19 0.925 4000.09 301.783
  20 0.975 4128.03 301.43
14000 20 82019.99999999999
  1 0.025 4062.98 302.443
  2 0.075 4077.03 299.983
  3 0.125 4136.86 300.149
  4 0.175 4076.57 299.647
  5 0.225 4065.34 299.737
  6 0.275 4160.07 301.583
  7 0.325 4067.26 303.894
  8 0.375 4086.44 304.999
  9 0.425 4107.04 304.195
  10 0.475 4099.37 297.332
  11 0.525 4058.93 296.874
  12 0.575 4069.47 297.426
  13 0.625 4159.28 296.983
  14 0.675 4072.46 298.895
  15 0.725 4087.22 297.54
  16 0.775 4133.07 298.343
  17 0.825 4132.79 298.19
  18 0.875 4220.65 300.634
  19 0.925 4011.4 302.476
  20 0.975 4135.77 302.156
15000 20 82020
  1 0.025 4056.52 303.005
  2 0.075 4087.17 301.973
  3 0.125 4121.92 301.314
  4 0.175 4051.69 299.663
  5 0.225 4087.39 297.506
  6 0.275 4138.66 303.946
  7 0.325 4078.45 302.325
  8 0.375 4115.55 301.97
  9 0.425 4089.07 303.511
  10 0.475 4103.5 299.388
  11 0.525 4088.77 296.086
  12 0.575 4073.23 297.374
  13 0.625 4143.82 298.603
  14 0.675 4069.52 298.288
  15 0.725 4099.34 298.64
  16 0.775 4115.45 299.759
  17 0.825 4134.76 297.406
  18 0.875 4210.65 300.041
  19 0.925 4028.07 298.812
  20 0.975 4126.47 302.544
16000 20 82020
  1 0.025 4046.88 301.381
  2 0.075 4064.79 301.327
  3 0.125 4143.74 303.652
  4 0.175 4053.91 302.493
  5 0.225 4109.26 298.763
  6 0.275 4142.5 302.195
  7 0.325 4087.19 302.817
  8 0.375 4100.33 303.61
  9 0.425 4114.02 299.249
  10 0.475 4078.4 297.96
  11 0.525 4092.67 294.606
  12 0.575 4066.92 298.234
  13 0.625 4158.84 297.893
  14 0.675 4079.93 297.562
  15 0.725 4087.69 298.003
  16 0.775 4110.2 299.536
  17 0.825 4124.67 299.035
  18 0.875 4223.93 300.032
  19 0.925 4022.53 300.433
  20 0.975 4111.6 301.017
17000 20 82020
  1 0.025 4042.07 300.13
  2 0.075 4106.92 303.8
  3 0.125 4127.54 304.399
  4 0.175 4055.11 303.339
  5 0.225 4069.71 299.858
  6 0.275 4171.75 301.377
  7 0.325 4055.22 302.317
  8 0.375 4121 303.348
  9 0.425 4103.86 301.405
  10 0.475 4071.93 298.969
  11 0.525 4084.23 293.978
  12 0.575 4063.22 296.359
  13 0.625 4154.6 297.604
  14 0.675 4061.92 298.759
  15 0.725 4089.5 298.03
  16 0.775 4132.38 299.729
  17 0.825 4128.98 300.098
  18 0.875 4207.44 299.175
  19 0.925 4045.14 299.481
  20 0.975 4127.48 300.09
18000 20 82019.99999999999
  1 0.025 4083.64 301.099
  2 0.075 4064 303.446
  3 0.125 4139.74 302.611
  4 0.175 4039.71 300.687
  5 0.225 4071.17 301.232
  6 0.275 4155.96 300.764
  7 0.325 4072.99 302.32
  8 0.375 4116.64 303.47
  9 0.425 4098.25 299.141
  10 0.475 4095.27 296.915
  11 0.525 4095.27 294.705
  12 0.575 4059.09 298.399
  13 0.625 4171.4 299.942
  14 0.675 4061.12 297.49
  15 0.725 4094.21 297.752
  16 0.775 4146.75 299.067
  17 0.825 4119.23 299.617
  18 0.875 4212.24 297.089
  19 0.925 4027.89 302.714
  20 0.975 4095.43 302.824
19000 20 82020.00000000001
  1 0.025 4053.28 301.356
  2 0.075 4095.16 304.587
  3 0.125 4135.49 301.84
  4 0.175 4046.41 302.086
  5 0.225 4084.5 301.592
  6 0.275 4138.98 301.811
  7 0.325 4057.48 302.361
  8 0.375 4143.1 299.483
  9 0.425 4092.04 298.785
  10 0.475 4098.04 294.918
  11 0.525 4099.36 295.519
  12 0.575 4047.55 297.972
  13 0.625 4133.61 298.807
  14 0.675 4069.51 297.917
  15 0.725 4100.58 297.604
  16 0.775 4131.5 300.377
  17 0.825 4127.29 298.729
  18 0.875 4220.33 298.167
  19 0.925 4028.46 301.645
  20 0.975 4117.33 303.131
20000 20 82020
  1 0.025 4077.59 300.783
  2 0.075 4081.82 305.159
  3 0.125 4123.52 303.101
  4 0.175 4064.83 303.081
  5 0.225 4091.37 300.284
  6 0.275 4111.22 302.996
  7 0.325 4076.32 301.802
  8 0.375 4132.68 302.139
  9 0.425 4092.59 298.525
  10 0.475 4107.76 295.432
  11 0.525 4080.8 294.577
  12 0.575 4056.48 296.114
  13 0.625 4124.69 298.431
  14 0.675 4078.53 300.618
  15 0.725 4083.47 299.931
  16 0.775 4151.96 298.852
  17 0.825 4102.77 298.049
  18 0.875 4241.05 298.917
  19 0.925 4023.37 301.346
  20 0.975 4117.18 302.556
21000 20 82020
  1 0.025 4040.47 301.892
  2 0.075 4083.39 304.649
  3 0.125 4118.06 302.249
  4 0.175 4074.13 301.107
  5 0.225 4073.39 299.371
  6 0.275 4142.08 303.045
  7 0.325 4085.61 303.357
  8 0.375 4127.65 300.316
  9 0.425 4095.95 297.563
  10 0.475 4117 297.447
  11 0.525 4085.67 295.946
  12 0.575 4054.99 296.998
  13 0.625 4139.3 297.817
  14 0.675 4074.41 300.621
  15 0.725 4079.34 300.27
  16 0.775 4140.72 300.846
  17 0.825 4103.19 296.745
  18 0.875 4236.42 298.426
  19 0.925 3998.91 301.451
  20 0.975 4149.32 301.372
22000 20 82019.99999999999
  1 0.025 4066.74 301.976
  2 0.075 4071.32 302.748
  3 0.125 4112.71 302.996
  4 0.175 4079.22 300.896
  5 0.225 4090.46 299.846
  6 0.275 4142.34 303.293
  7 0.325 4073.63 302.233
  8 0.375 4119.91 300.199
  9 0.425 4104.98 299.263
  10 0.475 4103.15 297.363
  11 0.525 4080.58 295.472
  12 0.575 4046.6 297.731
  13 0.625 4138.14 298.25
  14 0.675 4094.34 297.524
  15 0.725 4081.07 299.557
  16 0.775 4142.44 300.99
  17 0.825 4113.35 299.821
  18 0.875 4227.32 298.868
  19 0.925 4018.44 301.723
  20 0.975 4113.26 302.026
23000 20 82019.99999999999
  1 0.025 4052.24 303.692
  2 0.075 4077.03 303.365
  3 0.125 4121.05 303.272
  4 0.175 4085.17 303.475
  5 0.225 4080.19 300.398
  6 0.275 4148.87 302.715
  7 0.325 4087.51 300.032
  8 0.375 4095.84 299.218
  9 0.425 4127.04 297.077
  10 0.475 4102.36 297.547
  11 0.525 4093.16 296.207
  12 0.575 4056.26 297.271
  13 0.625 4139.39 298.911
  14 0.675 4059.74 299.382
  15 0.725 4079.46 300.177
  16 0.775 4129.92 299.201
  17 0.825 4130.02 299.995
  18 0.875 4210.71 298.958
  19 0.925 4020.59 300.327
  20 0.975 4123.45 300.867
24000 20 82020
  1 0.025 4032.45 303.753
  2 0.075 4083.41 303.256
  3 0.125 4102.83 302.079
  4 0.175 4061.12 303.456
  5 0.225 4082.97 303.746
  6 0.275 4137.24 301.927
  7 0.325 4053.24 298.593
  8 0.375 4119.79 298.3
  9 0.425 4122.97 297.975
  10 0.475 4130.26 299.013
  11 0.525 4098.47 298.758
  12 0.575 4055.57 297.589
  13 0.625 4162.91 298.643
  14 0.675 4073.47 299.898
  15 0.725 4095.54 298.265
  16 0.775 4129.24 298.499
  17 0.825 4127.21 298.882
  18 0.875 4230.08 299.865
  19 0.925 3997.55 301.307
  20 0.975 4123.68 299.702
25000 20 82020.00000000001
  1 0.025 4051.62 303.182
  2 0.075 4070.49 303.851
  3 0.125 4139.5 303.052
  4 0.175 4068.75 305.035
  5 0.225 4073.13 303.25
  6 0.275 4142.05 298.927
  7 0.325 4058.54 297.607
  8 0.375 4120.68 296.907
