# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 82020
  1 0.025 4024.59 302.833
  2 0.075 3994.49 301.417
  3 0.125 3995.25 296.658
  4 0.175 4002.62 299.624
  5 0.225 4002.17 298.39
  6 0.275 4134.21 302.039
  7 0.325 4121.31 302.832
  8 0.375 4253.64 300.48
  9 0.425 4290.16 300.626
  10 0.475 4371.18 300.036
  11 0.525 4383.44 299.168
  12 0.575 4216.9 300.45
  13 0.625 4095.36 296.394
  14 0.675 4073.57 299.157
  15 0.725 3975.78 296.509
  16 0.775 4092.56 300.793
  17 0.825 4039.54 298.319
  18 0.875 4042.72 299.587
  19 0.925 3965.75 301.306
  20 0.975 3944.76 302.852
12000 20 82020
  1 0.025 4013.3 300.728
  2 0.075 3996.18 303.737
  3 0.125 3998.07 296.33
  4 0.175 4012.75 300.14
  5 0.225 3999.18 297.777
  6 0.275 4127.39 301.798
  7 0.325 4122.34 301.497
  8 0.375 4252.92 300.608
  9 0.425 4287.88 300.662
  10 0.475 4384.06 300.965
  11 0.525 4377.51 299.913
  12 0.575 4203.98 297.919
  13 0.625 4094.88 295.764
  14 0.675 4071.17 300.536
  15 0.725 3993.27 296.65
  16 0.775 4089.94 301.119
  17 0.825 4023.88 299.907
  18 0.875 4047.22 299.83
  19 0.925 3970.39 301.839
  20 0.975 3953.69 304.356
13000 20 82020
  1 0.025 4030.52 302.863
  2 0.075 4000.7 302.615
  3 0.125 3989.49 296.577
  4 0.175 4007.62 301.579
  5 0.225 3994.05 295.253
  6 0.275 4129.04 302.461
  7 0.325 4137.45 301.116
  8 0.375 4259.62 301.376
  9 0.425 4277.61 300.014
  10 0.475 4367.12 299.807
  11 0.525 4382.72 299.03
  12 0.575 4214.11 298.195
  13 0.625 4097.02 296.763
  14 0.675 4067.78 301.495
  15 0.725 3973.77 296.195
  16 0.775 4097.11 300.168
  17 0.825 4043.89 299.668
  18 0.875 4059.58 300.563
  19 0.925 3955.82 301.103
  20 0.975 3934.98 303.183
14000 20 82020
  1 0.025 4016.86 303.365
  2 0.075 3998.06 304.059
  3 0.125 3996.79 296.34
  4 0.175 4007.73 301.991
  5 0.225 3994.59 295.114
  6 0.275 4125.28 303.283
  7 0.325 4135.13 300.928
  8 0.375 4257.6 299.994
  9 0.425 4277.72 301.308
  10 0.475 4379.84 297.762
  11 0.525 4374.18 298.435
  12 0.575 4214.67 297.278
  13 0.625 4092.88 297.396
  14 0.675 4055.46 301.528
  15 0.725 3996.55 296.548
  16 0.775 4085.55 299.085
  17 0.825 4041.61 300.182
  18 0.875 4059.78 300.586
  19 0.925 3969.97 301.347
  20 0.975 3939.75 304.82
15000 20 82019.99999999999
  1 0.025 4027.16 304.547
  2 0.075 3989.52 303.971
  3 0.125 3982.08 296.7
  4 0.175 4009.23 300.735
  5 0.225 3995.98 296.771
  6 0.275 4133.66 303.139
  7 0.325 4120.58 298.859
  8 0.375 4266.61 301.381
  9 0.425 4277.78 301.973
  10 0.475 4388.09 297.261
  11 0.525 4377.06 298.485
  12 0.575 4201.48 296.689
  13 0.625 4093.25 300.279
  14 0.675 4064.96 299.104
  15 0.725 3984.64 296.712
  16 0.775 4095.48 299.16
  17 0.825 4037.54 300.054
  18 0.875 4061.26 300.642
  19 0.925 3968.03 300.706
  20 0.975 3945.61 305.354
16000 20 82020
  1 0.025 4029.2 306.099
  2 0.075 3981.36 304.53
  3 0.125 3998.53 295.427
  4 0.175 4004.25 300.804
  5 0.225 3970.79 298.121
  6 0.275 4136.16 301.006
  7 0.325 4134.08 302.014
  8 0.375 4270.77 300.855
  9 0.425 4282.6 299.448
  10 0.475 4377.24 296.981
  11 0.525 4379.18 297.535
  12 0.575 4203.88 297.372
  13 0.625 4082.07 300.036
  14 0.675 4081.01 296.596
  15 0.725 3989.74 299.658
  16 0.775 4083.62 300.458
  17 0.825 4037.45 297.904
  18 0.875 4064.66 300.194
  19 0.925 3979.28 301.492
  20 0.975 3934.13 306.028
17000 20 82020
  1 0.025 4026.2 306.943
  2 0.075 4001.71 305.435
  3 0.125 3995.34 296.197
  4 0.175 3988.81 300.321
  5 0.225 3991.37 299.392
  6 0.275 4134.07 300.42
  7 0.325 4116.49 301.002
  8 0.375 4257.75 301.375
  9 0.425 4284.21 298.13
  10 0.475 4371.33 296.216
  11 0.525 4387.62 295.22
  12 0.575 4209.31 299.316
  13 0.625 4101.27 299.931
  14 0.675 4071.62 295.634
  15 0.725 3997.73 300.884
  16 0.775 4078.5 299.335
  17 0.825 4033.28 296.321
  18 0.875 4069.31 301.653
  19 0.925 3963.12 301.051
  20 0.975 3940.96 305.734
18000 20 82020
  1 0.025 4026.67 308.353
  2 0.075 4006.78 306.306
  3 0.125 3994.82 296.527
  4 0.175 3984.32 300.21
  5 0.225 3991.65 297.718
  6 0.275 4126.65 300.431
  7 0.325 4115.41 302.191
  8 0.375 4252.97 299.771
  9 0.425 4279.24 301.299
  10 0.475 4383.78 294.819
  11 0.525 4377.87 293.523
  12 0.575 4219.29 300.036
  13 0.625 4103.42 298.854
  14 0.675 4072.2 295.901
  15 0.725 3998.47 302.105
  16 0.775 4065.85 299.643
  17 0.825 4049.63 296.735
  18 0.875 4056.07 300.909
  19 0.925 3973.18 300.413
  20 0.975 3941.73 305.966
19000 20 82020
  1 0.025 4032.32 309.173
  2 0.075 3990.89 308.973
  3 0.125 3999.83 296.395
  4 0.175 3981.56 297.138
  5 0.225 3981.59 298.572
  6 0.275 4129.82 299.824
  7 0.325 4127.33 302.873
  8 0.375 4255.64 300.656
  9 0.425 4283.11 301.458
  10 0.475 4392.61 294.295
  11 0.525 4375.45 292.013
  12 0.575 4193.78 297.243
  13 0.625 4093.81 300.57
  14 0.675 4094.6 297.419
  15 0.725 3979.53 300.558
  16 0.775 4078.54 299.277
  17 0.825 4039.96 297.808
  18 0.875 4075.33 301.005
  19 0.925 3967.55 300.966
  20 0.975 3946.75 304.025
20000 20 82020
  1 0.025 4026.05 311.705
  2 0.075 3991.43 307.549
  3 0.125 4009.88 297.426
  4 0.175 3972.19 296.177
  5 0.225 3999.44 299.865
  6 0.275 4141.3 299.398
  7 0.325 4117.45 303.141
  8 0.375 4254.16 301.893
  9 0.425 4290.1 300.782
  10 0.475 4370.75 293.855
  11 0.525 4381.32 291.295
  12 0.575 4212.87 297.243
  13 0.625 4092.72 300.309
  14 0.675 4053.72 297.57
  15 0.725 3996.81 300.184
  16 0.775 4070.72 299.928
  17 0.825 4054.22 298.265
  18 0.875 4069.7 299.672
  19 0.925 3974.37 303.155
  20 0.975 3940.8 301.847
21000 20 82020
  1 0.025 4014.9 314.02
  2 0.075 4000.11 306.545
  3 0.125 4000.7 298.48
  4 0.175 4006.6 298.192
  5 0.225 3992.62 298.258
  6 0.275 4130 300.568
  7 0.325 4129.01 301.599
  8 0.375 4253.68 300.642
  9 0.425 4279.07 301.311
  10 0.475 4374.31 294.333
  11 0.525 4374.12 289.949
  12 0.575 4203.24 297.05
  13 0.625 4091.69 300.191
  14 0.675 4074.97 296.064
  15 0.725 3983.68 300.147
  16 0.775 4071.72 298.528
  17 0.825 4054.13 300.059
  18 0.875 4066.39 299.066
  19 0.925 3975.22 302.331
  20 0.975 3943.84 301.909
22000 20 82020
  1 0.025 4031.38 316.189
  2 0.075 4009.95 307.365
  3 0.125 4007.89 298.614
  4 0.175 4002.12 295.488
  5 0.225 3978.87 300.687
  6 0.275 4144.37 300.792
  7 0.325 4119.82 301.976
  8 0.375 4256.06 300.662
  9 0.425 4278.91 301.326
  10 0.475 4377.14 293.044
  11 0.525 4379.25 290.673
  12 0.575 4214.04 296.778
  13 0.625 4066.56 299.046
  14 0.675 4072.87 296.093
  15 0.725 4013.1 300.391
  16 0.775 4067.45 298.403
  17 0.825 4024.63 301.535
  18 0.875 4068.73 299.563
  19 0.925 3963.81 302.036
  20 0.975 3943.05 302.069
23000 20 82020
  1 0.025 4035.18 317.857
  2 0.075 3998.35 306.899
  3 0.125 4008.94 300.186
  4 0.175 4003.12 295.523
  5 0.225 3987.95 299.705
  6 0.275 4129.82 301.19
  7 0.325 4133.03 302.195
  8 0.375 4256.31 300.737
  9 0.425 4283.57 299.832
  10 0.475 4390.61 292.871
  11 0.525 4368.12 289.885
  12 0.575 4214.25 296.933
  13 0.625 4085.43 299.683
  14 0.675 4063.41 297.527
  15 0.725 3980.36 299.397
  16 0.775 4084.8 298.793
  17 0.825 4029.15 299.383
  18 0.875 4058.4 301.938
  19 0.925 3979.27 299.164
  20 0.975 3929.93 304.569
24000 20 82019.99999999999
  1 0.025 4025.14 319.991
  2 0.075 3992.68 305.522
  3 0.125 3993.5 301.225
  4 0.175 4001.27 292.856
  5 0.225 4001.61 302.076
  6 0.275 4137.82 299.495
  7 0.325 4132.56 303.045
  8 0.375 4255.12 301.24
  9 0.425 4288.13 298.483
  10 0.475 4395.54 294.816
  11 0.525 4380.42 287.787
  12 0.575 4208.07 296.303
  13 0.625 4072.5 298.545
  14 0.675 4067.72 299.239
  15 0.725 3977.59 297.878
  16 0.775 4075.62 297.907
  17 0.825 4036.16 298.702
  18 0.875 4060.5 303.159
  19 0.925 3988.01 299.534
  20 0.975 3930.04 303.623
25000 20 82019.99999999999
  1 0.025 4031.46 319.882
  2 0.075 4003.35 307.127
  3 0.125 4001.62 302.255
  4 0.175 4007.22 291.53
  5 0.225 3978.08 302.7
  6 0.275 4125.11 298.772
  7 0.325 4130.76 302.344
  8 0.375 4272.2 300.522
  9 0.425 4287.04 299.799
  10 0.475 4387.52 292.994
  11 0.525 4375.11 287.817
  12 0.575 4221.85 295.937
  13 0.625 4070.19 299.609
  14 0.675 4072.78 296.969
  15 0.725 3968.61 298.074
  16 0.775 4082.38 298.182
  17 0.825 4039.55 300.619
  18 0.875 4061.04 300.844
  19 0.925 3985.37 300.127
  20 0.975 3918.76 304.001
26000 20 82020
  1 0.025 4026.32 320.721
  2 0.075 3996.44 309.51
  3 0.125 3992.73 302.03
  4 0.175 3997.79 291.8
  5 0.225 3996.1 303.215
  6 0.275 4134.61 297.368
  7 0.325 4125.85 304.278
  8 0.375 4253.29 300.635
  9 0.425 4276.25 298.658
  10 0.475 4385.29 293.835
