# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 82020
  1 0.025 4106.65 345.713
  2 0.075 4064.79 341.296
  3 0.125 4066.81 327.466
  4 0.175 4047.5 317.872
  5 0.225 4086.86 309.278
  6 0.275 4169.02 300.503
  7 0.325 4088.83 292.183
  8 0.375 4134.83 278.359
  9 0.425 4086.64 267.884
  10 0.475 4246.41 257.349
  11 0.525 4066.56 251.447
  12 0.575 4140.47 258.387
  13 0.625 4134.59 270.129
  14 0.675 4041.86 277.346
  15 0.725 4144.71 287.789
  16 0.775 4025.3 298.789
  17 0.825 4062.49 308.225
  18 0.875 4127.39 317.908
  19 0.925 4033.99 329.132
  20 0.975 4144.3 338.997
22000 20 82020.00000000001
  1 0.025 4113.1 349.454
  2 0.075 4050.21 344.22
  3 0.125 4046.31 326.948
  4 0.175 4062.03 318.937
  5 0.225 4096.09 308.024
  6 0.275 4181.36 299.111
  7 0.325 4082.86 289.784
  8 0.375 4135.62 278.715
  9 0.425 4062.43 267.779
  10 0.475 4269.06 257.913
  11 0.525 4044.51 252.699
  12 0.575 4138.52 258.046
  13 0.625 4161.47 270.804
  14 0.675 4041.79 278.362
  15 0.725 4152.09 288.445
  16 0.775 4024.8 298.848
  17 0.825 4070.35 307.145
  18 0.875 4130.28 316.358
  19 0.925 4036.26 330.136
  20 0.975 4120.86 341.941
23000 20 82020
  1 0.025 4099.76 348.211
  2 0.075 4044.71 341.871
  3 0.125 4056.59 327.269
  4 0.175 4066.29 318.888
  5 0.225 4078.3 305.707
  6 0.275 4179.03 301.353
  7 0.325 4081.81 289.542
  8 0.375 4143.14 278.281
  9 0.425 4082.4 269.677
  10 0.475 4274.92 256.874
  11 0.525 4054.78 253.258
  12 0.575 4129.52 260.04
  13 0.625 4156.92 269.235
  14 0.675 4050.43 277.441
  15 0.725 4158.2 287.849
  16 0.775 4022.44 298.556
  17 0.825 4056.35 306.832
  18 0.875 4120.05 318.522
  19 0.925 4030.44 332.185
  20 0.975 4133.92 341.366
24000 20 82020.00000000001
  1 0.025 4100.37 345.641
  2 0.075 4052.85 338.222
  3 0.125 4054.2 329.249
  4 0.175 4069.61 316.874
  5 0.225 4066.38 307.286
  6 0.275 4187.81 301.83
  7 0.325 4072.77 287.737
  8 0.375 4136.47 278.455
  9 0.425 4053.46 267.134
  10 0.475 4263.91 256.038
  11 0.525 4072.65 253.53
  12 0.575 4130.73 259.074
  13 0.625 4165.67 271.452
  14 0.675 4033.61 278.228
  15 0.725 4153.36 285.846
  16 0.775 4046.25 299.698
  17 0.825 4078.88 308.566
  18 0.875 4117.34 318.277
  19 0.925 4040.85 329.038
  20 0.975 4122.83 339.008
25000 20 82020.00000000001
  1 0.025 4091.51 349.03
  2 0.075 4051.73 339.936
  3 0.125 4055.3 329.108
  4 0.175 4064.5 315.559
  5 0.225 4078.66 305.431
  6 0.275 4164.88 300.435
  7 0.325 4084.28 289.388
  8 0.375 4125.58 279.192
  9 0.425 4078.13 268.389
  10 0.475 4261.26 256.286
  11 0.525 4060 252.22
  12 0.575 4134.96 260.119
  13 0.625 4158.6 271.185
  14 0.675 4035.21 280.149
  15 0.725 4172.09 288.24
  16 0.775 4029.36 298.243
  17 0.825 4064.32 308.204
  18 0.875 4127.41 316.428
  19 0.925 4028.55 329.488
  20 0.975 4153.67 340.325
26000 20 82020
  1 0.025 4087.55 346.904
  2 0.075 4080.54 339.755
  3 0.125 4048.07 327.732
  4 0.175 4081.24 314.954
  5 0.225 4050.83 304.772
  6 0.275 4185.25 298.558
  7 0.325 4087.17 290.868
  8 0.375 4129.28 279.21
  9 0.425 4070.57 271.113
  10 0.475 4263.71 256.539
  11 0.525 4038.15 251.328
  12 0.575 4132.27 260.354
  13 0.625 4139.86 269.452
  14 0.675 4038.86 281.399
  15 0.725 4170.65 286.962
  16 0.775 4042.13 296.229
  17 0.825 4069.03 307.499
  18 0.875 4115.89 317.757
  19 0.925 4043.8 329.623
  20 0.975 4145.15 340.111
27000 20 82020
  1 0.025 4105.91 348.298
  2 0.075 4048.47 339.945
  3 0.125 4050.57 328.446
  4 0.175 4069.28 315.86
  5 0.225 4055.31 308.614
  6 0.275 4164.71 298.842
  7 0.325 4103.08 289.741
  8 0.375 4126.52 277.968
  9 0.425 4086.81 269.335
  10 0.475 4236.13 259.749
  11 0.525 4091.52 252.767
  12 0.575 4150.63 260.817
  13 0.625 4155.15 270.858
  14 0.675 4019.25 279.562
  15 0.725 4187.21 288.562
  16 0.775 4039.34 299.131
  17 0.825 4056.15 307.678
  18 0.875 4110.62 319.802
  19 0.925 4015.74 329.981
  20 0.975 4147.6 342.243
28000 20 82019.99999999999
  1 0.025 4104.24 349.554
  2 0.075 4064.22 343.434
  3 0.125 4038.07 330.047
  4 0.175 4087.04 318.317
  5 0.225 4056.79 307.958
  6 0.275 4167.09 298.523
  7 0.325 4106.08 287.982
  8 0.375 4126.62 278.031
  9 0.425 4076.82 267.997
  10 0.475 4236.97 261.209
  11 0.525 4070.29 253.686
  12 0.575 4148.71 260.718
  13 0.625 4141.38 270.157
  14 0.675 4023.67 278.772
  15 0.725 4174.96 289.251
  16 0.775 4037.83 298.435
  17 0.825 4070.64 307.661
  18 0.875 4115.9 319.857
  19 0.925 4029.2 329.513
  20 0.975 4143.48 342.639
29000 20 82020
  1 0.025 4089.1 347.742
  2 0.075 4060.86 341.033
  3 0.125 4060.82 331.057
  4 0.175 4081.67 318.991
  5 0.225 4060.44 306.656
  6 0.275 4170.46 296.86
  7 0.325 4106.91 289.749
  8 0.375 4120.76 279.317
  9 0.425 4080.78 268.688
  10 0.475 4248.43 257.932
  11 0.525 4082.36 251.755
  12 0.575 4130.8 259.769
  13 0.625 4141.6 268.935
  14 0.675 4040.9 280.301
  15 0.725 4172.43 287.927
  16 0.775 4041.72 296.549
  17 0.825 4058.28 308.532
  18 0.875 4085.96 318.637
