# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 82020.00000000001
  1 0.025 4021.29 347.238
  2 0.075 4062.39 338.386
  3 0.125 4106.49 326.567
  4 0.175 4093.58 317.705
  5 0.225 4062.9 307.344
  6 0.275 4147.73 302.028
  7 0.325 4068.61 294.337
  8 0.375 4089.21 284.986
  9 0.425 4153.46 272.906
  10 0.475 4106.46 259.835
  11 0.525 4099.58 252.784
  12 0.575 4084.87 258.367
  13 0.625 4144.92 270.818
  14 0.675 4083.47 282.737
  15 0.725 4134.73 288.518
  16 0.775 4098.58 300.366
  17 0.825 4135.55 305.423
  18 0.875 4216.12 314.258
  19 0.925 4001.71 324.252
  20 0.975 4108.35 336.889
22000 20 82020
  1 0.025 4041.53 345.931
  2 0.075 4058.84 337.835
  3 0.125 4123.09 326.783
  4 0.175 4087.39 317.982
  5 0.225 4036.61 306.925
  6 0.275 4148.94 301.652
  7 0.325 4092.94 292.784
  8 0.375 4112.46 284.468
  9 0.425 4127.4 272.529
  10 0.475 4120.99 260.69
  11 0.525 4125.82 252.209
  12 0.575 4092.61 260.574
  13 0.625 4124.82 269.111
  14 0.675 4086.26 280.708
  15 0.725 4094.53 289.732
  16 0.775 4106.01 300.572
  17 0.825 4124.94 308.065
  18 0.875 4225.49 313.994
  19 0.925 3971.23 324.128
  20 0.975 4118.1 340.859
23000 20 82020
  1 0.025 4013.84 348.038
  2 0.075 4058.43 339.52
  3 0.125 4089.7 326.018
  4 0.175 4089.55 314.501
  5 0.225 4044.14 308.248
  6 0.275 4147.71 302.089
  7 0.325 4070.23 294.077
  8 0.375 4134.75 283.019
  9 0.425 4132.55 271.156
  10 0.475 4131.92 260.103
  11 0.525 4109.6 254.517
  12 0.575 4102.16 260.502
  13 0.625 4132.64 269.903
  14 0.675 4084.58 280.435
  15 0.725 4103.12 289.775
  16 0.775 4090.77 299.81
  17 0.825 4138.31 307.307
  18 0.875 4211.23 314.746
  19 0.925 4014.61 323.948
  20 0.975 4120.16 340.685
24000 20 82020
  1 0.025 4028.87 347.776
  2 0.075 4064.47 339.706
  3 0.125 4100.13 324.912
  4 0.175 4065.61 316.754
  5 0.225 4068.78 309.675
  6 0.275 4144.48 303.303
  7 0.325 4081.16 291.21
  8 0.375 4118.67 283.22
  9 0.425 4147.09 271.822
  10 0.475 4109.79 259.235
  11 0.525 4091.61 251.901
  12 0.575 4104.81 259.901
  13 0.625 4134.57 268.638
  14 0.675 4080.39 278.252
  15 0.725 4118 288.536
  16 0.775 4065.25 302.242
  17 0.825 4146.69 308.508
  18 0.875 4220.98 315.311
  19 0.925 3990.21 327.257
  20 0.975 4138.44 340.065
25000 20 82020.00000000001
  1 0.025 4038.45 347.552
  2 0.075 4063.23 341.388
  3 0.125 4101.87 327.53
  4 0.175 4090.2 317.988
  5 0.225 4045.93 306.738
  6 0.275 4138.02 304.549
  7 0.325 4074.45 293.402
  8 0.375 4115.64 282.675
  9 0.425 4143.11 271.019
  10 0.475 4140.99 259.402
  11 0.525 4095.8 251.48
  12 0.575 4094.1 258.063
  13 0.625 4145.05 268.44
  14 0.675 4077.87 279.433
  15 0.725 4123.24 287.569
  16 0.775 4093.88 302.619
