# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 82020.00000000001
  1 0.025 3999.12 348.849
  2 0.075 3984.02 323.212
  3 0.125 3987.32 299.148
  4 0.175 4009.49 297.511
  5 0.225 3993.81 301.029
  6 0.275 4125.99 304.601
  7 0.325 4156.33 296.606
  8 0.375 4257.39 302.853
  9 0.425 4277.87 293.279
  10 0.475 4389.9 272.41
  11 0.525 4385.42 250.412
  12 0.575 4231.27 270.366
  13 0.625 4097.85 291.421
  14 0.675 4092.75 295.63
  15 0.725 3995.94 295.099
  16 0.775 4075.72 301.212
  17 0.825 4032.91 300.154
  18 0.875 4043.46 300.934
  19 0.925 3959.69 303.233
  20 0.975 3923.75 324.538
22000 20 82020
  1 0.025 4001.06 348.106
  2 0.075 3981.13 324.025
  3 0.125 3999.68 302.235
  4 0.175 4022.41 296.951
  5 0.225 3981.5 301.152
  6 0.275 4111.9 302.217
  7 0.325 4141.65 297.284
  8 0.375 4271.93 302.56
  9 0.425 4297.31 292.386
  10 0.475 4384.55 270.559
  11 0.525 4387.11 249.904
  12 0.575 4233 268.995
  13 0.625 4102.39 291.58
  14 0.675 4084 294.894
  15 0.725 3984.98 294.779
  16 0.775 4083.54 300.541
  17 0.825 4039.02 300.575
  18 0.875 4035.74 301.137
  19 0.925 3960.95 303.654
  20 0.975 3916.15 324.242
23000 20 82020.00000000001
  1 0.025 3984.85 348.166
  2 0.075 3982.86 325.784
  3 0.125 4000.59 302.652
  4 0.175 4009.17 298.223
  5 0.225 3995.33 301.23
  6 0.275 4126.71 301.791
  7 0.325 4138.35 297.526
  8 0.375 4268.72 302.098
  9 0.425 4285.44 292.446
  10 0.475 4384.37 270.47
  11 0.525 4394.73 248.486
  12 0.575 4211.12 266.819
  13 0.625 4103.08 291.015
  14 0.675 4075.86 293.965
  15 0.725 4003.42 298.572
  16 0.775 4087.63 298.482
  17 0.825 4032.67 299.105
  18 0.875 4045.78 300.534
  19 0.925 3963.41 306.004
  20 0.975 3925.91 323.559
24000 20 82020
  1 0.025 3991.31 349.039
  2 0.075 3972.71 326.344
  3 0.125 3988.33 302.864
  4 0.175 4026.47 298.52
  5 0.225 3998.3 300.674
  6 0.275 4137.75 301.424
  7 0.325 4146.33 298.904
  8 0.375 4259.45 301.132
  9 0.425 4283.87 292.194
  10 0.475 4378.44 268.224
  11 0.525 4384.38 250.18
  12 0.575 4218.29 267.049
  13 0.625 4089.89 290.812
  14 0.675 4079.66 293.996
  15 0.725 3973.26 299.995
  16 0.775 4094.78 297.248
  17 0.825 4040.03 299.316
  18 0.875 4059.73 301.576
  19 0.925 3972.27 305.939
  20 0.975 3924.75 324.484
25000 20 82019.99999999999
  1 0.025 4002.35 345.792
  2 0.075 3967.01 325.782
  3 0.125 3991.81 301.26
  4 0.175 4021.44 299.029
  5 0.225 4014.67 302.44
  6 0.275 4126.31 301.173
  7 0.325 4124.65 298.957
  8 0.375 4261.62 300.218
  9 0.425 4297.11 290.808
  10 0.475 4372.45 269.14
  11 0.525 4388.22 250.624
  12 0.575 4224.9 267.794
  13 0.625 4097.24 289.998
  14 0.675 4059.54 295.038
  15 0.725 3975.29 299.382
  16 0.775 4088.22 299.388
  17 0.825 4040.75 298.932
  18 0.875 4060.43 299.344
  19 0.925 3964.91 307.402
  20 0.975 3941.08 323.654
26000 20 82020
  1 0.025 4022.03 347.221
  2 0.075 3982.28 328.373
  3 0.125 4004.54 300.894
  4 0.175 4024.66 299.451
  5 0.225 3969.82 301.527
