# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 24020
  1 0.025 1194.36 298.064
  2 0.075 1191.2 295.557
  3 0.125 1171.52 302.886
  4 0.175 1250.35 300.865
  5 0.225 1184.66 300.3
  6 0.275 1239.1 296.932
  7 0.325 1220.49 301.354
  8 0.375 1149.57 302.116
  9 0.425 1246.53 294.908
  10 0.475 1196.9 292.48
  11 0.525 1193.59 292.112
  12 0.575 1183.99 304.551
  13 0.625 1225.87 298.402
  14 0.675 1214.56 299.169
  15 0.725 1202.15 294.324
  16 0.775 1231.92 301.799
  17 0.825 1167.6 298.135
  18 0.875 1181.53 299.926
  19 0.925 1216.2 302.947
  20 0.975 1157.91 300.663
12000 20 24020
  1 0.025 1194.78 298.932
  2 0.075 1200.49 298.551
  3 0.125 1167.09 304.124
  4 0.175 1252.23 304.208
  5 0.225 1182.72 302.507
  6 0.275 1224.86 297.959
  7 0.325 1230.08 300.458
  8 0.375 1152 295.963
  9 0.425 1261.96 292.992
  10 0.475 1177.43 293.952
  11 0.525 1189.13 288.246
  12 0.575 1199.73 299.848
  13 0.625 1218.61 304.37
  14 0.675 1217 299.708
  15 0.725 1219.79 298.24
  16 0.775 1221.28 296.452
  17 0.825 1175.91 301.654
  18 0.875 1184.77 298.108
  19 0.925 1200.86 299.901
  20 0.975 1149.28 302.368
13000 20 24019.999999999996
  1 0.025 1205.2 303.334
  2 0.075 1194.1 309.582
  3 0.125 1178.67 308.929
  4 0.175 1236.44 302.866
  5 0.225 1186.58 300.909
  6 0.275 1235.79 295.29
  7 0.325 1233.55 296.706
  8 0.375 1152.56 295.937
  9 0.425 1253.38 293.649
  10 0.475 1184.55 294.867
  11 0.525 1190.06 291.422
  12 0.575 1190.89 300.055
  13 0.625 1218.91 302.153
  14 0.675 1224.31 296.174
  15 0.725 1202.2 293.609
  16 0.775 1230.25 301.233
  17 0.825 1179.09 302.992
  18 0.875 1187.48 301.643
  19 0.925 1198.35 296.926
  20 0.975 1137.64 296.468
14000 20 24020.000000000004
  1 0.025 1208.99 305.851
  2 0.075 1197.7 310.554
  3 0.125 1172.13 311.893
  4 0.175 1242.33 301.787
  5 0.225 1182.04 300.59
  6 0.275 1232.6 296.543
  7 0.325 1233.44 292.834
  8 0.375 1144.02 296.576
  9 0.425 1259.32 295.099
  10 0.475 1190.55 294.129
  11 0.525 1189.73 285.126
  12 0.575 1203.44 295.64
  13 0.625 1217.28 302.746
  14 0.675 1212.31 298.271
  15 0.725 1201.5 298.251
  16 0.775 1228.72 297.436
  17 0.825 1166.82 300.205
  18 0.875 1182.32 301.042
  19 0.925 1206.95 294.735
  20 0.975 1147.81 298.699
15000 20 24020.000000000004
  1 0.025 1196.73 311.953
  2 0.075 1193.1 312.996
  3 0.125 1171.81 305.598
  4 0.175 1245.4 300.504
  5 0.225 1182.25 301.561
  6 0.275 1225.08 294.697
  7 0.325 1226.6 294.337
  8 0.375 1151.63 298.529
  9 0.425 1262.34 296.192
  10 0.475 1203.98 289.025
  11 0.525 1197.48 288.287
  12 0.575 1187.83 294.577
  13 0.625 1222.89 297.045
  14 0.675 1234.64 296.456
  15 0.725 1198.36 297.464
  16 0.775 1203.57 297.798
  17 0.825 1179.52 303.234
  18 0.875 1196.06 303.06
  19 0.925 1211.49 295.782
  20 0.975 1129.24 300.087
16000 20 24020
  1 0.025 1200.04 314.606
  2 0.075 1192.8 312.473
  3 0.125 1176.75 301.656
  4 0.175 1244.07 302.962
  5 0.225 1178.39 299.698
  6 0.275 1243.93 299.82
  7 0.325 1219.26 295.509
  8 0.375 1150.84 297.398
  9 0.425 1251.87 289.745
  10 0.475 1194.24 290.646
  11 0.525 1196.14 290.418
  12 0.575 1184.12 292.294
  13 0.625 1218.23 296.507
  14 0.675 1212.86 296.826
  15 0.725 1213.15 292.936
  16 0.775 1205.69 299.867
  17 0.825 1189.39 305.316
  18 0.875 1192.62 301.253
  19 0.925 1208.31 299.049
  20 0.975 1147.3 300.518
17000 20 24020.000000000004
  1 0.025 1201.25 312.296
  2 0.075 1181.8 314.298
  3 0.125 1185.1 301.338
  4 0.175 1241.14 299.256
  5 0.225 1180.09 302.463
  6 0.275 1227.1 301.863
  7 0.325 1223.77 297.866
  8 0.375 1152.33 295.062
  9 0.425 1251.31 291.858
  10 0.475 1198.7 292.775
  11 0.525 1194.29 285.473
  12 0.575 1192.19 294.199
  13 0.625 1217.97 299.535
  14 0.675 1223.24 299.68
  15 0.725 1217.95 295.659
  16 0.775 1225.68 299.516
  17 0.825 1166.79 300.611
  18 0.875 1191.8 295.634
  19 0.925 1210.32 297.618
  20 0.975 1137.18 306.437
18000 20 24019.999999999993
  1 0.025 1213.4 311.318
  2 0.075 1181.16 313.017
  3 0.125 1180.16 302.375
  4 0.175 1244.99 298.545
  5 0.225 1175.68 298.543
  6 0.275 1221.21 305.025
  7 0.325 1227.23 301.129
  8 0.375 1168.15 293.728
  9 0.425 1260.81 291.173
  10 0.475 1193.77 287.829
  11 0.525 1187.02 281.434
  12 0.575 1186.95 296.581
  13 0.625 1222.9 302.042
  14 0.675 1218.37 295.253
  15 0.725 1209.2 295.332
  16 0.775 1211.85 299.077
  17 0.825 1168.1 302.277
  18 0.875 1199.76 303.397
  19 0.925 1208.1 300.284
  20 0.975 1141.19 301.155
19000 20 24019.999999999996
  1 0.025 1213.62 316.717
  2 0.075 1187.85 313.319
