# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 24020
  1 0.025 1163.35 308.461
  2 0.075 1253.91 303.867
  3 0.125 1216.01 292.912
  4 0.175 1175.35 299.595
  5 0.225 1166.08 302.919
  6 0.275 1187.86 298.545
  7 0.325 1180.82 297.257
  8 0.375 1217.38 296.15
  9 0.425 1199.77 301.095
  10 0.475 1181.9 297.863
  11 0.525 1274.44 295.286
  12 0.575 1171.41 298.015
  13 0.625 1242.38 302.774
  14 0.675 1163.91 295.608
  15 0.725 1272.96 294.624
  16 0.775 1172.07 298.542
  17 0.825 1213.53 298.287
  18 0.875 1181.03 296.149
  19 0.925 1150.55 298.186
  20 0.975 1235.29 301.618
12000 20 24020
  1 0.025 1182.13 308.111
  2 0.075 1251.35 298.442
  3 0.125 1217.91 301.069
  4 0.175 1168.78 302.461
  5 0.225 1159.58 303.94
  6 0.275 1191.64 297.564
  7 0.325 1184.37 293.372
  8 0.375 1212.04 297.697
  9 0.425 1206.08 298.081
  10 0.475 1173.06 298.003
  11 0.525 1270.32 293.823
  12 0.575 1173.67 296.521
  13 0.625 1238.29 298.363
  14 0.675 1165.67 293.916
  15 0.725 1275.84 295.183
  16 0.775 1150.63 300.019
  17 0.825 1215.18 298.251
  18 0.875 1182.16 302.194
  19 0.925 1158.78 302.581
  20 0.975 1242.52 300.91
13000 20 24019.999999999996
  1 0.025 1167.47 306.59
  2 0.075 1254.99 298.405
  3 0.125 1224.37 300.964
  4 0.175 1184.12 302.676
  5 0.225 1159.76 303
  6 0.275 1189.33 300.787
  7 0.325 1185.67 294.041
  8 0.375 1207.92 297.401
  9 0.425 1205.07 294.228
  10 0.475 1182.03 298.919
  11 0.525 1268.9 295.106
  12 0.575 1176.13 297.186
  13 0.625 1233.48 295.804
  14 0.675 1166.46 294.919
  15 0.725 1270.51 294.506
  16 0.775 1145.67 295.418
  17 0.825 1214.52 302.009
  18 0.875 1195.56 299.324
  19 0.925 1148.42 303.003
  20 0.975 1239.62 309.667
14000 20 24020
  1 0.025 1175.81 308.175
  2 0.075 1248.39 304.181
  3 0.125 1225.9 297.576
  4 0.175 1175.33 302.178
  5 0.225 1159.03 300.031
  6 0.275 1184.7 299.709
  7 0.325 1190.76 293.879
  8 0.375 1201.86 294.85
  9 0.425 1208.05 293.361
  10 0.475 1167.41 297.799
  11 0.525 1273.25 292.817
  12 0.575 1166.2 297.078
  13 0.625 1249.25 295.087
  14 0.675 1154.62 293.676
  15 0.725 1264.39 296.056
  16 0.775 1174.86 299.649
  17 0.825 1204.29 301.889
  18 0.875 1188.03 301.468
  19 0.925 1159.61 301.13
  20 0.975 1248.26 307.846
15000 20 24020.000000000004
  1 0.025 1179.93 310.24
  2 0.075 1253.55 303.828
  3 0.125 1232.89 299.606
  4 0.175 1155.2 303.917
  5 0.225 1168.2 303.602
  6 0.275 1176.79 296.085
  7 0.325 1189.81 292.589
  8 0.375 1202.6 293.526
  9 0.425 1218.97 295.989
  10 0.475 1169.33 298.203
  11 0.525 1264.85 291.585
  12 0.575 1166.45 297.365
  13 0.625 1251.56 293.049
  14 0.675 1169.96 294.742
  15 0.725 1268.07 297.916
  16 0.775 1159.61 298.373
  17 0.825 1212.06 301.753
  18 0.875 1191.63 303.338
  19 0.925 1155.09 304.295
  20 0.975 1233.45 304.631
16000 20 24020
  1 0.025 1166.33 309.64
  2 0.075 1254.55 304.235
  3 0.125 1227.07 301.422
  4 0.175 1168.06 304.15
  5 0.225 1161.05 299.3
  6 0.275 1177.67 297.44
  7 0.325 1190.84 294.955
  8 0.375 1203.78 294.942
  9 0.425 1218.6 294.889
  10 0.475 1165.16 296.824
  11 0.525 1266.78 289.228
  12 0.575 1169.84 295.949
  13 0.625 1247.04 292.815
  14 0.675 1156.83 297.451
  15 0.725 1276.9 298.979
  16 0.775 1155.1 293.992
  17 0.825 1215.63 302.64
  18 0.875 1197.79 302.718
  19 0.925 1153.21 307.617
  20 0.975 1247.77 303.946
17000 20 24020
  1 0.025 1176.3 312.344
  2 0.075 1244.97 307.247
  3 0.125 1228.14 299.846
  4 0.175 1161.08 302.78
  5 0.225 1160.35 300.682
  6 0.275 1186.3 298.616
  7 0.325 1193.07 294.595
  8 0.375 1214.91 293.008
  9 0.425 1214.93 297.196
  10 0.475 1183.24 294.716
  11 0.525 1265.7 287.559
  12 0.575 1174.09 295.126
  13 0.625 1245.04 290.456
  14 0.675 1149.03 298.151
  15 0.725 1267.41 297.13
  16 0.775 1160.87 296.186
  17 0.825 1207.19 299.312
  18 0.875 1190.59 303.386
  19 0.925 1158.82 304.582
  20 0.975 1237.97 308.2
