# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 24020.000000000004
  1 0.025 1197.47 306.275
  2 0.075 1183.84 300.526
  3 0.125 1189.58 296.093
  4 0.175 1149.79 298.152
  5 0.225 1174.05 296.2
  6 0.275 1190.44 297.912
  7 0.325 1231.26 297.227
  8 0.375 1171.92 296.95
  9 0.425 1223.57 300.646
  10 0.475 1233.18 300.99
  11 0.525 1242.26 297.953
  12 0.575 1176.24 297.429
  13 0.625 1241.35 299.574
  14 0.675 1235.27 300.7
  15 0.725 1201.52 294.878
  16 0.775 1202.68 297.671
  17 0.825 1219.97 302.356
  18 0.875 1178.23 299.601
  19 0.925 1193.24 296.586
  20 0.975 1184.14 299.661
12000 20 24019.999999999996
  1 0.025 1197.93 303.492
  2 0.075 1189.95 297.56
  3 0.125 1195.66 297.294
  4 0.175 1141.13 294.761
  5 0.225 1164.51 295.327
  6 0.275 1184.51 298.783
  7 0.325 1213.23 300.485
  8 0.375 1175.06 302.296
  9 0.425 1223.97 294.958
  10 0.475 1235.2 298.868
  11 0.525 1245.25 293.238
  12 0.575 1182.38 294.944
  13 0.625 1240.65 299.789
  14 0.675 1233.27 301.881
  15 0.725 1210.43 300.063
  16 0.775 1193.28 300.371
  17 0.825 1228.77 299.692
  18 0.875 1173.57 303.986
  19 0.925 1206.01 302.289
  20 0.975 1185.24 301.074
13000 20 24020
  1 0.025 1198.62 306.297
  2 0.075 1184.41 299.901
  3 0.125 1200.78 300.418
  4 0.175 1135.7 293.372
  5 0.225 1187.18 293.311
  6 0.275 1181.18 296.695
  7 0.325 1234.41 302.343
  8 0.375 1162.43 299.781
  9 0.425 1221.64 299.708
  10 0.475 1228.76 294.865
  11 0.525 1247.54 293.522
  12 0.575 1176.67 294.221
  13 0.625 1243.07 298.412
  14 0.675 1234.37 304.925
  15 0.725 1205.6 299.2
  16 0.775 1201.23 298.587
  17 0.825 1212.37 300.645
  18 0.875 1177.4 299.671
  19 0.925 1195.27 305.928
  20 0.975 1191.37 299.929
14000 20 24020.000000000007
  1 0.025 1199.02 308.169
  2 0.075 1189.41 299.707
  3 0.125 1190.08 299.475
  4 0.175 1150.85 294.202
  5 0.225 1179.46 295.649
  6 0.275 1186.5 295.768
  7 0.325 1226.08 301.665
  8 0.375 1165.69 298.723
  9 0.425 1224.32 293.82
  10 0.475 1224.03 298.304
  11 0.525 1250.65 296.207
  12 0.575 1171.1 297.719
  13 0.625 1246.85 299.678
  14 0.675 1243.12 301.28
  15 0.725 1206.06 297.356
  16 0.775 1204.65 299.218
  17 0.825 1203.12 301.13
  18 0.875 1185.9 296.275
  19 0.925 1193.48 304.191
  20 0.975 1179.63 299.401
15000 20 24020
  1 0.025 1212.2 304.691
  2 0.075 1177 300.694
  3 0.125 1190.73 300.894
  4 0.175 1146.96 292.63
  5 0.225 1202.65 298.48
  6 0.275 1166.31 300.462
  7 0.325 1230.05 299.303
  8 0.375 1157.76 297.707
  9 0.425 1237.11 294.588
