# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 24020
  1 0.025 1213.49 347.919
  2 0.075 1182.49 335.529
  3 0.125 1169.59 323.267
  4 0.175 1244.92 313.509
  5 0.225 1178.11 301.648
  6 0.275 1227.93 294.221
  7 0.325 1239.77 292.674
  8 0.375 1153.61 283.651
  9 0.425 1266.55 270.893
  10 0.475 1193.19 258.372
  11 0.525 1195.1 251.949
  12 0.575 1198.08 260.167
  13 0.625 1218.3 265.456
  14 0.675 1226.68 274.729
  15 0.725 1203.36 285.568
  16 0.775 1223.15 294.068
  17 0.825 1173.14 300.922
  18 0.875 1169.73 311.01
  19 0.925 1199.29 328.909
  20 0.975 1143.52 346.508
22000 20 24020
  1 0.025 1217.44 349.436
  2 0.075 1182.96 339.854
  3 0.125 1172.9 326.582
  4 0.175 1245.1 314.352
  5 0.225 1188.34 305.379
  6 0.275 1228.4 296.172
  7 0.325 1228.43 288.726
  8 0.375 1152.52 280.811
  9 0.425 1271.61 271.116
  10 0.475 1189.02 260.798
  11 0.525 1200.79 250.45
  12 0.575 1194.55 259.015
  13 0.625 1215.47 267.029
  14 0.675 1219.58 277.632
  15 0.725 1206.69 280.023
  16 0.775 1231.15 290.79
  17 0.825 1156.62 297.641
  18 0.875 1189.65 313.797
  19 0.925 1193.25 333.071
  20 0.975 1135.53 348.28
23000 20 24019.999999999993
  1 0.025 1213.03 352.965
  2 0.075 1182.78 346.553
  3 0.125 1160.72 326.377
  4 0.175 1247.32 315.804
  5 0.225 1185.58 304.997
  6 0.275 1232.68 294.42
  7 0.325 1235.42 290.223
  8 0.375 1159.79 279.16
  9 0.425 1279.39 272.225
  10 0.475 1186.07 259.909
  11 0.525 1193.24 249.741
  12 0.575 1183.23 255.523
  13 0.625 1223.41 266.751
  14 0.675 1227.83 271.298
  15 0.725 1193.3 279.573
  16 0.775 1224.64 290.27
  17 0.825 1167.59 299.955
  18 0.875 1191.42 317.763
  19 0.925 1202.89 331.546
  20 0.975 1129.67 346.047
24000 20 24020
  1 0.025 1218.85 348.923
  2 0.075 1183.39 343.25
  3 0.125 1150.68 323.818
  4 0.175 1238.87 316.824
  5 0.225 1170.49 309.132
  6 0.275 1238.39 294.315
  7 0.325 1233.43 287.26
  8 0.375 1150.15 280.816
  9 0.425 1267.89 270.495
  10 0.475 1188.98 253.983
  11 0.525 1198.76 252.593
  12 0.575 1191.37 253.806
  13 0.625 1225.93 263.671
  14 0.675 1221.81 275.318
  15 0.725 1198.69 278.238
  16 0.775 1224.61 293.443
  17 0.825 1174.88 301.045
  18 0.875 1196.19 319.623
  19 0.925 1210 330.765
  20 0.975 1136.64 343.991
25000 20 24019.999999999996
  1 0.025 1226.64 348.89
  2 0.075 1170.04 343.16
  3 0.125 1162.09 325.817
  4 0.175 1249.63 315.613
  5 0.225 1186.42 301.962
  6 0.275 1233.39 298.155
  7 0.325 1231.78 291.106
  8 0.375 1150.16 277.147
  9 0.425 1259.4 270.112
  10 0.475 1186.32 258.967
  11 0.525 1198.81 251.829
  12 0.575 1199.18 253.121
  13 0.625 1222.12 263.877
  14 0.675 1224.11 269.702
  15 0.725 1197.79 282.137
