# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 24020
  1 0.025 1168.35 347.17
  2 0.075 1241.84 342.858
  3 0.125 1218.19 329.427
  4 0.175 1165.6 323.937
  5 0.225 1161.64 305.88
  6 0.275 1189.16 289.891
  7 0.325 1193.57 281.803
  8 0.375 1217.3 276.926
  9 0.425 1206.24 263.637
  10 0.475 1167.33 257.295
  11 0.525 1298.06 252.088
  12 0.575 1157.95 257.432
  13 0.625 1256.73 269.349
  14 0.675 1176.21 280.21
  15 0.725 1246.95 289.826
  16 0.775 1172.44 295.119
  17 0.825 1208.88 307.671
  18 0.875 1187.19 315.094
  19 0.925 1138.95 328.439
  20 0.975 1247.42 335.101
22000 20 24019.999999999993
  1 0.025 1165.76 346.228
  2 0.075 1244.22 340.922
  3 0.125 1211.38 338.653
  4 0.175 1175.81 324.816
  5 0.225 1163.14 305.157
  6 0.275 1189.43 293.4
  7 0.325 1189.92 281.95
  8 0.375 1210.37 277.688
  9 0.425 1202.63 263.707
  10 0.475 1174.84 253.715
  11 0.525 1281.16 252.223
  12 0.575 1167.73 256.553
  13 0.625 1265.34 272.583
  14 0.675 1167.36 275.518
  15 0.725 1251.19 288.203
  16 0.775 1170.1 297.835
  17 0.825 1208.92 306.931
  18 0.875 1194.87 318.419
  19 0.925 1156.89 326.691
  20 0.975 1228.94 339.855
23000 20 24020
  1 0.025 1163.57 352.772
  2 0.075 1260.06 340.955
  3 0.125 1222.87 337.065
  4 0.175 1153.93 323.861
  5 0.225 1166.77 309.586
  6 0.275 1186.07 288.547
  7 0.325 1188.68 284.926
  8 0.375 1213.46 279.477
  9 0.425 1211.59 264.522
  10 0.475 1174.67 253.222
  11 0.525 1279.38 251.806
  12 0.575 1159.42 258.253
  13 0.625 1260.99 270.698
  14 0.675 1167.74 280.401
  15 0.725 1265.75 285.337
  16 0.775 1158.95 300.658
  17 0.825 1220.15 306.137
  18 0.875 1181.16 317.222
  19 0.925 1155.46 324.243
  20 0.975 1229.33 340.951
24000 20 24020
  1 0.025 1157.98 349.998
  2 0.075 1261.55 346.314
  3 0.125 1226.8 330.56
  4 0.175 1172 316.889
  5 0.225 1154.86 309.739
  6 0.275 1189.67 297.895
  7 0.325 1197.22 281.585
  8 0.375 1203.03 277.647
  9 0.425 1211.22 262.753
  10 0.475 1164.76 254.975
  11 0.525 1284.73 252.18
  12 0.575 1157.57 260.235
  13 0.625 1268.98 268.962
  14 0.675 1166.63 278.912
  15 0.725 1262.61 284.229
  16 0.775 1161.91 298.755
  17 0.825 1211.18 306.135
  18 0.875 1186.73 316.355
  19 0.925 1147.75 322.706
  20 0.975 1232.82 344.62
25000 20 24019.999999999993
  1 0.025 1164.78 347.869
  2 0.075 1230.26 342.417
  3 0.125 1206.08 329.38
  4 0.175 1178.15 318.439
  5 0.225 1151.84 311.889
  6 0.275 1182.19 298.67
  7 0.325 1193.13 284.944
  8 0.375 1202.41 273.199
  9 0.425 1228.41 265.184
  10 0.475 1173.87 259.165
  11 0.525 1282.76 251.495
  12 0.575 1164.21 253.807
  13 0.625 1258.58 266.435
  14 0.675 1164.03 275.458
  15 0.725 1265.58 288.226
  16 0.775 1169.43 295.314
  17 0.825 1221.85 305.72
  18 0.875 1194.01 314.268
  19 0.925 1141.76 322.979
  20 0.975 1246.67 344.513
26000 20 24020.000000000004
  1 0.025 1158.58 353.342
  2 0.075 1256.4 346.926
  3 0.125 1229.98 327.349
  4 0.175 1177.56 320.532
  5 0.225 1148.42 310.483
  6 0.275 1183.59 294.76
  7 0.325 1192.86 283.919
  8 0.375 1216.94 274.013
  9 0.425 1220.85 267.592
  10 0.475 1178.16 262.537
  11 0.525 1278.31 254.521
  12 0.575 1157.86 259.175
  13 0.625 1270.16 266.802
  14 0.675 1168.21 272.42
  15 0.725 1259.13 290.513
  16 0.775 1160.74 292.156
  17 0.825 1211.39 307.297
  18 0.875 1181.64 315.278
  19 0.925 1141.88 326.697
  20 0.975 1227.34 347.353
27000 20 24020
  1 0.025 1159.23 349.229
  2 0.075 1256.71 340.714
  3 0.125 1231.29 329.281
  4 0.175 1179.8 321.297
  5 0.225 1157.18 306.847
  6 0.275 1196.52 295.742
  7 0.325 1193.41 284.559
  8 0.375 1213.62 278.104
  9 0.425 1212.75 262.477
  10 0.475 1174.43 260.052
  11 0.525 1277.92 254.096
  12 0.575 1154.01 257.467
  13 0.625 1272.82 266.296
  14 0.675 1164.94 272.512
  15 0.725 1258.79 287.181
  16 0.775 1152.43 299.278
  17 0.825 1210.94 303.924
  18 0.875 1183.04 319.844
  19 0.925 1139.84 321.881
  20 0.975 1230.33 345.237
28000 20 24019.999999999996
  1 0.025 1172.06 349.754
  2 0.075 1245.71 338.52
  3 0.125 1229.87 327.727
  4 0.175 1185 322.409
  5 0.225 1146.51 307.456
  6 0.275 1178.85 297.072
  7 0.325 1191.02 284.637
  8 0.375 1209.64 272.543
  9 0.425 1224.62 267.894
  10 0.475 1168.09 257.04
  11 0.525 1284.18 250.919
  12 0.575 1163.73 255.963
  13 0.625 1273.6 263.71
  14 0.675 1177.01 277.347
  15 0.725 1258.01 287.828
  16 0.775 1148.26 295.58
  17 0.825 1217.74 307.519
  18 0.875 1184.3 317.539
  19 0.925 1133.34 328.192
  20 0.975 1228.46 344.244
29000 20 24020
  1 0.025 1169.02 346.444
  2 0.075 1257.81 334.845
  3 0.125 1205.66 327.167
  4 0.175 1177.4 316.691
  5 0.225 1150.04 308.932
  6 0.275 1170.36 297.145
  7 0.325 1181.62 285.21
  8 0.375 1209.4 270.347
  9 0.425 1220.93 266.274
  10 0.475 1161.7 256.591
  11 0.525 1273.82 249.191
  12 0.575 1168.63 247.58
  13 0.625 1274.24 265.301
  14 0.675 1184.33 275.664
  15 0.725 1267.24 285.715
  16 0.775 1157.07 296.674
  17 0.825 1214.34 306.806
  18 0.875 1190.77 317.826
  19 0.925 1145.48 332.838
  20 0.975 1240.14 344.322
30000 20 24020
  1 0.025 1170.51 349.315
  2 0.075 1256.38 337.171
  3 0.125 1226.71 329.479
  4 0.175 1178.87 319.827
  5 0.225 1145.84 300.791
  6 0.275 1173.11 293.974
  7 0.325 1187.26 284.13
  8 0.375 1206.33 272.48
  9 0.425 1221.75 265.269
  10 0.475 1174.56 253.307
  11 0.525 1275.97 251.707
  12 0.575 1168.91 247.282
  13 0.625 1248.13 262.238
  14 0.675 1176.11 274.466
  15 0.725 1263.83 286.179
  16 0.775 1163.31 296.06
  17 0.825 1210.55 302.179
  18 0.875 1191.75 314.99
  19 0.925 1151.58 337.24
  20 0.975 1228.54 342.604
31000 20 24020.000000000004
  1 0.025 1176.56 350.35
  2 0.075 1265.79 340.911
  3 0.125 1207.04 330.902
  4 0.175 1180.11 320.103
  5 0.225 1155.46 300.831
  6 0.275 1181.14 298.921
  7 0.325 1192.86 286.019
  8 0.375 1206.37 270.83
  9 0.425 1204.96 264.098
  10 0.475 1173.32 255.058
  11 0.525 1269.03 250.83
  12 0.575 1179.21 250.999
  13 0.625 1245.81 262.927
  14 0.675 1177.83 272.399
  15 0.725 1268.29 283.174
  16 0.775 1162.46 296.303
  17 0.825 1212.45 301.071
  18 0.875 1183.83 323.005
  19 0.925 1152.7 331.561
  20 0.975 1224.78 339.469
32000 20 24019.999999999996
  1 0.025 1160.35 353.24
  2 0.075 1257.92 339.618
  3 0.125 1221.9 331.753
  4 0.175 1185.97 320.325
  5 0.225 1149.91 306.267
  6 0.275 1180.16 297.184
  7 0.325 1194.34 286.084
  8 0.375 1211.52 270.836
  9 0.425 1211.24 268.561
  10 0.475 1167.41 264.682
  11 0.525 1277.81 251.58
  12 0.575 1176.15 249.074
  13 0.625 1254.12 261.797
  14 0.675 1163.31 275.143
  15 0.725 1280.27 283.959
  16 0.775 1157.83 292.3
  17 0.825 1206.44 306.621
  18 0.875 1186.46 319.763
  19 0.925 1150.16 331.207
  20 0.975 1226.73 342.896
33000 20 24019.999999999996
  1 0.025 1155.35 350.094
  2 0.075 1245.67 343.403
  3 0.125 1218.77 330.505
  4 0.175 1193.68 315.241
  5 0.225 1153.61 303.477
  6 0.275 1181.4 300.282
  7 0.325 1208.72 287.262
