# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 24019.999999999996
  1 0.025 1224.44 347.744
  2 0.075 1163.71 336.064
  3 0.125 1204.34 330.342
  4 0.175 1130.32 317.824
  5 0.225 1185.58 304.444
  6 0.275 1195.59 293.639
  7 0.325 1228.88 283.017
  8 0.375 1165.13 271.935
  9 0.425 1225.24 264.753
  10 0.475 1244.77 248.658
  11 0.525 1238.31 252.161
  12 0.575 1173.18 259.856
  13 0.625 1247.92 262.169
  14 0.675 1237.53 274.642
  15 0.725 1204.35 285.694
  16 0.775 1206.5 292.314
  17 0.825 1205.6 296.005
  18 0.875 1180.87 305.217
  19 0.925 1195.05 325.99
  20 0.975 1162.69 338.007
22000 20 24020
  1 0.025 1221.33 347.045
  2 0.075 1167.46 341.577
  3 0.125 1195.13 331.556
  4 0.175 1132.94 317.425
  5 0.225 1190.29 303.241
  6 0.275 1184.77 293.183
  7 0.325 1229.52 280.204
  8 0.375 1164.86 266.328
  9 0.425 1224.12 267.342
  10 0.475 1234.44 254.563
  11 0.525 1253.35 255.326
  12 0.575 1182.38 255.554
  13 0.625 1245.94 266.385
  14 0.675 1235.08 269.235
  15 0.725 1208.37 282.179
  16 0.775 1202.9 293.813
  17 0.825 1212.89 298.223
  18 0.875 1174.37 307.473
  19 0.925 1194.6 318.964
  20 0.975 1165.26 334.609
23000 20 24020.000000000004
  1 0.025 1215.84 348.645
  2 0.075 1172.46 346.051
  3 0.125 1195.68 331.177
  4 0.175 1135.92 317.449
  5 0.225 1189.14 304.303
  6 0.275 1189.45 291.603
  7 0.325 1236.5 282.156
  8 0.375 1159.82 273.241
  9 0.425 1226.65 265.591
  10 0.475 1238.34 257.011
  11 0.525 1255.38 253.271
  12 0.575 1182.39 257.84
  13 0.625 1247.56 265.422
  14 0.675 1226.85 269.851
  15 0.725 1219.67 277.3
  16 0.775 1197.63 288.398
  17 0.825 1211 304.634
  18 0.875 1180.29 311.436
  19 0.925 1183.71 317.15
  20 0.975 1155.72 335.186
24000 20 24020
  1 0.025 1209.03 349.834
  2 0.075 1182.67 339.828
  3 0.125 1185.49 333.93
  4 0.175 1133.43 319.231
  5 0.225 1184.44 302.144
  6 0.275 1185.77 295.684
  7 0.325 1229.33 282.188
  8 0.375 1165.4 273.083
  9 0.425 1233.91 266.933
  10 0.475 1234.37 254.295
  11 0.525 1249.35 250.625
  12 0.575 1184.18 256.856
  13 0.625 1242.7 268.062
  14 0.675 1228.29 270.665
  15 0.725 1219.97 277.806
  16 0.775 1199.44 286.44
  17 0.825 1225.81 299.364
  18 0.875 1173.28 311.739
  19 0.925 1180.09 318.184
  20 0.975 1173.05 334.742
25000 20 24020.000000000004
  1 0.025 1219.4 348.113
  2 0.075 1172.1 343.583
  3 0.125 1191.63 334.974
  4 0.175 1125.9 317.966
  5 0.225 1198.19 310.182
  6 0.275 1183.6 292.377
  7 0.325 1241.19 280.462
  8 0.375 1173.74 271.129
  9 0.425 1230.48 262.07
  10 0.475 1232.89 259.292
  11 0.525 1250.13 251.396
  12 0.575 1181.17 252.606
  13 0.625 1244.78 262.596
  14 0.675 1233.04 271.352
  15 0.725 1199.5 278.115
  16 0.775 1201.98 287.186
  17 0.825 1218.36 297.629
  18 0.875 1182.18 313.094
  19 0.925 1169.65 325.703
  20 0.975 1170.09 339.16
26000 20 24019.999999999996
  1 0.025 1211.5 345.491
  2 0.075 1180.76 345.028
  3 0.125 1188.59 331.241
  4 0.175 1122.53 317.088
  5 0.225 1183.26 307.005
  6 0.275 1184.57 297.867
  7 0.325 1239.27 285.912
  8 0.375 1165.73 267.52
  9 0.425 1222.38 262.432
  10 0.475 1241.06 258.462
  11 0.525 1242.4 252.481
  12 0.575 1188.43 252.12
  13 0.625 1238.09 263.868
  14 0.675 1237.01 268.154
  15 0.725 1203.61 277.042
  16 0.775 1220.6 285.458
  17 0.825 1205.23 300.142
  18 0.875 1186.2 315.107
  19 0.925 1182.85 326.204
  20 0.975 1175.93 346.138
27000 20 24020
  1 0.025 1214.36 348.488
  2 0.075 1166.75 339.764
  3 0.125 1186.09 323.971
  4 0.175 1142.07 319.083
  5 0.225 1196.19 306.238
  6 0.275 1179.56 296.592
  7 0.325 1231.32 281.95
  8 0.375 1175.5 267.929
  9 0.425 1227.36 262.021
  10 0.475 1238.88 257.232
  11 0.525 1248.92 250.834
  12 0.575 1183.55 253.053
  13 0.625 1244.71 261.507
  14 0.675 1230.57 263.705
  15 0.725 1198.11 277.904
  16 0.775 1213.02 286.746
  17 0.825 1215.29 301.752
  18 0.875 1176.09 313.178
  19 0.925 1172.75 330.502
  20 0.975 1178.91 340.126
28000 20 24020.000000000004
  1 0.025 1206.88 347.812
  2 0.075 1173.21 348.303
  3 0.125 1191.05 330.826
  4 0.175 1130.69 310.897
  5 0.225 1189.75 307.514
  6 0.275 1178.45 299.017
  7 0.325 1243.19 283.263
  8 0.375 1164.41 269.18
  9 0.425 1226.46 260.717
  10 0.475 1241.2 255.675
  11 0.525 1244.22 253.52
  12 0.575 1184.69 255.758
  13 0.625 1235.09 260.797
  14 0.675 1235.32 262.318
  15 0.725 1196.55 276.114
  16 0.775 1216.36 290.534
  17 0.825 1200.29 304.442
  18 0.875 1198.64 314.656
  19 0.925 1184.65 327.226
  20 0.975 1178.9 344.071
29000 20 24020.000000000007
  1 0.025 1223.33 352.279
  2 0.075 1165.93 345.415
  3 0.125 1195.82 332.5
  4 0.175 1126.2 311.954
  5 0.225 1188.31 310.496
  6 0.275 1182.64 295.052
  7 0.325 1230.12 281.098
  8 0.375 1169.69 270.307
  9 0.425 1210.45 262.786
  10 0.475 1250.51 254.814
  11 0.525 1239.12 246.35
  12 0.575 1189.51 252.435
  13 0.625 1241.02 266.782
  14 0.675 1242.08 262.059
  15 0.725 1197.9 276.731
  16 0.775 1221.33 291.152
  17 0.825 1204.61 301.7
  18 0.875 1188.04 315.3
  19 0.925 1181.96 329.699
  20 0.975 1171.43 345.84
30000 20 24020.000000000007
  1 0.025 1225.7 351.189
  2 0.075 1159.59 345.464
  3 0.125 1176.75 331.426
  4 0.175 1142.03 318.066
  5 0.225 1195.51 310.421
  6 0.275 1194.05 292.886
  7 0.325 1233.54 277.272
  8 0.375 1161.67 274.016
  9 0.425 1218.29 263.649
  10 0.475 1238.44 255.802
  11 0.525 1244.08 249.617
  12 0.575 1197.04 254.541
  13 0.625 1232.45 264.032
  14 0.675 1249.4 268.123
  15 0.725 1202.65 278.708
  16 0.775 1211.84 291.604
  17 0.825 1204.93 305.032
  18 0.875 1190.25 317.628
  19 0.925 1167.54 326.469
  20 0.975 1174.25 347.816
31000 20 24020.000000000004
