# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 30019.999999999996
  1 0.025 1509.88 296.634
  2 0.075 1473.61 300.541
  3 0.125 1475.28 301.624
  4 0.175 1591.74 306.867
  5 0.225 1462.9 305.36
  6 0.275 1462.32 295.447
  7 0.325 1515.64 296.658
  8 0.375 1520.26 299.05
  9 0.425 1535.44 296.738
  10 0.475 1465.07 295.955
  11 0.525 1591.41 297.803
  12 0.575 1485.64 300.479
  13 0.625 1490.46 295.757
  14 0.675 1474.93 300.376
  15 0.725 1449.95 295.227
  16 0.775 1501.76 294.851
  17 0.825 1510.21 294.046
  18 0.875 1492.65 297.544
  19 0.925 1530.16 303.327
  20 0.975 1480.69 298.914
12000 20 30019.999999999996
  1 0.025 1503.75 299.625
  2 0.075 1465.17 303.159
  3 0.125 1458.79 304.144
  4 0.175 1591.14 304.704
  5 0.225 1451.15 305.114
  6 0.275 1468.99 296.309
  7 0.325 1507.73 294.038
  8 0.375 1534.29 302.345
  9 0.425 1557.14 296.591
  10 0.475 1451.48 292.162
  11 0.525 1591.36 291.226
  12 0.575 1513.88 300.916
  13 0.625 1499.89 296.876
  14 0.675 1456.8 301.152
  15 0.725 1461.51 299.161
  16 0.775 1501.38 294.691
  17 0.825 1504.51 298.074
  18 0.875 1482.52 295.105
  19 0.925 1539.9 299.289
  20 0.975 1478.62 298.496
13000 20 30020.000000000004
  1 0.025 1514.33 301.382
  2 0.075 1466.04 308.565
  3 0.125 1463.9 303.28
  4 0.175 1593.53 300.445
  5 0.225 1453.16 303.003
  6 0.275 1470.09 299.329
  7 0.325 1492.94 296.543
  8 0.375 1526.85 301.415
  9 0.425 1536.78 291.299
  10 0.475 1452.5 293.653
  11 0.525 1583 294.702
  12 0.575 1488.06 297.533
  13 0.625 1504.43 297.946
  14 0.675 1462.59 299.189
  15 0.725 1451.41 294.296
  16 0.775 1498.75 295.024
  17 0.825 1529.5 298.978
  18 0.875 1507 294.943
  19 0.925 1528.41 300.126
  20 0.975 1496.73 304.081
14000 20 30020
  1 0.025 1506.95 303.712
