# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 30020
  1 0.025 1514.78 307.04
  2 0.075 1543.25 305.195
  3 0.125 1398.51 303.617
  4 0.175 1573.51 299.188
  5 0.225 1492.26 296.692
  6 0.275 1503.99 300.588
  7 0.325 1517.77 294.159
  8 0.375 1497 302.973
  9 0.425 1462.7 299.065
  10 0.475 1505.77 302.708
  11 0.525 1463.35 297.64
  12 0.575 1537.2 293.869
  13 0.625 1489.98 301.021
  14 0.675 1441.56 297.739
  15 0.725 1518.55 295.846
  16 0.775 1469.58 294.781
  17 0.825 1504.73 295.897
  18 0.875 1597.19 290.77
  19 0.925 1500.03 297.994
  20 0.975 1488.29 297.476
12000 20 30019.999999999996
  1 0.025 1510.49 304.472
  2 0.075 1542.85 303.892
  3 0.125 1392.85 303.59
  4 0.175 1557.9 301.545
  5 0.225 1489.39 300.275
  6 0.275 1519.27 296.43
  7 0.325 1516.18 295.557
  8 0.375 1485.1 303.996
  9 0.425 1456.3 302.066
  10 0.475 1514.71 299.702
  11 0.525 1461.38 295.023
  12 0.575 1527.76 294.722
  13 0.625 1495.21 299.492
  14 0.675 1459.53 296.913
  15 0.725 1514.87 298.445
  16 0.775 1446.28 295.589
  17 0.825 1517.5 296.202
  18 0.875 1596.2 289.757
  19 0.925 1508.39 294.706
  20 0.975 1507.84 302.285
13000 20 30020
  1 0.025 1514.87 301.773
  2 0.075 1566.21 306.797
  3 0.125 1397.05 303.328
  4 0.175 1546.05 298.306
  5 0.225 1500.46 299.915
  6 0.275 1508.07 294.958
  7 0.325 1496.84 297.918
  8 0.375 1503.74 300.657
  9 0.425 1462.21 303.645
  10 0.475 1493.51 298.547
  11 0.525 1459.56 294.955
  12 0.575 1520.46 294.515
  13 0.625 1508.41 297.779
  14 0.675 1460.99 297.804
  15 0.725 1520.91 300.767
  16 0.775 1442.03 293.903
  17 0.825 1518.63 297.166
  18 0.875 1592.97 290.718
  19 0.925 1512.55 294.785
  20 0.975 1494.48 304.117
14000 20 30020
  1 0.025 1530.76 304.585
  2 0.075 1539.62 308.057
  3 0.125 1420.4 305.844
  4 0.175 1562.92 295.049
  5 0.225 1497.05 299.154
  6 0.275 1509.76 295.309
  7 0.325 1502.84 297.439
  8 0.375 1484.54 300.986
  9 0.425 1451.51 302.462
  10 0.475 1501.05 296.65
  11 0.525 1447.56 295.372
  12 0.575 1521.46 294.11
  13 0.625 1496.2 295.97
  14 0.675 1442.54 297.586
  15 0.725 1516.74 295.926
  16 0.775 1467.47 297.621
  17 0.825 1522.53 295.918
  18 0.875 1611.64 294.883
  19 0.925 1500.32 298.723
  20 0.975 1493.09 301.835
15000 20 30020
  1 0.025 1514.17 306.856
  2 0.075 1552.79 307.039
  3 0.125 1408.53 300.169
  4 0.175 1548.11 299.136
  5 0.225 1518.52 298.394
  6 0.275 1508.95 298.688
  7 0.325 1499.63 298.702
  8 0.375 1490.74 300.071
  9 0.425 1450 300.488
  10 0.475 1491.48 296.875
  11 0.525 1457.84 294.609
  12 0.575 1525.47 292.603
  13 0.625 1495.95 296.648
  14 0.675 1446.49 291.767
  15 0.725 1516.06 297.509
  16 0.775 1468.23 299.347
  17 0.825 1520.44 298.278
  18 0.875 1588.48 294.134
  19 0.925 1514.25 299.733
  20 0.975 1503.87 299.083
16000 20 30020
  1 0.025 1523.27 302.658
  2 0.075 1561.56 304.125
  3 0.125 1400.41 306.728
  4 0.175 1536.04 299.823
  5 0.225 1497.01 298.222
  6 0.275 1503.2 299.19
  7 0.325 1507.35 299.504
  8 0.375 1476.45 297.823
  9 0.425 1457.81 302.444
  10 0.475 1507.05 295.738
  11 0.525 1471.46 293.694
  12 0.575 1531.32 296.57
  13 0.625 1510.14 296.209
  14 0.675 1459.71 292.301
  15 0.725 1509.29 294.185
  16 0.775 1460.17 298.864
  17 0.825 1514.81 300.159
  18 0.875 1600.68 297.657
  19 0.925 1506.67 299.222
  20 0.975 1485.6 300.584
17000 20 30019.999999999993
  1 0.025 1529.55 301.137
  2 0.075 1560.01 307.624
  3 0.125 1401.77 301.802
  4 0.175 1537.63 302.845
  5 0.225 1494.86 303.172
  6 0.275 1506.97 295.277
  7 0.325 1522.71 298.024
  8 0.375 1493.17 298.238
  9 0.425 1464.28 301.729
  10 0.475 1498.81 294.405
  11 0.525 1462.13 290.528
  12 0.575 1528 295.505
  13 0.625 1510.07 297.789
  14 0.675 1448.14 293.022
  15 0.725 1505.44 294.559
  16 0.775 1461.62 298.249
  17 0.825 1526.09 298.844
  18 0.875 1586.35 298.937
  19 0.925 1508.48 299.847
  20 0.975 1473.92 299.142
18000 20 30020
  1 0.025 1522.48 301.158
  2 0.075 1553.79 303.247
  3 0.125 1410.11 301.052
  4 0.175 1547.49 305.197
  5 0.225 1494.7 305.83
  6 0.275 1527.63 296.899
  7 0.325 1483.99 295.853
  8 0.375 1494.87 299.892
  9 0.425 1456.46 299.417
  10 0.475 1503.52 293.624
  11 0.525 1458.36 288.875
  12 0.575 1535.18 294.243
  13 0.625 1505.92 298.306
  14 0.675 1441.88 297.667
  15 0.725 1511.2 295.917
  16 0.775 1463.84 294.385
  17 0.825 1529.53 303.986
  18 0.875 1588.4 298.75
  19 0.925 1507.78 296.778
  20 0.975 1482.87 303.064
19000 20 30019.999999999996
  1 0.025 1537.83 301.703
  2 0.075 1542.37 305.52
  3 0.125 1420.58 301.402
  4 0.175 1530.94 303.074
  5 0.225 1490.17 309.194
  6 0.275 1513.17 297.54
  7 0.325 1503.73 292.416
  8 0.375 1486.23 300.617
  9 0.425 1458.93 297.514
  10 0.475 1501.16 294.74
  11 0.525 1468.68 286.248
  12 0.575 1522.39 297.646
  13 0.625 1500.22 296.035
  14 0.675 1439.43 295.343
  15 0.725 1513.03 292.793
  16 0.775 1460.28 297.227
  17 0.825 1531.09 308.42
  18 0.875 1590.32 295.612
  19 0.925 1509.74 297.184
  20 0.975 1499.71 299.1
20000 20 30020
  1 0.025 1523.25 306.123
  2 0.075 1550.49 308.589
  3 0.125 1412.16 302.212
  4 0.175 1531.6 301.62
  5 0.225 1485.88 306.71
  6 0.275 1529.4 301.421
  7 0.325 1519.78 292.311
  8 0.375 1507.56 301.37
  9 0.425 1451.31 298.216
  10 0.475 1504.66 299.55
  11 0.525 1467.23 284.924
  12 0.575 1507.6 291.742
  13 0.625 1490.84 299.082
  14 0.675 1434.52 295.565
  15 0.725 1525.86 293.163
  16 0.775 1465.65 295.384
  17 0.825 1512.86 309.831
  18 0.875 1609.89 292.497
  19 0.925 1500.29 295.871
  20 0.975 1489.17 299.592
21000 20 30019.999999999993
  1 0.025 1522.3 305.339
  2 0.075 1556.55 308.934
  3 0.125 1424.53 301.622
  4 0.175 1547.11 302.232
  5 0.225 1494.68 304.644
  6 0.275 1526.55 301.665
  7 0.325 1502.61 293.975
  8 0.375 1498.31 297.891
  9 0.425 1437.63 299.941
  10 0.475 1515.6 298.48
  11 0.525 1458.68 286.442
  12 0.575 1521.83 293.247
  13 0.625 1499.15 297.598
  14 0.675 1454.43 295.154
  15 0.725 1507.51 293.491
  16 0.775 1442.71 297.711
  17 0.825 1520.27 303.169
  18 0.875 1593.85 293.806
  19 0.925 1502.92 299.852
  20 0.975 1492.78 299.085
22000 20 30020
  1 0.025 1516.49 311.969
  2 0.075 1557.94 309.502
  3 0.125 1407.06 300.238
  4 0.175 1544.73 300.681
  5 0.225 1487.54 302.601
  6 0.275 1518.99 298.193
  7 0.325 1502.6 294.368
  8 0.375 1490.78 294.808
  9 0.425 1449.28 301.604
  10 0.475 1509.23 297.912
  11 0.525 1461.12 284.951
  12 0.575 1523.59 292.097
  13 0.625 1490.74 294.679
  14 0.675 1447.3 297.394
  15 0.725 1494.21 297.805
  16 0.775 1459.12 299.157
  17 0.825 1541.18 299.451
  18 0.875 1590.89 292.248
  19 0.925 1534.51 301.124
  20 0.975 1492.7 300.41
23000 20 30020.000000000004
  1 0.025 1512.43 307.438
  2 0.075 1558.16 307.286
  3 0.125 1410.51 305.129
  4 0.175 1540.8 300.673
  5 0.225 1482.59 299.304
  6 0.275 1519.42 300.609
  7 0.325 1506.44 296.467
  8 0.375 1491.68 296.814
  9 0.425 1444.01 299.108
  10 0.475 1508.51 298.61
  11 0.525 1471.85 285.025
  12 0.575 1514.21 288.638
  13 0.625 1500.64 294.782
  14 0.675 1458.35 299.816
  15 0.725 1502.99 295.386
  16 0.775 1457.88 299.496
  17 0.825 1528.45 301.88
  18 0.875 1611.36 292.409
  19 0.925 1519.2 300.565
  20 0.975 1480.52 302.245
24000 20 30020.00000000001
  1 0.025 1510 309.415
  2 0.075 1559.11 309.146
  3 0.125 1383.37 307.868
  4 0.175 1544.09 299.726
  5 0.225 1503.64 300.103
  6 0.275 1510.48 297.339
  7 0.325 1505.57 299.041
  8 0.375 1505.62 294.791
  9 0.425 1463.4 301.319
  10 0.475 1502.29 298.488
  11 0.525 1467.4 289.913
  12 0.575 1526.47 290.085
  13 0.625 1505.03 295.291
  14 0.675 1469.65 296.548
  15 0.725 1507.83 292.61
  16 0.775 1458.7 298.95
  17 0.825 1516.17 302.072
  18 0.875 1591.13 294.001
  19 0.925 1515.65 297.324
  20 0.975 1474.4 301.556
25000 20 30020.000000000004
  1 0.025 1509.98 312.412
  2 0.075 1558.67 308.663
  3 0.125 1400.81 307.437
  4 0.175 1545.58 299.488
  5 0.225 1487.59 299.674
  6 0.275 1520.9 296.697
  7 0.325 1523.13 297.893
  8 0.375 1494.18 295.54
  9 0.425 1458.36 302.324
  10 0.475 1505.6 297.885
  11 0.525 1469.6 289.638
  12 0.575 1518.48 290.794
  13 0.625 1493.65 295.374
  14 0.675 1456.41 295.549
  15 0.725 1495.34 293.113
  16 0.775 1457.37 296.026
  17 0.825 1531.67 301.318
  18 0.875 1599.63 294.242
  19 0.925 1504.17 293.924
  20 0.975 1488.88 306.409
26000 20 30020
  1 0.025 1533.97 312.727
  2 0.075 1541.65 309.265
  3 0.125 1394.89 307.231
  4 0.175 1539.38 299.093
  5 0.225 1485.78 296.586
  6 0.275 1508.6 302.765
  7 0.325 1523.58 293.405
  8 0.375 1490.03 296.371
  9 0.425 1447.63 300.335
  10 0.475 1518.97 298.109
  11 0.525 1463.33 289.247
  12 0.575 1529.04 294.907
  13 0.625 1494.48 296.07
  14 0.675 1456.05 293.409
  15 0.725 1505.27 290.747
  16 0.775 1464.9 296.822
  17 0.825 1516.39 298.621
  18 0.875 1609.37 299.491
  19 0.925 1507.03 295.046
  20 0.975 1489.66 304.16
27000 20 30020.000000000004
  1 0.025 1527.21 312.665
  2 0.075 1547.49 309.43
  3 0.125 1379.57 306.543
  4 0.175 1546.54 299.756
  5 0.225 1493.22 297.067
  6 0.275 1520.47 301.057
  7 0.325 1517.73 294.926
  8 0.375 1492.54 301.116
  9 0.425 1470.21 300.738
  10 0.475 1518.58 295.021
  11 0.525 1455.95 290.134
  12 0.575 1538.11 294.123
  13 0.625 1499.13 292.478
  14 0.675 1462.49 293.231
  15 0.725 1510.72 292.25
  16 0.775 1471.64 291.124
  17 0.825 1525.03 301.31
  18 0.875 1582.9 298.918
  19 0.925 1495.82 300.396
  20 0.975 1464.65 304.145
28000 20 30020
  1 0.025 1517.55 308.941
  2 0.075 1556.99 314.214
  3 0.125 1394.74 306.81
  4 0.175 1553.27 296.751
  5 0.225 1495.7 298.136
  6 0.275 1517.1 302.333
  7 0.325 1506.92 293.707
  8 0.375 1488.01 300.436
  9 0.425 1454.95 297.317
  10 0.475 1514.69 297.484
  11 0.525 1467.78 291.757
  12 0.575 1523.9 291.67
  13 0.625 1495.7 290.986
  14 0.675 1454.74 292.762
  15 0.725 1498.71 291.841
  16 0.775 1466.6 293.719
  17 0.825 1519.18 300.128
  18 0.875 1600.6 297.03
  19 0.925 1507.98 302.697
  20 0.975 1484.89 304.093
29000 20 30020
  1 0.025 1519.06 313.123
  2 0.075 1557.65 310.922
  3 0.125 1405.27 302.316
  4 0.175 1553.92 299.796
  5 0.225 1492.91 299.554
  6 0.275 1505.64 303.903
  7 0.325 1510.87 296.391
  8 0.375 1484.57 297.652
  9 0.425 1463.88 300.084
  10 0.475 1512.71 295.584
  11 0.525 1480.46 290.424
  12 0.575 1509.69 290.302
  13 0.625 1489.54 289.548
  14 0.675 1460.34 294.915
  15 0.725 1502.87 290.274
  16 0.775 1454.29 295.28
  17 0.825 1537.36 302.054
  18 0.875 1576.96 298.839
  19 0.925 1519.72 302.087
  20 0.975 1482.29 300.834
30000 20 30020
  1 0.025 1504.34 316.002
  2 0.075 1556.98 306.251
  3 0.125 1410.17 303.538
  4 0.175 1543.48 295.345
  5 0.225 1491.52 303.386
  6 0.275 1514.4 304.199
  7 0.325 1508.16 295.269
  8 0.375 1477.66 298.126
  9 0.425 1479.12 301.056
  10 0.475 1512.79 294.259
  11 0.525 1461.56 290.186
  12 0.575 1530.04 287.41
  13 0.625 1500.2 289.745
  14 0.675 1456.87 295.164
  15 0.725 1504.94 296.691
  16 0.775 1455.4 296.059
  17 0.825 1529.37 298.072
  18 0.875 1586.84 300.574
  19 0.925 1507.43 299.581
  20 0.975 1488.73 303.722
31000 20 30019.999999999993
  1 0.025 1512.94 310.73
  2 0.075 1538.72 305.8
  3 0.125 1412.29 304.371
  4 0.175 1551.82 295.621
  5 0.225 1494.93 302.762
  6 0.275 1519.13 301.11
  7 0.325 1505.15 296.72
  8 0.375 1493.7 296.76
  9 0.425 1463.67 298.139
  10 0.475 1505.76 297.642
  11 0.525 1460.22 286.031
  12 0.575 1536.5 284.87
  13 0.625 1499.09 292.23
  14 0.675 1463.33 296.634
  15 0.725 1500.62 298.667
  16 0.775 1444.33 295.146
  17 0.825 1519.07 298.092
  18 0.875 1585.12 304.688
  19 0.925 1511.53 302.181
  20 0.975 1502.08 304.795
32000 20 30020
  1 0.025 1519.84 311.457
  2 0.075 1551.64 304.144
  3 0.125 1421.05 304.894
  4 0.175 1537.23 300.873
  5 0.225 1509.75 302.705
  6 0.275 1519.04 300.177
  7 0.325 1506.44 295.118
  8 0.375 1480.1 298.306
  9 0.425 1456.98 299.302
  10 0.475 1516.58 296.695
  11 0.525 1469.16 288.437
  12 0.575 1509.33 283.335
  13 0.625 1484.93 291.871
  14 0.675 1447.23 290.425
  15 0.725 1498.57 295.184
  16 0.775 1484.84 295.493
  17 0.825 1515.96 299.824
  18 0.875 1596.7 305.058
  19 0.925 1508.43 302.56
  20 0.975 1486.2 309.448
33000 20 30019.999999999996
  1 0.025 1516.32 305.992
  2 0.075 1559.06 303.248
  3 0.125 1413.91 308.238
  4 0.175 1541.4 301.832
  5 0.225 1493.52 297.659
  6 0.275 1507.8 297.77
  7 0.325 1505.81 295.728
  8 0.375 1486.91 300.644
  9 0.425 1460.3 298.209
  10 0.475 1513.48 296.59
  11 0.525 1461.75 289.462
  12 0.575 1519.35 287.116
  13 0.625 1498.98 289.303
  14 0.675 1454.33 289.672
  15 0.725 1516.69 295.499
  16 0.775 1464.51 294.97
  17 0.825 1510.36 301.333
  18 0.875 1599.88 304.872
  19 0.925 1501.36 305.963
  20 0.975 1494.28 312.653
34000 20 30019.999999999996
  1 0.025 1504.68 308.317
  2 0.075 1558.59 305.056
  3 0.125 1420.85 308.738
