# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 30020.000000000004
  1 0.025 1536.34 295.826
  2 0.075 1530.46 302.099
  3 0.125 1443.13 297.908
  4 0.175 1452.77 300.104
  5 0.225 1507.1 304.078
  6 0.275 1484.92 299.553
  7 0.325 1522.35 300.359
  8 0.375 1494.23 301.426
  9 0.425 1484.49 299.188
  10 0.475 1525.22 289.362
  11 0.525 1532.05 293.497
  12 0.575 1527.56 296.087
  13 0.625 1521.69 299.723
  14 0.675 1547.11 300.975
  15 0.725 1488.92 301.54
  16 0.775 1552.14 296.043
  17 0.825 1481.44 299.276
  18 0.875 1469.29 300.245
  19 0.925 1482.56 296.429
  20 0.975 1436.23 300.158
12000 20 30020
  1 0.025 1558 298.151
  2 0.075 1516.58 301.52
  3 0.125 1431.9 297.688
  4 0.175 1467.22 303.666
  5 0.225 1502.14 299.415
  6 0.275 1485.14 301.977
  7 0.325 1535.18 304.285
  8 0.375 1489.91 299.58
  9 0.425 1465.59 294.571
  10 0.475 1537.64 289.624
  11 0.525 1535.77 290.756
  12 0.575 1528.16 296.335
  13 0.625 1525.07 298.554
  14 0.675 1519.9 299.821
  15 0.725 1500.55 302.428
  16 0.775 1545.38 297.117
  17 0.825 1497.44 302.602
  18 0.875 1463.08 301.492
  19 0.925 1485.85 297.017
  20 0.975 1429.5 300.359
13000 20 30020.000000000004
  1 0.025 1544.45 297.621
  2 0.075 1503.66 302.698
  3 0.125 1454.03 300.923
  4 0.175 1450.96 303.079
  5 0.225 1508.43 299.129
  6 0.275 1492.86 301.529
  7 0.325 1531.92 302.217
  8 0.375 1502.03 296.339
  9 0.425 1482.77 293.27
  10 0.475 1533.1 292.387
  11 0.525 1533.43 294.855
  12 0.575 1525.34 297.614
  13 0.625 1516.58 298.978
  14 0.675 1524.09 296.742
  15 0.725 1509.46 300.929
  16 0.775 1552.26 297.416
  17 0.825 1473.87 299.061
  18 0.875 1469.91 299.22
  19 0.925 1465.45 302.678
  20 0.975 1445.4 296.924
14000 20 30019.999999999996
  1 0.025 1547.52 298.424
  2 0.075 1524.12 299.817
  3 0.125 1464.48 305.112
  4 0.175 1454.97 305.364
  5 0.225 1494.43 303.486
  6 0.275 1510.54 298.97
  7 0.325 1512.5 300.39
  8 0.375 1496.19 294.751
  9 0.425 1470.32 296.807
  10 0.475 1520.29 291.951
  11 0.525 1540.89 291.997
  12 0.575 1518.12 294.888
  13 0.625 1515.64 300.288
  14 0.675 1533.62 301.313
  15 0.725 1508.82 301.928
  16 0.775 1552.77 297.777
  17 0.825 1485.14 296.453
  18 0.875 1473.33 298.711
  19 0.925 1457.79 299.43
  20 0.975 1438.52 299.341
15000 20 30019.999999999996
  1 0.025 1547.26 295.616
  2 0.075 1515.59 299.875
  3 0.125 1444.1 305.114
  4 0.175 1456.8 305.173
  5 0.225 1511.49 303.762
  6 0.275 1493.4 299.739
  7 0.325 1512.61 298.213
  8 0.375 1499.73 300.843
  9 0.425 1482.62 292.978
  10 0.475 1526.62 295.756
  11 0.525 1534.15 292.649
  12 0.575 1528.02 296.713
  13 0.625 1530.76 294.751
  14 0.675 1534.31 298.701
  15 0.725 1485.42 299.244
  16 0.775 1570.06 299.345
  17 0.825 1466.23 299.177
  18 0.875 1469.6 299.508
  19 0.925 1471.21 300.066
  20 0.975 1440.02 298.102
16000 20 30019.999999999996
  1 0.025 1539.14 299.764
  2 0.075 1528.51 301.778
  3 0.125 1451.48 303.409
  4 0.175 1459.16 304.98
  5 0.225 1502.36 302.207
  6 0.275 1499.85 300.129
  7 0.325 1522.98 296.875
  8 0.375 1499.25 301.067
  9 0.425 1496.9 292.562
  10 0.475 1517.31 295.502
  11 0.525 1535.38 291.37
  12 0.575 1521.3 295.89
  13 0.625 1514.53 297.022
  14 0.675 1533.95 297.796
  15 0.725 1492.94 299.778
  16 0.775 1548.48 293.197
  17 0.825 1460.61 297.484
  18 0.875 1474.84 300.946
  19 0.925 1468.68 298.792
  20 0.975 1452.35 302.477
17000 20 30020
  1 0.025 1544.94 299.652
  2 0.075 1511.41 300.212
  3 0.125 1437.44 302.624
  4 0.175 1454.64 307.045
  5 0.225 1514.05 305.322
  6 0.275 1489.76 297.949
  7 0.325 1517.53 299.518
  8 0.375 1491.52 297.312
  9 0.425 1500.73 294.781
  10 0.475 1517.24 293.672
  11 0.525 1530.06 292.178
  12 0.575 1538.99 296.888
  13 0.625 1518.07 296.048
  14 0.675 1556.44 298.936
  15 0.725 1491.68 300.504
  16 0.775 1571.26 295.448
  17 0.825 1462.1 297.517
  18 0.875 1470.71 302.147
  19 0.925 1461.68 299.42
  20 0.975 1439.75 302.665
18000 20 30020.000000000004
  1 0.025 1546.11 300.661
  2 0.075 1529.58 299.498
  3 0.125 1435.87 301.816
  4 0.175 1453.67 309.575
  5 0.225 1518.14 302.915
  6 0.275 1495.05 297.527
  7 0.325 1514.57 297.638
  8 0.375 1500.47 299.742
  9 0.425 1472.97 295.97
  10 0.475 1527.19 296.391
  11 0.525 1523.34 291.204
  12 0.575 1517.23 293.771
  13 0.625 1530.57 297.178
  14 0.675 1526.12 300.864
  15 0.725 1493.58 296.915
  16 0.775 1560.23 296.543
  17 0.825 1474.06 296.077
  18 0.875 1478.99 298.953
  19 0.925 1451.49 298.096
  20 0.975 1470.77 305.797
19000 20 30020.000000000004
  1 0.025 1550.18 303.058
  2 0.075 1514.79 303.463
  3 0.125 1451.94 302.238
  4 0.175 1454.25 308.571
  5 0.225 1511.82 303.68
  6 0.275 1502.3 296.909
  7 0.325 1514.64 295.377
  8 0.375 1499.35 303.447
  9 0.425 1468.11 296.059
  10 0.475 1518.95 295.885
  11 0.525 1538.48 288.678
  12 0.575 1526.1 297.462
  13 0.625 1533.84 297.808
  14 0.675 1518.02 296.737
  15 0.725 1494.41 297.803
  16 0.775 1557.32 294.535
  17 0.825 1481.23 292.936
  18 0.875 1477.42 299.161
  19 0.925 1460.47 299.021
  20 0.975 1446.38 304.928
20000 20 30020
  1 0.025 1547.42 303.725
  2 0.075 1507.83 302.766
  3 0.125 1434.56 302.56
  4 0.175 1448.61 309.042
  5 0.225 1515.31 302.276
  6 0.275 1513.89 296.288
  7 0.325 1502.44 296.437
  8 0.375 1481.66 301.606
  9 0.425 1479.3 299.13
  10 0.475 1524.61 295.38
  11 0.525 1532.08 291.034
  12 0.575 1529.75 294.433
  13 0.625 1541.96 295.652
  14 0.675 1533.67 298.551
  15 0.725 1488.25 298.142
  16 0.775 1573.32 295.613
  17 0.825 1484.15 295.012
  18 0.875 1482.88 299.599
  19 0.925 1450.43 296.025
  20 0.975 1447.88 305.462
21000 20 30020
  1 0.025 1555.99 302.213
  2 0.075 1525.54 300.34
  3 0.125 1442.51 304.543
  4 0.175 1462.53 309.457
  5 0.225 1505.07 301.412
  6 0.275 1505.06 298.974
  7 0.325 1511.48 298.059
  8 0.375 1503.61 300.772
  9 0.425 1464.64 294.438
  10 0.475 1527.66 292.731
  11 0.525 1526.99 294.039
  12 0.575 1505.25 293.051
  13 0.625 1532.78 297.554
  14 0.675 1538.61 299.721
  15 0.725 1486.82 298.546
  16 0.775 1549.86 299.284
  17 0.825 1491.92 290.411
  18 0.875 1475.63 295.99
  19 0.925 1470.32 299.191
  20 0.975 1437.73 307.323
22000 20 30020
  1 0.025 1564.82 301.53
  2 0.075 1502.06 302.267
  3 0.125 1466.55 305.213
  4 0.175 1446.11 307.322
  5 0.225 1504.05 306.002
  6 0.275 1498.24 300.176
  7 0.325 1523.41 296.722
  8 0.375 1490.9 297.76
  9 0.425 1468 291.233
  10 0.475 1504.38 294.404
  11 0.525 1527.43 289.182
  12 0.575 1518.18 294.013
  13 0.625 1520.34 298.977
  14 0.675 1554.43 297.107
  15 0.725 1499.03 298.771
  16 0.775 1547.06 299.3
  17 0.825 1481.21 293.879
  18 0.875 1490.7 294.712
  19 0.925 1470.66 298.736
  20 0.975 1442.44 308
23000 20 30020
  1 0.025 1550.62 302.852
  2 0.075 1515.43 302.371
  3 0.125 1442.9 306.576
  4 0.175 1452.71 307.647
  5 0.225 1504.66 308.005
  6 0.275 1499.9 295.65
  7 0.325 1521.03 302.007
  8 0.375 1514.82 295.461
  9 0.425 1479.18 292.151
  10 0.475 1513.02 289.954
  11 0.525 1522.42 292.041
  12 0.575 1522.17 291.71
  13 0.625 1537.1 297.115
  14 0.675 1528.8 296.515
  15 0.725 1490.65 300.741
  16 0.775 1552.07 302.275
  17 0.825 1481.52 295.515
  18 0.875 1497.2 291.214
  19 0.925 1447.36 300.509
  20 0.975 1446.44 305.674
24000 20 30019.999999999996
  1 0.025 1529.29 305.433
  2 0.075 1527.31 305.686
  3 0.125 1458.79 305.731
  4 0.175 1451.37 304.437
  5 0.225 1520.52 303.024
  6 0.275 1502.33 297.741
  7 0.325 1518.07 297.609
  8 0.375 1504.7 298.287
  9 0.425 1471 295.859
  10 0.475 1510.6 291.323
  11 0.525 1541.7 292.887
  12 0.575 1513.89 292.993
  13 0.625 1528.77 295.73
  14 0.675 1546.19 296.688
  15 0.725 1485.21 298.626
  16 0.775 1566.08 297.163
  17 0.825 1467.6 298.338
  18 0.875 1466.25 295.1
  19 0.925 1470.26 300.723
  20 0.975 1440.07 303.857
25000 20 30020
  1 0.025 1547.95 307.999
  2 0.075 1519.79 307.389
  3 0.125 1447.33 305.534
  4 0.175 1458.28 306.499
  5 0.225 1499.24 295.209
  6 0.275 1509.39 296.672
  7 0.325 1515.32 301.559
  8 0.375 1495.11 297.535
  9 0.425 1491.76 292.833
  10 0.475 1510.35 293.945
  11 0.525 1533.29 292.992
  12 0.575 1512.93 292.859
  13 0.625 1537.54 296.488
  14 0.675 1517.34 295.204
  15 0.725 1492 293.395
  16 0.775 1553.87 299.419
  17 0.825 1492.33 297.914
  18 0.875 1477.2 299.053
  19 0.925 1467.52 299.668
  20 0.975 1441.46 302.984
26000 20 30020
  1 0.025 1545.49 304.015
  2 0.075 1505.9 307.332
  3 0.125 1434.44 304.301
  4 0.175 1470.14 305.181
  5 0.225 1494.68 296.266
  6 0.275 1495.52 298.499
  7 0.325 1521.93 302.803
  8 0.375 1502.38 300.062
  9 0.425 1470.55 289.835
  10 0.475 1525.15 289.678
  11 0.525 1532.29 289.42
  12 0.575 1532.14 298.75
  13 0.625 1518.63 293.344
  14 0.675 1537.4 293.242
  15 0.725 1492.35 294.06
  16 0.775 1568.68 302.468
  17 0.825 1481.31 299.114
  18 0.875 1491.47 302.189
  19 0.925 1453.26 301.194
  20 0.975 1446.29 302.152
27000 20 30019.999999999996
  1 0.025 1548.72 305.922
  2 0.075 1520.79 299.517
  3 0.125 1448.86 303.392
  4 0.175 1452.05 306.336
  5 0.225 1486.99 298.224
  6 0.275 1505.39 298.986
  7 0.325 1517.33 301.196
  8 0.375 1511.87 297
  9 0.425 1455.48 289.48
  10 0.475 1513.84 290.779
  11 0.525 1539.99 286.857
  12 0.575 1531.59 294.758
  13 0.625 1524.37 295.496
  14 0.675 1530.03 295.86
  15 0.725 1498.39 297.766
  16 0.775 1541.02 299.006
  17 0.825 1496.44 297.53
  18 0.875 1487.58 299.921
  19 0.925 1470.57 302.658
  20 0.975 1438.7 305.761
28000 20 30020
  1 0.025 1553 305.614
  2 0.075 1508.73 304.852
  3 0.125 1454.41 303.401
  4 0.175 1445.99 303.532
  5 0.225 1501.94 300.489
  6 0.275 1505.74 304.005
  7 0.325 1519.31 300.114
  8 0.375 1525.04 296.312
  9 0.425 1462.81 291.194
  10 0.475 1513.74 288.003
  11 0.525 1532.57 286.821
  12 0.575 1519.03 292.186
  13 0.625 1524.43 296.53
  14 0.675 1539.05 299.131
  15 0.725 1493.42 295.82
  16 0.775 1550.83 297.146
  17 0.825 1492.87 296.784
  18 0.875 1472.14 300.858
  19 0.925 1470.23 307.661
  20 0.975 1434.72 305.657
29000 20 30020
  1 0.025 1566.81 308.825
  2 0.075 1507.23 305.183
  3 0.125 1445.1 305.027
  4 0.175 1454.35 308.001
  5 0.225 1505.06 303.589
  6 0.275 1501.9 298.886
  7 0.325 1515.79 298.051
  8 0.375 1507.37 294.727
  9 0.425 1473.53 292.565
  10 0.475 1517.16 285.708
  11 0.525 1532.74 289.238
  12 0.575 1519.82 290.25
  13 0.625 1506.31 293.202
  14 0.675 1546.96 295.792
  15 0.725 1503.22 298.623
  16 0.775 1551.24 298.138
  17 0.825 1480.33 297.045
  18 0.875 1462.97 302.302
  19 0.925 1486.07 306.609
  20 0.975 1436.04 304.728
30000 20 30020.000000000007
  1 0.025 1559.42 308.107
  2 0.075 1507.48 304.512
  3 0.125 1459.22 305.781
  4 0.175 1456.15 309.198
  5 0.225 1499.61 304.615
  6 0.275 1486.66 298.813
  7 0.325 1507.79 297.08
  8 0.375 1495.92 294.658
  9 0.425 1481.18 293.195
  10 0.475 1507.54 287.006
  11 0.525 1537.71 286.875
  12 0.575 1521.13 286.944
  13 0.625 1510.46 291.88
  14 0.675 1548.36 299.962
  15 0.725 1505.42 300.011
  16 0.775 1550.74 300.597
  17 0.825 1485.7 298.392
  18 0.875 1484.04 303.082
  19 0.925 1451 306.682
  20 0.975 1464.47 300.836
31000 20 30020.000000000007
  1 0.025 1557.21 308.932
  2 0.075 1515.43 302.536
  3 0.125 1426.75 302.996
  4 0.175 1463.21 309.48
  5 0.225 1507.07 308.191
  6 0.275 1495.68 299.06
  7 0.325 1521.62 291.71
  8 0.375 1510.13 293.773
  9 0.425 1474.84 294.061
  10 0.475 1521.95 289.871
  11 0.525 1532.27 287.365
  12 0.575 1515.95 289.564
  13 0.625 1508.17 288.606
  14 0.675 1547.53 299.62
  15 0.725 1512.43 295.535
  16 0.775 1557.09 299.595
  17 0.825 1475.69 304.154
  18 0.875 1475.79 303.377
  19 0.925 1463.79 304.749
  20 0.975 1437.4 301.544
32000 20 30020
  1 0.025 1545.49 310.049
  2 0.075 1516.43 299.378
  3 0.125 1444.78 306.421
  4 0.175 1455.68 307.063
  5 0.225 1507.22 307.511
  6 0.275 1495.67 297.588
  7 0.325 1533.96 295.398
  8 0.375 1492.58 295.462
  9 0.425 1468.63 289.906
  10 0.475 1521.92 289.36
  11 0.525 1523.9 290.723
  12 0.575 1526.88 293.843
  13 0.625 1527.74 287.507
  14 0.675 1531.51 293.991
  15 0.725 1483.97 296.731
  16 0.775 1560.49 299.487
  17 0.825 1497.49 302.357
  18 0.875 1456.64 304.56
  19 0.925 1466.42 302.709
  20 0.975 1462.6 303.566
33000 20 30020.000000000004
  1 0.025 1553.24 310.435
  2 0.075 1525.05 303.865
  3 0.125 1448.15 304.739
  4 0.175 1456.27 305.386
  5 0.225 1527.07 305.979
  6 0.275 1479.56 302.947
  7 0.325 1517.38 295.466
  8 0.375 1497.3 293.253
  9 0.425 1469.19 289.346
  10 0.475 1520.19 290.187
  11 0.525 1530.11 289.571
  12 0.575 1521.02 289.606
  13 0.625 1516.63 288.714
  14 0.675 1536.91 290.083
  15 0.725 1495.46 293.191
  16 0.775 1558.78 303.312
  17 0.825 1485.54 304.494
  18 0.875 1478.42 304.424
  19 0.925 1452.93 301.038
  20 0.975 1450.8 306.253
34000 20 30020.000000000004
  1 0.025 1556.02 313.225
  2 0.075 1512.65 305.308
  3 0.125 1454.31 303.187
  4 0.175 1460.39 304.909
  5 0.225 1507.68 304.991
  6 0.275 1488.05 301.691
  7 0.325 1502.77 296.323
  8 0.375 1484.67 292.848
  9 0.425 1473.36 288.452
  10 0.475 1524.81 291.594
  11 0.525 1534.04 288.826
  12 0.575 1513.04 292.121
  13 0.625 1521.62 289.797
  14 0.675 1536.06 291.536
  15 0.725 1501.11 295.699
  16 0.775 1562.75 298.02
  17 0.825 1482.64 305.004
  18 0.875 1458.06 302.058
  19 0.925 1492.47 301.15
  20 0.975 1453.5 305.454
35000 20 30020
  1 0.025 1545.2 312.644
  2 0.075 1523.03 306.973
  3 0.125 1430.93 306.381
  4 0.175 1471.41 307.028
  5 0.225 1496.09 303.368
  6 0.275 1511.86 300.397
  7 0.325 1518.17 298.321
  8 0.375 1500.65 292.166
  9 0.425 1462.49 288.501
  10 0.475 1523.5 289.76
  11 0.525 1550.01 288.187
  12 0.575 1522.23 289.39
  13 0.625 1526.28 287.69
  14 0.675 1530.22 295.542
  15 0.725 1490.55 300.487
  16 0.775 1561.72 298.568
  17 0.825 1467.17 302.593
  18 0.875 1459.66 302.404
  19 0.925 1484.46 300.038
  20 0.975 1444.37 303.295
36000 20 30020.000000000004
  1 0.025 1536.8 313.133
  2 0.075 1535.66 310.121
  3 0.125 1439.54 309.808
  4 0.175 1452.06 308.711
  5 0.225 1518.28 303.253
  6 0.275 1501.11 297.852
  7 0.325 1512.07 295.175
  8 0.375 1492.75 294.76
  9 0.425 1474.94 291.159
  10 0.475 1521.2 287.405
  11 0.525 1534.72 285.831
  12 0.575 1523.49 291.108
  13 0.625 1531.71 288.158
  14 0.675 1545.13 297.101
  15 0.725 1497.23 299.933
  16 0.775 1559.99 300.247
  17 0.825 1475.15 300.193
  18 0.875 1450.3 300.085
  19 0.925 1474.55 300.151
  20 0.975 1443.32 301.397
37000 20 30020
  1 0.025 1528.25 312.871
  2 0.075 1518.57 312.153
  3 0.125 1442.7 308.482
  4 0.175 1463.88 307.61
  5 0.225 1502.7 303.664
  6 0.275 1496.4 299.157
  7 0.325 1525.08 295.624
  8 0.375 1495.87 293.381
  9 0.425 1479.43 289.434
  10 0.475 1521.63 292.494
  11 0.525 1541.36 286.759
  12 0.575 1508.58 286.602
  13 0.625 1526.69 288.866
  14 0.675 1543.55 295.03
  15 0.725 1497.76 300.948
  16 0.775 1551.35 299.063
  17 0.825 1498.86 295.546
  18 0.875 1468.19 303.507
  19 0.925 1463.95 299.863
  20 0.975 1445.2 300.772
38000 20 30020.000000000004
  1 0.025 1543.37 310.295
  2 0.075 1504.46 307.02
  3 0.125 1448.06 310.178
  4 0.175 1474.48 308.014
  5 0.225 1503.28 302.699
  6 0.275 1491.97 296.207
  7 0.325 1516.01 296.197
  8 0.375 1511.24 290.282
  9 0.425 1470.95 291.394
  10 0.475 1517.63 291.404
  11 0.525 1533.1 290.047
  12 0.575 1524.43 288.523
