# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 30020
  1 0.025 1518.59 312.033
  2 0.075 1472.63 312.135
  3 0.125 1496.77 306.723
  4 0.175 1584.93 301.499
  5 0.225 1466.09 298.783
  6 0.275 1470.87 298.281
  7 0.325 1499.53 295.452
  8 0.375 1529.09 291.059
  9 0.425 1545.72 287.938
  10 0.475 1468.1 286.803
  11 0.525 1566.76 285.365
  12 0.575 1500.27 290.472
  13 0.625 1505.79 287.373
  14 0.675 1463.96 290.696
  15 0.725 1418.79 292.964
  16 0.775 1505.73 298.732
  17 0.825 1518.85 291.16
  18 0.875 1473.47 303.011
  19 0.925 1531.8 302.559
  20 0.975 1482.26 311.205
22000 20 30020.000000000004
  1 0.025 1516.99 313.866
  2 0.075 1468.84 310.402
  3 0.125 1483.18 304.681
  4 0.175 1578.53 301.248
  5 0.225 1463.29 302.874
  6 0.275 1461.7 299.159
  7 0.325 1496.54 295.318
  8 0.375 1550.88 291.974
  9 0.425 1537.04 286.1
  10 0.475 1477.33 287.276
  11 0.525 1576.31 282.954
  12 0.575 1498.5 284.32
  13 0.625 1496.54 288.537
  14 0.675 1460.05 289.982
  15 0.725 1428.36 290.833
  16 0.775 1514.29 300.713
  17 0.825 1507.4 295.632
  18 0.875 1483.93 305.145
  19 0.925 1524.61 299.152
  20 0.975 1495.69 310.181
23000 20 30020
  1 0.025 1505.4 316.385
  2 0.075 1488.45 311.852
  3 0.125 1479.19 303.726
  4 0.175 1596.85 299.92
  5 0.225 1452.02 305.389
  6 0.275 1467.4 299.5
  7 0.325 1487.01 292.907
  8 0.375 1545.59 291.023
  9 0.425 1522.46 285.99
  10 0.475 1475.88 288
  11 0.525 1566.64 286.433
  12 0.575 1497.85 284.627
  13 0.625 1514.06 288.185
  14 0.675 1461.1 290.64
  15 0.725 1441.85 293.753
  16 0.775 1504.32 296.559
  17 0.825 1514.61 297.574
  18 0.875 1502.83 303.035
  19 0.925 1501.98 303.406
  20 0.975 1494.51 307.973
24000 20 30019.999999999996
  1 0.025 1511.15 318.132
  2 0.075 1477.39 308.652
  3 0.125 1473.6 305.946
  4 0.175 1586.36 301.217
  5 0.225 1471.61 301.902
  6 0.275 1456.55 299.496
  7 0.325 1504.61 295.297
  8 0.375 1539.39 294.499
  9 0.425 1548.54 281.955
  10 0.475 1459.85 285.431
  11 0.525 1566.02 286.708
  12 0.575 1500.99 282.65
  13 0.625 1518.21 284.582
  14 0.675 1465.97 290.677
  15 0.725 1428.21 297.73
  16 0.775 1498.38 292.873
  17 0.825 1518.87 297.37
  18 0.875 1481.52 303.279
  19 0.925 1526.1 306.682
  20 0.975 1486.68 314.539
25000 20 30019.999999999996
  1 0.025 1508.35 312.672
  2 0.075 1477.12 310.053
  3 0.125 1473.79 310.794
  4 0.175 1584.17 300.077
  5 0.225 1478.74 303.249
  6 0.275 1461.06 296.621
  7 0.325 1520.01 293.681
  8 0.375 1538.04 292.381
  9 0.425 1542.3 284.928
  10 0.475 1457.08 291.248
  11 0.525 1563.95 288.895
  12 0.575 1500.99 286.828
  13 0.625 1503.01 284.923
  14 0.675 1463.41 288.746
  15 0.725 1439.56 297.649
  16 0.775 1507.05 291.616
  17 0.825 1526.28 298.251
  18 0.875 1477.72 305.053
  19 0.925 1514.19 305.457
  20 0.975 1483.18 311.502
26000 20 30020
  1 0.025 1506.21 315.238
  2 0.075 1461.52 313.911
  3 0.125 1479.14 309.406
  4 0.175 1593.96 297.475
  5 0.225 1468.46 301.996
  6 0.275 1460.88 297.601
  7 0.325 1500.03 294.486
  8 0.375 1541.94 291.02
  9 0.425 1534.28 286.339
  10 0.475 1480.55 287.852
  11 0.525 1566.94 286.535
  12 0.575 1503.11 289.228
  13 0.625 1504.65 285.658
  14 0.675 1461.42 288.513
  15 0.725 1435.19 292.797
  16 0.775 1502.32 292.026
  17 0.825 1526.43 296.75
  18 0.875 1480.54 303.792
  19 0.925 1525.01 308.271
  20 0.975 1487.42 316.587
27000 20 30019.999999999993
  1 0.025 1510.2 312.824
  2 0.075 1481.05 309.127
  3 0.125 1479.57 311.164
  4 0.175 1595.72 298.475
  5 0.225 1462.22 299.157
  6 0.275 1466.91 304.578
  7 0.325 1509.45 293.335
  8 0.375 1554.46 290.039
  9 0.425 1530.45 284.373
  10 0.475 1461.68 287.577
