# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 30020.000000000004
  1 0.025 1523.68 315.45
  2 0.075 1554.32 312.261
  3 0.125 1403.47 310.737
  4 0.175 1572.93 308.574
  5 0.225 1472.3 303.748
  6 0.275 1491.62 295.702
  7 0.325 1523.34 296.056
  8 0.375 1502.97 298.579
  9 0.425 1454.55 288.177
  10 0.475 1497.21 283.653
  11 0.525 1476.3 289.634
  12 0.575 1529.18 281.983
  13 0.625 1489.52 290.485
  14 0.675 1442.99 293.128
  15 0.725 1506.66 292.211
  16 0.775 1457.23 291.683
  17 0.825 1517.96 301.031
  18 0.875 1603.11 297.428
  19 0.925 1499.17 304.612
  20 0.975 1501.49 314.936
22000 20 30020.000000000004
  1 0.025 1492.4 314.938
  2 0.075 1574.46 311.597
  3 0.125 1388.86 311.879
  4 0.175 1555.92 308.365
  5 0.225 1499.18 302.563
  6 0.275 1507.6 296.47
  7 0.325 1518.52 295.277
  8 0.375 1512.45 291.483
  9 0.425 1446.81 290.987
  10 0.475 1506.97 281.827
  11 0.525 1449.91 283.294
  12 0.575 1537.31 285.962
  13 0.625 1505.95 285.957
  14 0.675 1456.26 292.492
  15 0.725 1498.51 298.81
  16 0.775 1443.42 289.798
  17 0.825 1519.47 295.045
  18 0.875 1593.29 298.366
  19 0.925 1519.47 305.956
  20 0.975 1493.24 314.737
23000 20 30020.000000000004
  1 0.025 1517.85 314.052
  2 0.075 1556.02 309.616
  3 0.125 1393.31 314.03
  4 0.175 1574.78 305.124
  5 0.225 1499.05 302.434
  6 0.275 1499.09 295.665
  7 0.325 1520.46 295.576
  8 0.375 1509.49 291.301
  9 0.425 1458.48 284.453
  10 0.475 1504.21 287.695
  11 0.525 1451.23 287.273
  12 0.575 1531.77 287.782
  13 0.625 1494.43 284.652
  14 0.675 1457.22 293.972
  15 0.725 1505.11 295.735
  16 0.775 1443.27 293.495
  17 0.825 1522.37 296.403
  18 0.875 1591.67 298.838
  19 0.925 1500.21 309.089
  20 0.975 1489.98 319.935
24000 20 30019.999999999996
  1 0.025 1519.51 316.865
  2 0.075 1551.71 314.104
  3 0.125 1405.38 312.308
  4 0.175 1549.34 307.864
  5 0.225 1489.71 300.199
  6 0.275 1508.99 297.163
  7 0.325 1519.45 294.507
  8 0.375 1505.84 293.767
  9 0.425 1462.25 290.031
  10 0.475 1496.07 290.526
  11 0.525 1459.49 283.048
  12 0.575 1535.2 286.23
  13 0.625 1492.78 288.41
  14 0.675 1451.92 291.985
  15 0.725 1505.02 294.65
  16 0.775 1464.01 290.698
  17 0.825 1513.88 299.866
  18 0.875 1597.8 304.369
  19 0.925 1512.67 308.883
  20 0.975 1478.98 318.184
25000 20 30020.000000000004
  1 0.025 1497.13 312.893
  2 0.075 1540.76 310.425
  3 0.125 1402.35 308.391
  4 0.175 1550.13 308.042
  5 0.225 1494.54 303.614
  6 0.275 1494.78 294.484
  7 0.325 1505.57 296.839
