# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 30019.999999999993
  1 0.025 1515.68 313.407
  2 0.075 1520.57 314.382
  3 0.125 1447.64 303.944
  4 0.175 1473.83 304.566
  5 0.225 1512.03 306.489
  6 0.275 1496.9 301.68
  7 0.325 1539.59 298.645
  8 0.375 1502.12 299.145
  9 0.425 1482.29 295.792
  10 0.475 1525.07 290.373
  11 0.525 1529.69 290.669
  12 0.575 1517.87 289.33
  13 0.625 1540.03 290.113
  14 0.675 1526.18 295.498
  15 0.725 1485.35 295.878
  16 0.775 1553.02 298.723
  17 0.825 1474.94 307.426
  18 0.875 1460.03 305.497
  19 0.925 1463.07 303.329
  20 0.975 1454.1 309.912
22000 20 30020
  1 0.025 1525.7 317.215
  2 0.075 1539.11 316.288
  3 0.125 1433.76 308.597
  4 0.175 1473.54 303.652
  5 0.225 1506.81 305.377
  6 0.275 1492.52 305.531
  7 0.325 1516.29 295.478
  8 0.375 1506.85 295.508
  9 0.425 1481.89 293.939
  10 0.475 1517.39 293.422
  11 0.525 1535.55 288.494
  12 0.575 1511.27 287.036
  13 0.625 1536.15 290.569
  14 0.675 1541.25 291.764
  15 0.725 1488.39 294.468
  16 0.775 1567.14 299.322
  17 0.825 1482.6 307.574
  18 0.875 1463.34 305.826
  19 0.925 1452.11 305.085
  20 0.975 1448.34 309.585
23000 20 30019.999999999996
  1 0.025 1526.59 316.079
  2 0.075 1526.66 313.95
  3 0.125 1453.91 308.804
  4 0.175 1482.08 308.97
  5 0.225 1507.53 307.858
  6 0.275 1492.82 301.708
  7 0.325 1516.97 297.548
  8 0.375 1495.71 289.777
  9 0.425 1465.32 293.437
  10 0.475 1522.58 289.517
  11 0.525 1527.39 287.353
  12 0.575 1516.94 286.927
  13 0.625 1553.03 288.772
  14 0.675 1522.62 290.789
  15 0.725 1498.3 297.69
  16 0.775 1560.4 302.414
  17 0.825 1495.37 301.133
  18 0.875 1469.27 308.383
  19 0.925 1447.28 303.134
  20 0.975 1439.23 311.555
24000 20 30019.999999999996
  1 0.025 1524.15 315.649
  2 0.075 1535.5 310.649
  3 0.125 1436.37 308.613
  4 0.175 1481.14 311.241
  5 0.225 1499.77 310.751
  6 0.275 1482.09 302.905
  7 0.325 1526.21 298.603
  8 0.375 1522.07 290.071
  9 0.425 1466.3 291.413
  10 0.475 1529.26 287.583
  11 0.525 1546.11 285.885
  12 0.575 1503.38 287.846
  13 0.625 1530.13 287.017
