# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32019.999999999996
  1 0.025 1551.62 303.304
  2 0.075 1644.02 295.602
  3 0.125 1580.48 299.567
  4 0.175 1587.06 299.317
  5 0.225 1620.73 300.351
  6 0.275 1571.33 300.514
  7 0.325 1644.18 298.079
  8 0.375 1593.32 295.695
  9 0.425 1616.77 293.682
  10 0.475 1652.07 298.69
  11 0.525 1584.02 305.13
  12 0.575 1504.92 303.171
  13 0.625 1598.32 300.827
  14 0.675 1599.43 297.862
  15 0.725 1625.09 301.855
  16 0.775 1593.93 296.716
  17 0.825 1596.32 300.801
  18 0.875 1590.96 306.231
  19 0.925 1647.06 298.692
  20 0.975 1618.37 299.482
12000 20 32020
  1 0.025 1542.41 304.089
  2 0.075 1653.42 299.447
  3 0.125 1579.79 297.288
  4 0.175 1556.54 299.932
  5 0.225 1607.39 299.005
  6 0.275 1585.48 302.045
  7 0.325 1634.69 298.564
  8 0.375 1603.01 296.014
  9 0.425 1623.74 290.789
  10 0.475 1650.87 296.9
  11 0.525 1586.82 304.064
  12 0.575 1529.98 302.078
  13 0.625 1602.61 298.427
  14 0.675 1610.03 300.998
  15 0.725 1613.43 300.668
  16 0.775 1590.78 295.74
  17 0.825 1594.54 298.617
  18 0.875 1592.28 306.483
  19 0.925 1643.88 302.227
  20 0.975 1618.31 299.466
13000 20 32019.999999999996
  1 0.025 1540.73 305.207
  2 0.075 1659.44 303.923
  3 0.125 1579.22 297.136
  4 0.175 1582.75 300.112
  5 0.225 1603.02 301.102
  6 0.275 1568.49 300.776
  7 0.325 1646.47 296.561
  8 0.375 1584.41 295.276
  9 0.425 1614.81 294.043
  10 0.475 1658.97 299.063
  11 0.525 1596.54 299.146
  12 0.575 1509.82 297.514
  13 0.625 1617.51 300.541
  14 0.675 1599.31 305.065
  15 0.725 1619 297.996
  16 0.775 1585.53 298.492
  17 0.825 1585.92 296.52
  18 0.875 1605.86 302.619
  19 0.925 1642.57 303.947
  20 0.975 1619.63 302.314
14000 20 32020.000000000004
  1 0.025 1535.42 306.558
  2 0.075 1657.04 300.037
  3 0.125 1589 301.296
  4 0.175 1591.06 299.048
  5 0.225 1588.71 300.008
  6 0.275 1579.65 300.347
  7 0.325 1646.01 297.296
  8 0.375 1590.2 299.838
  9 0.425 1627.22 293.5
  10 0.475 1659.22 296.979
  11 0.525 1601.13 297.646
  12 0.575 1503.31 296.443
  13 0.625 1602.59 299.063
  14 0.675 1602.46 304.226
  15 0.725 1606.32 297.014
  16 0.775 1595.27 297.34
  17 0.825 1574.61 296.408
  18 0.875 1604.65 304.699
  19 0.925 1649.93 300.286
  20 0.975 1616.2 306.895
15000 20 32020.000000000004
  1 0.025 1558.03 308.874
  2 0.075 1661.16 304.329
  3 0.125 1583.42 299.002
  4 0.175 1565.3 293.71
  5 0.225 1592.57 296.559
  6 0.275 1586.62 302.421
  7 0.325 1648.43 303.553
  8 0.375 1602.11 297.946
  9 0.425 1614.18 292.462
  10 0.475 1652.32 295.453
  11 0.525 1611.44 295.502
  12 0.575 1509.99 295.26
  13 0.625 1594.91 302.817
  14 0.675 1599.6 300.192
  15 0.725 1624.89 296.936
  16 0.775 1578.54 298.02
  17 0.825 1580.97 297.279
  18 0.875 1595.54 307.929
  19 0.925 1641.61 302.052
  20 0.975 1618.37 304.064
16000 20 32020.000000000004
  1 0.025 1542.48 313.569
  2 0.075 1642.79 305.474
  3 0.125 1567.76 301.909
  4 0.175 1569.95 297.655
  5 0.225 1600.38 297.382
  6 0.275 1592.5 305.061
  7 0.325 1654.13 301.476
  8 0.375 1605.51 296.953
  9 0.425 1611.76 293.92
  10 0.475 1667.47 292.139
  11 0.525 1592.44 290.348
  12 0.575 1511.23 298.038
  13 0.625 1595.14 297.845
  14 0.675 1592.22 299.893
  15 0.725 1619.23 299.786
  16 0.775 1589.61 303.49
  17 0.825 1583.75 291.282
  18 0.875 1592.74 304.51
  19 0.925 1661.2 302.08
  20 0.975 1627.71 301.734
17000 20 32020
  1 0.025 1527.61 314.966
  2 0.075 1651.57 306.902
  3 0.125 1587.08 302.533
  4 0.175 1570.91 297.718
  5 0.225 1601.22 295.933
  6 0.275 1586.15 303.944
  7 0.325 1648.13 298.877
  8 0.375 1613.53 300.238
  9 0.425 1599.7 292.018
  10 0.475 1645.06 293.203
  11 0.525 1594.82 288.304
  12 0.575 1516.92 297.785
  13 0.625 1601 298.334
  14 0.675 1597.55 301.417
  15 0.725 1623.64 297.487
  16 0.775 1594.39 299.473
  17 0.825 1584.1 295.013
  18 0.875 1603.98 304.637
  19 0.925 1646 304.561
  20 0.975 1626.64 300.359
18000 20 32020.000000000007
  1 0.025 1559.56 312.986
  2 0.075 1647.18 307.575
  3 0.125 1581.36 302.097
  4 0.175 1583.15 296.461
  5 0.225 1618.61 296.83
  6 0.275 1568.32 299.613
  7 0.325 1638.98 301.823
  8 0.375 1611.48 300.05
  9 0.425 1602.72 290.736
  10 0.475 1642.94 295.386
  11 0.525 1586.28 288.753
  12 0.575 1508.11 295.085
  13 0.625 1603.36 300.725
  14 0.675 1580.72 294.934
  15 0.725 1620.47 297.033
  16 0.775 1600.37 296.72
  17 0.825 1590.56 296.769
  18 0.875 1606.17 307.602
  19 0.925 1644.24 304.102
  20 0.975 1625.42 307.299
19000 20 32020
  1 0.025 1549.34 312.819
  2 0.075 1631.43 307.359
  3 0.125 1577.65 300.105
  4 0.175 1585.91 297.274
  5 0.225 1605.6 299.602
  6 0.275 1577.18 299.462
  7 0.325 1642.41 298.225
  8 0.375 1612.66 301.101
  9 0.425 1586.13 291.968
  10 0.475 1654.78 292.586
  11 0.525 1590.8 290.784
  12 0.575 1512.3 298.466
  13 0.625 1614.44 296.238
  14 0.675 1596.87 293.407
  15 0.725 1613.07 296.884
  16 0.775 1574.48 301.259
  17 0.825 1590.54 296.275
  18 0.875 1604.71 305.235
  19 0.925 1676.53 309.226
  20 0.975 1623.17 307.585
20000 20 32019.999999999996
  1 0.025 1555.72 317.148
  2 0.075 1639.12 308.069
  3 0.125 1577.7 302.507
  4 0.175 1598.13 299.963
