# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32020
  1 0.025 1533.72 304.056
  2 0.075 1615.76 299.487
  3 0.125 1663.8 293.968
  4 0.175 1542.94 298.963
  5 0.225 1588.51 301.62
  6 0.275 1600.92 299.364
  7 0.325 1597.67 304.199
  8 0.375 1632.79 299.115
  9 0.425 1570.78 297.212
  10 0.475 1577.87 299.706
  11 0.525 1592.05 300.982
  12 0.575 1609.72 301.598
  13 0.625 1583.25 302.659
  14 0.675 1617.58 296.19
  15 0.725 1608.49 301.661
  16 0.775 1615.25 295.528
  17 0.825 1628.1 298.562
  18 0.875 1644.39 296.855
  19 0.925 1600.09 301.289
  20 0.975 1596.32 302.471
12000 20 32020.000000000004
  1 0.025 1521.27 303.872
  2 0.075 1603.95 303.262
  3 0.125 1666.64 296.19
  4 0.175 1553.7 297.99
  5 0.225 1594.84 301.77
  6 0.275 1613.77 298.097
  7 0.325 1582.72 302.598
  8 0.375 1630.47 299.959
  9 0.425 1588.84 298.668
  10 0.475 1571.02 298.565
  11 0.525 1597.68 296.83
  12 0.575 1598.36 301.468
  13 0.625 1610.24 303.22
  14 0.675 1601.33 296.755
  15 0.725 1629.82 299.858
  16 0.775 1632.14 297.005
  17 0.825 1600.98 295.895
  18 0.875 1638.61 297.669
  19 0.925 1611.72 300.436
  20 0.975 1571.9 302.642
13000 20 32020
  1 0.025 1532.72 304.352
  2 0.075 1601.61 303.732
  3 0.125 1674.27 297.233
  4 0.175 1541.5 299.552
  5 0.225 1580.05 305.261
  6 0.275 1624.57 302.74
  7 0.325 1578.7 298.608
  8 0.375 1636.01 298.818
  9 0.425 1569.26 299.442
  10 0.475 1562.6 295.227
  11 0.525 1599.73 296.173
  12 0.575 1610.67 300.659
  13 0.625 1599.11 299.454
  14 0.675 1603.29 297.606
  15 0.725 1622.71 298.997
  16 0.775 1621.73 293.335
  17 0.825 1627.09 299.935
  18 0.875 1645.92 297.475
  19 0.925 1602.94 304.61
  20 0.975 1585.52 304.274
14000 20 32020
  1 0.025 1544.64 308.258
  2 0.075 1607.37 300.758
  3 0.125 1659.44 302.2
  4 0.175 1547.14 301.034
  5 0.225 1595.24 302.965
  6 0.275 1621.36 301.293
  7 0.325 1571.61 300.353
  8 0.375 1624.73 298.21
  9 0.425 1574.97 294.663
  10 0.475 1571.03 297.345
  11 0.525 1606.99 293.946
  12 0.575 1604.52 300.781
  13 0.625 1572.9 297.541
  14 0.675 1608.05 293.211
  15 0.725 1621.89 298.551
  16 0.775 1630.22 294.95
  17 0.825 1625.76 300.305
  18 0.875 1644.08 299.835
  19 0.925 1617.48 298.737
  20 0.975 1570.58 306.326
15000 20 32020.000000000004
  1 0.025 1527.53 305.351
  2 0.075 1596.35 307.717
  3 0.125 1681.04 298.738
  4 0.175 1555.9 301.754
  5 0.225 1573.19 301.966
  6 0.275 1625.84 298.797
  7 0.325 1574.66 303.088
  8 0.375 1626.57 300.076
  9 0.425 1586.94 296.551
  10 0.475 1568.71 295.294
  11 0.525 1594.61 294.197
  12 0.575 1592.37 296.806
  13 0.625 1584.57 297.503
  14 0.675 1621.7 295.854
  15 0.725 1614.25 300.114
  16 0.775 1629.17 298.124
  17 0.825 1621.21 297.038
  18 0.875 1637.13 299.475
  19 0.925 1626.52 301.242
  20 0.975 1581.74 306.747
16000 20 32020
  1 0.025 1535.1 312.25
  2 0.075 1631.13 304.203
  3 0.125 1670.96 300.952
  4 0.175 1546.12 303.88
  5 0.225 1564.88 301.178
  6 0.275 1612.15 299.413
  7 0.325 1575.18 298.427
  8 0.375 1620.24 300.565
  9 0.425 1584.49 298.919
  10 0.475 1586.13 292.687
  11 0.525 1600.08 291.965
  12 0.575 1593.42 295.909
  13 0.625 1570.88 295.855
  14 0.675 1627.41 299.201
  15 0.725 1636.71 300.514
  16 0.775 1621.79 300.276
  17 0.825 1621.08 296.665
  18 0.875 1624.66 296.326
  19 0.925 1603.15 301.106
  20 0.975 1594.44 305.479
17000 20 32020.000000000004
  1 0.025 1548.18 312.728
  2 0.075 1606.85 308.852
  3 0.125 1666.22 303.747
  4 0.175 1566.93 300.128
  5 0.225 1582.23 299.359
  6 0.275 1605.16 298.882
  7 0.325 1579.81 300.399
  8 0.375 1619.15 301.149
  9 0.425 1585.35 303.541
  10 0.475 1575.17 288.558
  11 0.525 1622.09 293.123
  12 0.575 1587.08 291.193
  13 0.625 1585.7 299.343
  14 0.675 1599.84 296.194
  15 0.725 1614.66 295.4
  16 0.775 1625.61 297.951
  17 0.825 1627.42 297.267
  18 0.875 1639.35 296.187
  19 0.925 1602.95 301.963
  20 0.975 1580.25 305.826
18000 20 32020
  1 0.025 1528.77 314.401
  2 0.075 1613.62 310.403
  3 0.125 1674.84 302.911
  4 0.175 1571.89 301.454
  5 0.225 1596.67 294.917
  6 0.275 1606.34 299.213
  7 0.325 1583.62 301.405
  8 0.375 1630.54 300.987
  9 0.425 1585.55 303.002
  10 0.475 1569.47 291.224
  11 0.525 1616.07 289.669
  12 0.575 1583.3 288.991
  13 0.625 1565.47 291.685
  14 0.675 1616.29 300.797
  15 0.725 1606.18 295.306
  16 0.775 1622.93 297.903
  17 0.825 1627.19 297.979
  18 0.875 1640.36 299.196
  19 0.925 1603.78 301.653
  20 0.975 1577.12 310.078
19000 20 32020
  1 0.025 1538.4 314.989
  2 0.075 1607.55 311.569
  3 0.125 1675.89 307.547
  4 0.175 1566.59 304.161
  5 0.225 1595.68 299.236
  6 0.275 1609.99 297.343
  7 0.325 1588.49 297.163
  8 0.375 1643.32 299.161
  9 0.425 1575.41 295.865
  10 0.475 1561.19 293.295
  11 0.525 1607.87 287.646
  12 0.575 1590.57 290.039
  13 0.625 1570.65 292.956
  14 0.675 1630.19 299.187
  15 0.725 1608.59 295.813
  16 0.775 1607.66 299.039
  17 0.825 1620.44 296.694
  18 0.875 1637.61 298.336
  19 0.925 1598.11 303.774
  20 0.975 1585.8 309.422
20000 20 32020
  1 0.025 1530.04 314.572
  2 0.075 1587.7 314.563
  3 0.125 1684.07 308.125
  4 0.175 1546.23 303.394
  5 0.225 1574.74 298.601
  6 0.275 1632.13 296.866
  7 0.325 1580.37 297.791
  8 0.375 1631.81 299.849
  9 0.425 1568.22 298.565
  10 0.475 1577.45 293.536
  11 0.525 1616.37 285.682
  12 0.575 1602.02 287.721
  13 0.625 1591.26 294.246
  14 0.675 1615.24 297.387
  15 0.725 1622.61 297.495
  16 0.775 1620.04 297.847
  17 0.825 1599.61 297.295
  18 0.875 1635.08 296.013
  19 0.925 1606.43 301.461
  20 0.975 1598.58 309.848
21000 20 32020
  1 0.025 1519.8 316.434
  2 0.075 1614.7 311.088
  3 0.125 1654.42 312.726
  4 0.175 1547.57 304.17
  5 0.225 1567.03 295.003
  6 0.275 1621.53 295.912
  7 0.325 1578.74 300.205
  8 0.375 1621.03 297.462
  9 0.425 1575.43 299.937
  10 0.475 1565.03 291.203
  11 0.525 1605.62 285.582
  12 0.575 1603.08 288.057
  13 0.625 1591.95 294.561
  14 0.675 1603.35 297.602
  15 0.725 1632.78 297.659
  16 0.775 1630.04 301.382
  17 0.825 1628 299.771
  18 0.875 1653.97 293.764
  19 0.925 1611.33 303.928
  20 0.975 1594.6 309.743
22000 20 32020
  1 0.025 1532.31 316.287
  2 0.075 1610.91 308.814
  3 0.125 1665.52 308.012
  4 0.175 1567.51 302.663
  5 0.225 1595.06 301.594
  6 0.275 1636.79 297.689
  7 0.325 1582.64 297.54
  8 0.375 1629.23 295.79
  9 0.425 1581.36 298.985
  10 0.475 1559.26 291.152
  11 0.525 1601.08 281.906
  12 0.575 1597.45 291.4
  13 0.625 1588.36 295.128
  14 0.675 1596.53 296.055
  15 0.725 1620.36 294.394
  16 0.775 1625.11 296.805
  17 0.825 1625.86 298.723
  18 0.875 1632.45 300.834
  19 0.925 1599.69 305.142
  20 0.975 1572.52 313.638
23000 20 32020.000000000004
  1 0.025 1525.7 316.715
  2 0.075 1602.3 308.291
  3 0.125 1666.72 305.419
  4 0.175 1550.09 301.768
  5 0.225 1585.87 300.168
  6 0.275 1628.85 299.238
  7 0.325 1593.55 297.253
  8 0.375 1648.3 300.688
  9 0.425 1584.01 302.505
  10 0.475 1562.07 292.054
  11 0.525 1584.75 281.708
  12 0.575 1614.36 287.856
  13 0.625 1589.23 289.932
  14 0.675 1614.9 299.411
  15 0.725 1629.23 298.018
  16 0.775 1604.75 296.134
  17 0.825 1630.82 298.878
  18 0.875 1618.47 301.74
  19 0.925 1602.54 306.549
  20 0.975 1583.49 307.633
24000 20 32020
  1 0.025 1534.47 320.69
  2 0.075 1592.23 312.359
  3 0.125 1662.45 304.885
  4 0.175 1550.67 299.356
  5 0.225 1590.49 301.586
  6 0.275 1599.67 300.817
  7 0.325 1595.16 295.475
  8 0.375 1622.35 302.196
  9 0.425 1582.38 296.18
  10 0.475 1576.88 290.652
  11 0.525 1586.55 283.245
  12 0.575 1617.52 288.539
  13 0.625 1590.74 290.944
  14 0.675 1620.55 297.408
  15 0.725 1616.76 298.41
  16 0.775 1627.73 295.612
  17 0.825 1627 299.594
  18 0.875 1633.68 302.654
  19 0.925 1602.2 300.239
  20 0.975 1590.52 310.292
25000 20 32019.999999999993
  1 0.025 1528.68 322.143
  2 0.075 1585.47 314.001
  3 0.125 1666.13 308.662
  4 0.175 1574.8 299.389
  5 0.225 1603.94 300.233
  6 0.275 1620.15 301.323
  7 0.325 1590.22 294.125
  8 0.375 1629.21 298.69
  9 0.425 1582.29 297.549
  10 0.475 1564.36 289.79
  11 0.525 1588.29 284.352
  12 0.575 1593.23 289.442
  13 0.625 1566.84 294.334
  14 0.675 1617.12 295.511
  15 0.725 1620.96 297.023
  16 0.775 1628.08 298.804
  17 0.825 1619.91 296.931
  18 0.875 1643.58 302.57
  19 0.925 1599.71 300.814
  20 0.975 1597.03 309.882
26000 20 32020
  1 0.025 1534.55 316.645
  2 0.075 1610.1 313.404
  3 0.125 1661.91 310.42
  4 0.175 1559.95 298.295
  5 0.225 1594.9 300.623
  6 0.275 1611.09 300.568
  7 0.325 1584.87 295.154
  8 0.375 1608.75 297.791
  9 0.425 1576.58 297.794
  10 0.475 1558.05 290.144
  11 0.525 1594.28 281.131
  12 0.575 1598.27 286.744
  13 0.625 1583.31 291.589
  14 0.675 1607.44 298.038
  15 0.725 1613.16 299.761
  16 0.775 1616.9 297.112
  17 0.825 1645.13 298.795
  18 0.875 1639.86 299.96
  19 0.925 1610.14 306.896
  20 0.975 1610.76 311.928
27000 20 32019.999999999996
  1 0.025 1542.42 315.505
  2 0.075 1593.01 312.83
  3 0.125 1662.03 311.362
  4 0.175 1575.43 302.475
  5 0.225 1589.09 299.484
  6 0.275 1617.71 304.216
  7 0.325 1597.89 298.711
  8 0.375 1610.81 298.869
  9 0.425 1587.75 296.249
  10 0.475 1568.59 289.246
  11 0.525 1595.26 280.848
  12 0.575 1591.97 285.547
  13 0.625 1593.76 291.226
  14 0.675 1601.55 295.782
  15 0.725 1617.82 297.088
  16 0.775 1632.51 299.741
  17 0.825 1625.06 301.271
  18 0.875 1634.39 300.612
  19 0.925 1599.14 305.753
  20 0.975 1583.81 311.02
28000 20 32019.999999999996
  1 0.025 1526.73 312.77
  2 0.075 1584.78 311.943
  3 0.125 1656.93 312.795
  4 0.175 1581.62 301.33
  5 0.225 1586.11 302.734
  6 0.275 1631.65 302.374
  7 0.325 1597.44 295.265
  8 0.375 1657.37 295.843
  9 0.425 1576.07 296.458
  10 0.475 1551.58 290.525
  11 0.525 1610.67 281.67
  12 0.575 1593.39 280.973
  13 0.625 1594.01 289.314
  14 0.675 1612.98 295.334
  15 0.725 1627.69 299.699
  16 0.775 1611.8 298.709
  17 0.825 1618.76 300.144
  18 0.875 1630.04 301.698
  19 0.925 1587.45 311.013
  20 0.975 1582.93 311.744
29000 20 32020
  1 0.025 1527.62 317.059
  2 0.075 1587.13 315.75
  3 0.125 1653.83 312.462
  4 0.175 1559.61 300.673
  5 0.225 1571.47 303.049
  6 0.275 1642.29 299.929
  7 0.325 1581.45 295.751
  8 0.375 1627.17 297.372
  9 0.425 1570.17 294.319
  10 0.475 1561.53 288.679
  11 0.525 1611.97 282.693
  12 0.575 1593 280.638
  13 0.625 1596.07 287.668
  14 0.675 1635.04 293.982
  15 0.725 1599.14 296.691
  16 0.775 1641.51 303.941
  17 0.825 1639.26 298.294
  18 0.875 1640.56 299.861
  19 0.925 1579.22 313.35
  20 0.975 1601.96 314.151
30000 20 32020.000000000004
  1 0.025 1523.78 315.659
  2 0.075 1606.83 316.404
  3 0.125 1661.81 311.998
  4 0.175 1564.98 301.228
  5 0.225 1577.85 301.774
  6 0.275 1635.81 303.094
  7 0.325 1587.37 296.412
  8 0.375 1632.37 297.86
  9 0.425 1579.18 294.03
  10 0.475 1549.92 288.007
  11 0.525 1615.14 278.146
  12 0.575 1594.78 280.191
  13 0.625 1599.31 287.22
  14 0.675 1618.46 293.857
  15 0.725 1602.54 298.254
  16 0.775 1633.2 299.416
  17 0.825 1646.19 302.015
  18 0.875 1606.93 300.542
  19 0.925 1581.06 311.51
  20 0.975 1602.49 314.77
31000 20 32019.999999999996
  1 0.025 1518.36 315.254
  2 0.075 1607.47 314.137
  3 0.125 1662.05 309.003
  4 0.175 1566.51 302.703
  5 0.225 1594.75 304.05
  6 0.275 1605.46 301.498
  7 0.325 1580.88 300.136
  8 0.375 1654.87 293.052
  9 0.425 1575.76 293.76
  10 0.475 1556.29 286.654
  11 0.525 1597.62 279.586
  12 0.575 1592.42 280.87
  13 0.625 1587.79 284.698
  14 0.675 1618.39 293.474
  15 0.725 1622.93 295.778
  16 0.775 1628.05 302.769
  17 0.825 1654.49 301.003
  18 0.875 1615.72 304.659
  19 0.925 1599.48 308.606
  20 0.975 1580.71 317.589
32000 20 32019.99999999999
  1 0.025 1525.77 316.097
  2 0.075 1584.41 312.714
  3 0.125 1668.99 309.269
  4 0.175 1554.41 306.693
  5 0.225 1607.08 302.102
  6 0.275 1583.3 298.926
  7 0.325 1583.99 301.249
  8 0.375 1648.55 293.218
  9 0.425 1593.43 296.628
  10 0.475 1559.47 285.943
  11 0.525 1599.21 278.164
  12 0.575 1594.08 283.534
  13 0.625 1599.45 286.033
  14 0.675 1613.3 294.592
  15 0.725 1626.19 294.139
  16 0.775 1636.6 300.772
  17 0.825 1636.66 299.467
  18 0.875 1619.55 302.328
  19 0.925 1610.46 313.652
  20 0.975 1575.1 320.116
33000 20 32020.000000000004
  1 0.025 1521.27 320.621
  2 0.075 1594.55 312.649
  3 0.125 1658.57 309.409
  4 0.175 1562.75 305.323
  5 0.225 1597.2 302.671
  6 0.275 1596.52 299.478
  7 0.325 1601.18 298.529
  8 0.375 1623.08 294.915
  9 0.425 1578.33 294.694
  10 0.475 1556.47 283.607
  11 0.525 1605.36 276.909
  12 0.575 1592.86 283.174
  13 0.625 1615.68 288.459
  14 0.675 1604.57 294.824
  15 0.725 1617.04 294.995
  16 0.775 1638.47 300.341
  17 0.825 1632.56 302.767
  18 0.875 1624.49 302.197
  19 0.925 1610.93 310.565
  20 0.975 1588.12 319.198
34000 20 32020.000000000004
  1 0.025 1529.85 320.005
  2 0.075 1594.7 315.739
  3 0.125 1651.73 309.236
  4 0.175 1556.8 307.02
  5 0.225 1598.48 305.36
  6 0.275 1613.63 297.251
  7 0.325 1591.11 297.264
  8 0.375 1628.23 296.072
  9 0.425 1584.11 293.045
  10 0.475 1563.77 282.221
  11 0.525 1592.45 278.122
  12 0.575 1602.04 282.286
  13 0.625 1595.71 291.68
  14 0.675 1614.08 293.424
  15 0.725 1610 294.788
  16 0.775 1636.6 298.663
  17 0.825 1631.58 300.193
  18 0.875 1623.39 306.343
  19 0.925 1618.79 309.287
  20 0.975 1582.95 319.014
35000 20 32020
  1 0.025 1533.95 320.848
  2 0.075 1614.92 314.886
  3 0.125 1642.79 308.244
  4 0.175 1567.39 312.269
  5 0.225 1602.11 302.209
  6 0.275 1590.8 299.346
  7 0.325 1594.14 298.061
  8 0.375 1642.63 292.898
  9 0.425 1587.4 291.791
  10 0.475 1557.92 279.167
  11 0.525 1596.22 281.534
  12 0.575 1588.11 283.011
  13 0.625 1592.72 288.453
  14 0.675 1630.81 289.862
  15 0.725 1609.55 295.837
  16 0.775 1634.33 298.288
  17 0.825 1631.89 303.607
  18 0.875 1622.57 306.019
  19 0.925 1613.61 307.922
  20 0.975 1566.14 316.238
36000 20 32020
  1 0.025 1518.77 321.932
  2 0.075 1596.89 314.618
  3 0.125 1653.93 312.647
  4 0.175 1544.24 311.515
  5 0.225 1590.99 298.67
  6 0.275 1612.06 301.194
  7 0.325 1589.67 295.54
  8 0.375 1611.51 292.647
  9 0.425 1588.71 290.585
  10 0.475 1574.76 281.258
  11 0.525 1606 279.717
  12 0.575 1593.02 285.117
  13 0.625 1601.25 287.894
  14 0.675 1628.13 293.636
  15 0.725 1620.29 292.84
  16 0.775 1647.32 298.184
  17 0.825 1611.75 304.41
  18 0.875 1636.37 305.847
  19 0.925 1603.6 310.591
  20 0.975 1590.74 317.997
37000 20 32020
  1 0.025 1520 321.769
  2 0.075 1588.49 314.954
  3 0.125 1679.2 313.908
  4 0.175 1552.18 309.968
  5 0.225 1600.17 297.902
  6 0.275 1618.87 304.084
  7 0.325 1596.2 299.364
  8 0.375 1623.96 288.857
  9 0.425 1578.66 287.473
  10 0.475 1541.15 282.496
  11 0.525 1613.77 278.974
  12 0.575 1583.88 279.481
  13 0.625 1597.21 288.531
  14 0.675 1608.43 295.331
  15 0.725 1634.17 295.28
  16 0.775 1640.27 298.293
  17 0.825 1633.18 303.514
  18 0.875 1619.02 306.711
  19 0.925 1604.61 309.912
  20 0.975 1586.58 316.684
38000 20 32019.999999999996
  1 0.025 1535.01 321.296
  2 0.075 1593.94 315.458
  3 0.125 1660.07 310.785
  4 0.175 1580.55 308.262
  5 0.225 1577.6 301.317
  6 0.275 1607.17 299.208
  7 0.325 1600.35 300.573
  8 0.375 1624.84 290.032
  9 0.425 1586.19 289.266
  10 0.475 1556.99 280.173
  11 0.525 1603.02 279.418
  12 0.575 1583.79 277.578
  13 0.625 1608.08 287.706
  14 0.675 1601.5 293.508
  15 0.725 1614.34 297.77
  16 0.775 1638.83 297.652
  17 0.825 1625.28 300.056
  18 0.875 1641.39 305.785
  19 0.925 1590.82 316.132
  20 0.975 1590.24 319.01
39000 20 32020
  1 0.025 1546.34 320.607
  2 0.075 1596.99 313.987
  3 0.125 1653.42 315.161
  4 0.175 1571.46 307.613
  5 0.225 1579.66 304.729
  6 0.275 1618.3 300.605
  7 0.325 1594.08 295.86
  8 0.375 1630.33 291.865
  9 0.425 1584.41 290.064
  10 0.475 1566.74 280.445
  11 0.525 1597.29 277.619
  12 0.575 1604.4 277.723
  13 0.625 1602.21 286.322
  14 0.675 1615.68 295.674
  15 0.725 1615.78 295.731
  16 0.775 1633.74 299.051
  17 0.825 1606.35 300.251
  18 0.875 1650.61 303.142
  19 0.925 1580.43 315.791
  20 0.975 1571.78 319.942
40000 20 32020.000000000004
  1 0.025 1546.61 318.35
  2 0.075 1595.12 321.131
  3 0.125 1663.14 315.055
  4 0.175 1566.07 305.06
  5 0.225 1578.74 302.86
  6 0.275 1645.5 298.04
  7 0.325 1595.84 298.76
  8 0.375 1621.2 292.224
  9 0.425 1573.36 287.691
  10 0.475 1549.87 281.439
  11 0.525 1579.65 272.883
  12 0.575 1602.59 281.187
  13 0.625 1602.16 287.886
  14 0.675 1628.68 295.012
  15 0.725 1609.82 294.233
  16 0.775 1635.64 302.165
  17 0.825 1624.13 300.745
  18 0.875 1637.72 302.085
  19 0.925 1580.82 314.21
  20 0.975 1583.34 321.137
41000 20 32020.000000000004
  1 0.025 1520.56 317.866
  2 0.075 1602.95 325.523
  3 0.125 1653.94 313.437
  4 0.175 1575.6 309.242
  5 0.225 1583.83 301.121
  6 0.275 1641.75 298.691
  7 0.325 1589.65 297.486
  8 0.375 1621.62 290.695
  9 0.425 1564.11 287.819
  10 0.475 1565.36 279.988
  11 0.525 1600.66 270.855
  12 0.575 1581.35 281.028
  13 0.625 1591.93 289.664
  14 0.675 1615.82 296.016
  15 0.725 1610.4 298.233
  16 0.775 1630.86 298.26
  17 0.825 1641.8 301.315
  18 0.875 1632.23 305.142
  19 0.925 1621.43 312.982
