# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32019.999999999993
  1 0.025 1632.12 303.122
  2 0.075 1577.26 300.191
  3 0.125 1578.2 298.611
  4 0.175 1620.21 301.206
  5 0.225 1596.51 295.224
  6 0.275 1579.87 300.647
  7 0.325 1561.56 302.771
  8 0.375 1627.73 298.62
  9 0.425 1558.01 301.83
  10 0.475 1616.14 297.608
  11 0.525 1610.26 300.96
  12 0.575 1599.03 303.676
  13 0.625 1599.03 297.656
  14 0.675 1634.6 296.734
  15 0.725 1631.8 301.159
  16 0.775 1605.37 297.789
  17 0.825 1609.44 300.087
  18 0.875 1653.54 297.537
  19 0.925 1560.32 298.237
  20 0.975 1569 301.462
12000 20 32019.999999999996
  1 0.025 1627.64 302.08
  2 0.075 1615.88 301.043
  3 0.125 1583.36 300.064
  4 0.175 1592.56 300.832
  5 0.225 1617.26 299.016
  6 0.275 1563.78 299.572
  7 0.325 1558.03 301.67
  8 0.375 1642.09 300.033
  9 0.425 1567 300.472
  10 0.475 1608.46 296.466
  11 0.525 1624.87 296.897
  12 0.575 1590.08 299.615
  13 0.625 1581.39 302.866
  14 0.675 1633.87 298.337
  15 0.725 1636.28 298.679
  16 0.775 1595.62 299.506
  17 0.825 1596.27 298.529
  18 0.875 1663.94 295.071
  19 0.925 1551.69 299.468
  20 0.975 1569.93 302.63
13000 20 32019.999999999996
  1 0.025 1623.14 304.79
  2 0.075 1604.46 299.735
  3 0.125 1574.3 297.739
  4 0.175 1614.11 301.498
  5 0.225 1622.41 302.771
  6 0.275 1566.04 298.073
  7 0.325 1561.28 300.988
  8 0.375 1633.43 299.995
  9 0.425 1576.64 298.716
  10 0.475 1586.38 300.086
  11 0.525 1628.78 297.507
  12 0.575 1594.82 300.226
  13 0.625 1577.38 298.1
  14 0.675 1634.06 301.154
  15 0.725 1613.77 300.19
  16 0.775 1604.21 299.212
  17 0.825 1603.14 300.44
  18 0.875 1678.03 293.779
  19 0.925 1542.43 298.693
  20 0.975 1581.19 304.276
14000 20 32020
  1 0.025 1601.23 305.615
  2 0.075 1592.04 301.175
  3 0.125 1576.39 294.978
  4 0.175 1602.35 300.2
  5 0.225 1627.33 302.416
  6 0.275 1550.77 300.039
  7 0.325 1583.37 303.289
  8 0.375 1621.47 299.591
  9 0.425 1578.82 296.146
  10 0.475 1595.18 295.251
  11 0.525 1630.55 294.667
  12 0.575 1608.59 299.658
  13 0.625 1576.46 298.139
  14 0.675 1635.04 299.502
  15 0.725 1624.6 301.737
  16 0.775 1598.63 300.098
  17 0.825 1609.81 300.019
  18 0.875 1664.85 296.9
  19 0.925 1554.87 298.275
  20 0.975 1587.65 305.519
15000 20 32020
  1 0.025 1630.06 308.838
  2 0.075 1590.66 304.477
  3 0.125 1565.99 297.444
  4 0.175 1615.26 298.753
  5 0.225 1600.29 301.908
  6 0.275 1583.42 302.343
  7 0.325 1568.74 304.29
  8 0.375 1616.36 297.435
  9 0.425 1587.4 296.617
  10 0.475 1610.54 293.275
  11 0.525 1606.17 291.887
  12 0.575 1614.66 296.704
  13 0.625 1578.72 300.351
  14 0.675 1637.86 299.779
  15 0.725 1621.94 301.788
  16 0.775 1590.62 301.223
  17 0.825 1603.95 301.613
  18 0.875 1671.05 296.091
  19 0.925 1553.77 294.334
  20 0.975 1572.54 307.503
16000 20 32020
  1 0.025 1628.78 311.915
  2 0.075 1598.24 302.751
  3 0.125 1558.19 298.76
  4 0.175 1618.37 298.392
  5 0.225 1612.87 301.257
  6 0.275 1583.78 301.66
  7 0.325 1548.28 299.405
  8 0.375 1617.66 299.545
  9 0.425 1596.44 295.359
  10 0.475 1602.87 293.516
  11 0.525 1602.13 292.393
  12 0.575 1611.85 296.418
  13 0.625 1595.47 297.538
  14 0.675 1647.07 302.099
  15 0.725 1618.15 302.509
  16 0.775 1588.89 300.437
  17 0.825 1600.46 300.714
  18 0.875 1657.01 292.738
  19 0.925 1555.59 295.627
  20 0.975 1577.9 311.411
17000 20 32020.000000000004
  1 0.025 1597.69 310.871
  2 0.075 1619.78 308
  3 0.125 1584 300.059
  4 0.175 1603.71 297.748
  5 0.225 1610.02 298.908
  6 0.275 1587.26 300.587
  7 0.325 1563.62 300.872
  8 0.375 1623.62 298.921
  9 0.425 1570.35 297.88
  10 0.475 1614.95 295.735
  11 0.525 1603.64 290.972
  12 0.575 1609.22 294.493
  13 0.625 1582.55 295.759
  14 0.675 1630.46 299.281
  15 0.725 1615.6 302.766
  16 0.775 1602.61 298.777
  17 0.825 1603.11 298.619
  18 0.875 1668.74 299.277
  19 0.925 1542.94 297.38
  20 0.975 1586.13 308.495
18000 20 32019.999999999996
  1 0.025 1626.82 311.536
  2 0.075 1583.87 309.254
  3 0.125 1576.18 297.757
  4 0.175 1605.39 301.517
  5 0.225 1614.19 297.879
  6 0.275 1552.72 301.288
  7 0.325 1553.8 302.364
  8 0.375 1631.81 297.38
  9 0.425 1582.03 295.259
  10 0.475 1599.77 293.357
  11 0.525 1628.2 288.301
  12 0.575 1602.68 298.863
  13 0.625 1586.81 296.178
  14 0.675 1641.51 296.407
  15 0.725 1619.48 299.332
  16 0.775 1606.1 297.191
  17 0.825 1603.73 298.367
  18 0.875 1663.1 302.167
  19 0.925 1574.66 302.267
  20 0.975 1567.15 309.52
19000 20 32019.999999999996
  1 0.025 1621.04 316.561
  2 0.075 1591.78 311.856
  3 0.125 1566.03 300.818
  4 0.175 1609.85 294.181
  5 0.225 1626.93 300.719
  6 0.275 1553.14 299.488
  7 0.325 1568.58 300.242
  8 0.375 1629.37 297.96
  9 0.425 1580.02 299.255
  10 0.475 1610.5 293.717
  11 0.525 1619.73 286.561
  12 0.575 1609.96 292.948
  13 0.625 1597.21 295.074
  14 0.675 1629.97 297.66
  15 0.725 1620.02 299.416
  16 0.775 1622.55 295.598
  17 0.825 1602.56 297.479
  18 0.875 1663.69 301.785
  19 0.925 1534.46 303.117
  20 0.975 1562.61 309.77
20000 20 32020
  1 0.025 1622.78 318.256
  2 0.075 1607.07 313.875
  3 0.125 1566.49 301.606
  4 0.175 1605.07 300.369
  5 0.225 1627.39 297.425
  6 0.275 1556 302.205
  7 0.325 1553.3 297.093
  8 0.375 1631.35 299.387
  9 0.425 1579.19 295.118
  10 0.475 1604.45 290.928
  11 0.525 1604.7 288.09
  12 0.575 1611.21 293.721
  13 0.625 1592.09 294.894
  14 0.675 1636.22 296.648
