# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32020.000000000004
  1 0.025 1550.47 345.744
  2 0.075 1617.79 334.465
  3 0.125 1570.13 323.409
  4 0.175 1575.26 310.177
  5 0.225 1604.7 304.597
  6 0.275 1590.29 301.104
  7 0.325 1660.76 294.044
  8 0.375 1612.67 285.42
  9 0.425 1627.44 269.655
  10 0.475 1663.12 254.283
  11 0.525 1614.72 249.487
  12 0.575 1524.77 261.525
  13 0.625 1605.9 275.775
  14 0.675 1594.12 287.261
  15 0.725 1608.22 296.476
  16 0.775 1586.82 298.61
  17 0.825 1577.86 301.446
  18 0.875 1591.84 315.259
  19 0.925 1641.05 327.257
  20 0.975 1602.07 342.646
22000 20 32020
  1 0.025 1541.6 346.716
  2 0.075 1625.02 338.504
  3 0.125 1577.95 321.025
  4 0.175 1585.95 307.975
  5 0.225 1615.46 306.161
  6 0.275 1585.29 301.557
  7 0.325 1659.42 293.489
  8 0.375 1602.41 282.426
  9 0.425 1618.04 271.014
  10 0.475 1664.46 254.491
  11 0.525 1598.44 249.387
  12 0.575 1513.38 261.349
  13 0.625 1608.41 276.433
  14 0.675 1593.5 288.307
  15 0.725 1616.39 295.412
  16 0.775 1587.09 294.576
  17 0.825 1590.93 306.003
  18 0.875 1594.83 314.681
  19 0.925 1628.22 325.127
  20 0.975 1613.21 344.068
23000 20 32020.000000000004
  1 0.025 1552.27 349.307
  2 0.075 1618.79 338.479
  3 0.125 1569.63 320.935
  4 0.175 1588.12 307.81
  5 0.225 1614.95 307.972
  6 0.275 1574.94 294.29
  7 0.325 1663.7 294.911
  8 0.375 1608.57 285.997
  9 0.425 1623.91 272.105
  10 0.475 1662.12 254.247
  11 0.525 1605.79 249.811
  12 0.575 1507.27 262.178
  13 0.625 1602.23 276.7
  14 0.675 1595.81 288.262
  15 0.725 1617.2 293.988
  16 0.775 1581.54 295.774
  17 0.825 1578.99 304.068
  18 0.875 1596.96 318.36
  19 0.925 1646.96 326.18
  20 0.975 1610.25 345.163
24000 20 32019.999999999996
  1 0.025 1539.6 348.581
  2 0.075 1617.7 335.866
  3 0.125 1559.43 323.708
  4 0.175 1591.9 309.497
  5 0.225 1607.76 303.838
  6 0.275 1572.16 295.246
  7 0.325 1650.31 294.058
  8 0.375 1601.12 285.444
  9 0.425 1611.55 272.857
  10 0.475 1672.85 249.775
  11 0.525 1610.75 251.401
  12 0.575 1528.01 258.663
  13 0.625 1615.91 276.775
  14 0.675 1614.83 288.672
  15 0.725 1636.86 295.399
  16 0.775 1578.21 295.292
  17 0.825 1584.62 306.357
  18 0.875 1592.97 316.56
  19 0.925 1625.3 326.369
  20 0.975 1608.16 339.279
25000 20 32020
  1 0.025 1530.8 346.602
  2 0.075 1641.57 335.873
  3 0.125 1578.69 328.99
  4 0.175 1577.97 308.983
  5 0.225 1600.61 300.684
  6 0.275 1566.83 300.864
  7 0.325 1656.3 291.39
  8 0.375 1608.69 284.069
  9 0.425 1607.98 271.959
  10 0.475 1661.57 253.447
  11 0.525 1623.09 250.496
  12 0.575 1500.62 254.929
  13 0.625 1629.64 276.812
  14 0.675 1609.38 286.178
  15 0.725 1621.46 291.88
  16 0.775 1570.84 297.253
  17 0.825 1580.09 307.176
  18 0.875 1597.06 320.094
  19 0.925 1652.93 323.118
  20 0.975 1603.88 337.683
26000 20 32019.999999999993
  1 0.025 1526.9 350.504
  2 0.075 1650.86 335.692
  3 0.125 1580.22 330.011
  4 0.175 1581.83 314.119
  5 0.225 1607.28 306.032
  6 0.275 1580.57 295.105
  7 0.325 1648.72 290.183
  8 0.375 1600.41 284.642
  9 0.425 1609.06 274.355
  10 0.475 1658.42 253.55
  11 0.525 1626.79 250.94
  12 0.575 1494.32 259.451
  13 0.625 1629.51 275.167
  14 0.675 1618.35 287.455
  15 0.725 1606.78 288.79
  16 0.775 1567.37 304.946
  17 0.825 1580.28 312.147
  18 0.875 1597.06 315.546
  19 0.925 1644.97 320.369
  20 0.975 1610.3 340.192
27000 20 32020
  1 0.025 1517.11 345.746
  2 0.075 1625.94 342.081
  3 0.125 1569.96 330.741
  4 0.175 1579.55 316.338
  5 0.225 1613.42 303.675
  6 0.275 1581.35 291.886
  7 0.325 1670.69 289.223
  8 0.375 1601.63 286.138
  9 0.425 1624.21 272.983
  10 0.475 1674.07 251.926
  11 0.525 1609.39 246.799
  12 0.575 1507.76 258.502
  13 0.625 1635.78 276.305
  14 0.675 1617.29 283.979
  15 0.725 1612.16 289.621
  16 0.775 1563.81 302.896
  17 0.825 1572.4 308.161
  18 0.875 1578.85 312.864
  19 0.925 1643.14 323.519
  20 0.975 1621.49 338.331
28000 20 32020.000000000004
  1 0.025 1519.35 352.545
