# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32019.999999999996
  1 0.025 1561.5 349.164
  2 0.075 1577.28 334.968
  3 0.125 1643.29 317.8
  4 0.175 1568.57 317.798
  5 0.225 1577.63 306.559
  6 0.275 1611.93 302.563
  7 0.325 1593.89 297.983
  8 0.375 1618.07 289.551
  9 0.425 1585.67 265.628
  10 0.475 1568.56 256.371
  11 0.525 1617.56 251.08
  12 0.575 1604.48 257.441
  13 0.625 1609.88 277.818
  14 0.675 1610.73 287.344
  15 0.725 1608.85 290.746
  16 0.775 1640.52 300.931
  17 0.825 1626.85 305.402
  18 0.875 1625.88 317.962
  19 0.925 1600.15 328.569
  20 0.975 1568.71 342.063
22000 20 32019.999999999996
  1 0.025 1549.09 350.496
  2 0.075 1605.66 337.033
  3 0.125 1648.24 322.123
  4 0.175 1561.49 320.065
  5 0.225 1605.41 307.399
  6 0.275 1627.62 300.69
  7 0.325 1583.77 291.933
  8 0.375 1618.79 286.011
  9 0.425 1585.46 266.785
  10 0.475 1555.83 255.205
  11 0.525 1602.72 252.891
  12 0.575 1615.71 260.32
  13 0.625 1580.52 271.702
  14 0.675 1585.45 286.573
  15 0.725 1629.64 294.811
  16 0.775 1638.23 302.149
  17 0.825 1608.92 305.807
  18 0.875 1637.46 317.289
  19 0.925 1591.61 327.025
  20 0.975 1588.38 350.179
23000 20 32020.000000000004
  1 0.025 1550.35 347.558
  2 0.075 1590.97 336.828
  3 0.125 1673.43 325.784
  4 0.175 1561.71 318.345
  5 0.225 1593.08 305.725
  6 0.275 1641.34 297.308
  7 0.325 1593.27 294.191
  8 0.375 1621.41 283.846
  9 0.425 1584.65 272.297
  10 0.475 1565.64 250.649
  11 0.525 1613.14 249.953
  12 0.575 1602.32 256.89
  13 0.625 1595.56 271.174
  14 0.675 1594.9 286.134
  15 0.725 1620.93 296.864
  16 0.775 1625.62 300.863
  17 0.825 1604.24 308.362
  18 0.875 1614.93 319.131
  19 0.925 1593.49 325.71
  20 0.975 1579.02 343.504
24000 20 32019.999999999996
  1 0.025 1552.67 347.234
  2 0.075 1583.88 341.186
  3 0.125 1673.1 326.55
  4 0.175 1549.37 317.321
  5 0.225 1607.08 306.979
  6 0.275 1636.09 299.345
  7 0.325 1578.77 292.094
  8 0.375 1628.81 284.225
  9 0.425 1583.04 269.457
  10 0.475 1552.38 252.439
  11 0.525 1604.07 250.719
  12 0.575 1620.09 258.273
  13 0.625 1605.78 271.983
  14 0.675 1601.14 285.567
  15 0.725 1619.02 295.107
  16 0.775 1627.39 304.388
  17 0.825 1620.16 307.55
  18 0.875 1614.7 316.335
  19 0.925 1588.58 329.645
  20 0.975 1573.88 342.959
25000 20 32020
  1 0.025 1567.88 346.991
  2 0.075 1595.53 339.769
  3 0.125 1666.42 323.975
  4 0.175 1563.29 315.654
  5 0.225 1598.59 309.729
  6 0.275 1628.45 302.038
  7 0.325 1592.36 292.072
  8 0.375 1614.99 280.935
  9 0.425 1579.55 267.168
  10 0.475 1559.45 255.193
  11 0.525 1608.84 252.074
  12 0.575 1618.04 255.703
  13 0.625 1594.05 270.177
  14 0.675 1604.29 284.229
  15 0.725 1616.28 293.255
  16 0.775 1621.82 300.513
  17 0.825 1629.57 303.777
  18 0.875 1597.49 318.427
  19 0.925 1591.55 331.388
  20 0.975 1571.56 343.539
26000 20 32020
  1 0.025 1522.49 349.319
  2 0.075 1600.71 333.571
  3 0.125 1661.68 327.851
  4 0.175 1564.8 316.266
  5 0.225 1597.33 310.14
  6 0.275 1629.67 303.631
  7 0.325 1591.95 289.947
  8 0.375 1602.72 281.504
  9 0.425 1573.65 266.995
  10 0.475 1573.5 257.317
  11 0.525 1624.53 251.134
  12 0.575 1612.82 254.761
  13 0.625 1598.92 268.261
  14 0.675 1599.34 282.6
  15 0.725 1616.57 293.417
  16 0.775 1618.88 301
  17 0.825 1627.4 306.195
  18 0.875 1615.22 316.881
  19 0.925 1605.51 329.835
  20 0.975 1582.31 340.019
27000 20 32020
  1 0.025 1538.67 348.127
  2 0.075 1562.64 335.273
  3 0.125 1648.53 331.206
  4 0.175 1582.98 312.633
  5 0.225 1580.36 311.005
  6 0.275 1625.75 300.132
  7 0.325 1593.28 291.999
  8 0.375 1622.5 280.396
  9 0.425 1590.06 266.94
  10 0.475 1587.42 259.588
  11 0.525 1626.17 249.237
  12 0.575 1608.72 254.422
  13 0.625 1596.53 269.678
  14 0.675 1611.1 284.799
  15 0.725 1603.16 293.202
  16 0.775 1625.67 298.441
  17 0.825 1611.82 309.526
  18 0.875 1629.78 317.689
  19 0.925 1599.98 325.762
  20 0.975 1574.88 339.931
28000 20 32019.999999999996
  1 0.025 1545.56 344.649
  2 0.075 1583.78 335.413
  3 0.125 1668.21 331.572
  4 0.175 1587.2 318.4
  5 0.225 1596.06 307.978
  6 0.275 1640.63 298.13
  7 0.325 1571.8 292.366
  8 0.375 1617.82 279.452
  9 0.425 1565.92 265.553
  10 0.475 1560.09 256.439
  11 0.525 1611.35 250.659
  12 0.575 1595.57 256.246
  13 0.625 1601.34 271.639
  14 0.675 1590.93 279.608
  15 0.725 1612.39 293.612
  16 0.775 1620.96 299.916
  17 0.825 1637.52 308.855
  18 0.875 1628.23 315.962
  19 0.925 1598.69 328.086
  20 0.975 1585.95 336.83
29000 20 32019.999999999996
  1 0.025 1523.58 348.684
  2 0.075 1576.67 340.944
  3 0.125 1671.06 330.11
  4 0.175 1573.46 318.974
  5 0.225 1593.44 307.498
  6 0.275 1639.63 300.468
  7 0.325 1571.05 290.069
  8 0.375 1621.14 281.632
  9 0.425 1570.59 265.228
  10 0.475 1585.92 254.878
  11 0.525 1598.2 249.589
  12 0.575 1630.36 257.767
  13 0.625 1596.09 269.372
  14 0.675 1599.63 279.953
  15 0.725 1631.41 292.502
  16 0.775 1618.71 303.025
  17 0.825 1629.53 309.075
  18 0.875 1623.59 317.665
  19 0.925 1601.62 328.207
  20 0.975 1564.32 339.03
30000 20 32020
  1 0.025 1537.2 349.41
  2 0.075 1571.08 341.519
  3 0.125 1656.69 333.383
  4 0.175 1571.42 319.198
  5 0.225 1590.3 306.149
  6 0.275 1620.2 301.022
  7 0.325 1570.31 291.972
  8 0.375 1640.93 277.67
  9 0.425 1566.27 264.23
  10 0.475 1577.53 255.9
  11 0.525 1608.97 253.424
  12 0.575 1620.9 259.646
  13 0.625 1607.03 266.756
  14 0.675 1608.17 280.832
  15 0.725 1623.95 291.411
  16 0.775 1624.73 301.879
  17 0.825 1643.13 305.861
  18 0.875 1626.33 315.37
  19 0.925 1571.56 331.516
  20 0.975 1583.3 342.809
31000 20 32020.000000000004
  1 0.025 1533.31 351.82
  2 0.075 1579.12 344.244
  3 0.125 1676.86 340.792
  4 0.175 1570.55 322.232
  5 0.225 1577.85 307.265
