# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32019.999999999993
  1 0.025 1578.79 349.079
  2 0.075 1583.88 338.594
  3 0.125 1564.22 332.284
  4 0.175 1603.86 319.983
  5 0.225 1607.28 307.654
  6 0.275 1557.14 299.345
  7 0.325 1591.29 291.937
  8 0.375 1626.9 284.005
  9 0.425 1579.3 270.292
  10 0.475 1617.99 255.69
  11 0.525 1602.94 251.203
  12 0.575 1638.96 257.758
  13 0.625 1592.72 272.192
  14 0.675 1653.02 286.753
  15 0.725 1627.14 290.89
  16 0.775 1597.35 302.072
  17 0.825 1618.08 303.161
  18 0.875 1660.7 314.027
  19 0.925 1554.46 324.823
  20 0.975 1563.98 336.032
22000 20 32020
  1 0.025 1593.94 347.19
  2 0.075 1600.95 337.894
  3 0.125 1571.09 333.038
  4 0.175 1612.04 319.18
  5 0.225 1613.28 309.771
  6 0.275 1556.06 300.854
  7 0.325 1565.43 294.117
  8 0.375 1634.26 280.073
  9 0.425 1590.94 267.141
  10 0.475 1605.17 259.185
  11 0.525 1608.99 250.952
  12 0.575 1612.93 258.781
  13 0.625 1606.13 273.278
  14 0.675 1643.66 280.663
  15 0.725 1614.22 292.106
  16 0.775 1593.67 302.183
  17 0.825 1616.04 305.179
  18 0.875 1660.51 315.303
  19 0.925 1546.98 325.082
  20 0.975 1573.71 337
23000 20 32020
  1 0.025 1569.7 348.008
  2 0.075 1608.21 336.335
  3 0.125 1555.38 329.757
  4 0.175 1613.92 322.035
  5 0.225 1618.77 312.618
  6 0.275 1545.42 299.086
  7 0.325 1582.33 293.899
  8 0.375 1615.32 281.352
  9 0.425 1592.58 268.845
  10 0.475 1612.12 256.249
  11 0.525 1607.23 248.785
  12 0.575 1624.16 257.848
  13 0.625 1591.65 272.972
  14 0.675 1647.8 281.07
  15 0.725 1629.65 289.249
  16 0.775 1593.59 298.192
  17 0.825 1623.63 307.158
  18 0.875 1680.51 319.033
  19 0.925 1534.86 325.766
  20 0.975 1573.17 338.93
24000 20 32020
  1 0.025 1611.31 347.612
  2 0.075 1602.25 341.373
  3 0.125 1550.25 330.01
  4 0.175 1631.64 325.141
  5 0.225 1598.35 312.839
  6 0.275 1568.26 301.996
  7 0.325 1569.33 292.942
  8 0.375 1625.58 280.479
  9 0.425 1590.91 268.573
  10 0.475 1605.24 258.377
