# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32020.000000000004
  1 0.025 1631.14 302.527
  2 0.075 1595.06 300.232
  3 0.125 1596.1 303.182
  4 0.175 1563.38 298.724
  5 0.225 1613.56 296.034
  6 0.275 1653.66 300.753
  7 0.325 1540.61 297.428
  8 0.375 1598.43 299.956
  9 0.425 1594.79 303.743
  10 0.475 1644.68 301.021
  11 0.525 1576.22 299.312
  12 0.575 1612.21 302.206
  13 0.625 1593.2 297.211
  14 0.675 1617.32 295.047
  15 0.725 1606.63 293.372
  16 0.775 1634.13 299.641
  17 0.825 1586.34 298.414
  18 0.875 1595.56 301.087
  19 0.925 1626.67 302.921
  20 0.975 1540.31 297.356
12000 20 32020
  1 0.025 1600.47 301.934
  2 0.075 1593.45 301.91
  3 0.125 1608.97 304.252
  4 0.175 1568.26 294.83
  5 0.225 1609.86 299.489
  6 0.275 1631.32 298.481
  7 0.325 1540.73 301.424
  8 0.375 1594.88 301.44
  9 0.425 1613.3 300.316
  10 0.475 1628.6 300.086
  11 0.525 1581.41 298.09
  12 0.575 1609.42 297.554
  13 0.625 1609.2 298.081
  14 0.675 1628.34 294.777
  15 0.725 1596.86 293.263
  16 0.775 1631.76 300.263
  17 0.825 1591.1 301.481
  18 0.875 1585.68 303.772
  19 0.925 1626.47 301.456
  20 0.975 1569.92 297.492
13000 20 32020
  1 0.025 1605.2 305.39
  2 0.075 1586.09 303.138
  3 0.125 1584.99 305.598
  4 0.175 1569.02 299.405
  5 0.225 1616.41 294.873
  6 0.275 1632.38 300.891
  7 0.325 1560.73 302.181
  8 0.375 1610.17 301.386
  9 0.425 1602.56 300.072
  10 0.475 1625.02 299.96
  11 0.525 1604.55 294.084
  12 0.575 1615.62 297.42
  13 0.625 1604.74 299.541
  14 0.675 1622.86 293.542
  15 0.725 1610.81 291.479
  16 0.775 1632.87 300.048
  17 0.825 1572.49 299.541
  18 0.875 1602.07 301.613
  19 0.925 1618.57 301.825
  20 0.975 1542.85 301.108
14000 20 32020
  1 0.025 1606.86 311.718
  2 0.075 1604.67 306.668
  3 0.125 1618.88 302.177
  4 0.175 1540.28 300.078
  5 0.225 1619.92 298.851
  6 0.275 1649.13 303.478
  7 0.325 1532.27 299.311
  8 0.375 1596.19 296.807
  9 0.425 1587.68 300.593
  10 0.475 1628.08 294.363
  11 0.525 1590.83 292.97
  12 0.575 1624.05 293.524
  13 0.625 1605.27 301.216
  14 0.675 1619.35 293.75
  15 0.725 1605.97 291.1
  16 0.775 1620.28 295.695
  17 0.825 1585.64 302.66
  18 0.875 1605.81 306.702
  19 0.925 1638.05 297.334
  20 0.975 1540.79 301.946
15000 20 32019.999999999996
  1 0.025 1614.19 307.701
  2 0.075 1615.78 310.337
  3 0.125 1605.86 300.824
  4 0.175 1550.05 297.957
  5 0.225 1596.68 299.94
  6 0.275 1642.18 301.809
  7 0.325 1543.36 305.49
  8 0.375 1618.29 301.514
  9 0.425 1600.41 294.218
  10 0.475 1634.87 290.746
  11 0.525 1580.19 292.503
  12 0.575 1617.24 297.537
  13 0.625 1597.62 297.807
  14 0.675 1606.59 293.305
  15 0.725 1591.74 294.13
  16 0.775 1653.59 294.362
  17 0.825 1589.59 300.505
  18 0.875 1592.23 303.034
  19 0.925 1631.94 298.632
  20 0.975 1537.6 308.497
16000 20 32020.000000000004
  1 0.025 1617.94 309.379
  2 0.075 1597.94 307.149
  3 0.125 1591.19 300.087
  4 0.175 1562.57 300.042
  5 0.225 1611.97 299.789
  6 0.275 1643.06 305.552
  7 0.325 1554.6 306.843
  8 0.375 1604.22 296.288
  9 0.425 1612.78 295.333
  10 0.475 1603.56 290.774
  11 0.525 1595.23 292.605
  12 0.575 1608.05 294.161
  13 0.625 1618.5 298.335
  14 0.675 1600.88 291.636
  15 0.725 1599.16 293.666
  16 0.775 1641.49 299.588
  17 0.825 1603.69 295.715
  18 0.875 1599.86 303.788
  19 0.925 1630.57 301.157
  20 0.975 1522.74 308.155
17000 20 32020.000000000004
  1 0.025 1614.69 312.937
  2 0.075 1594.82 306.981
  3 0.125 1588.92 301.495
  4 0.175 1577.75 300.627
  5 0.225 1605.97 299.995
  6 0.275 1636.95 302.933
  7 0.325 1547.42 308.887
  8 0.375 1605.07 296.388
  9 0.425 1597.92 293.152
  10 0.475 1630.41 292.833
  11 0.525 1583.66 292.225
  12 0.575 1610.08 290.435
  13 0.625 1613.44 293.819
  14 0.675 1626.18 297.868
  15 0.725 1606.08 297.106
  16 0.775 1647.24 294.711
  17 0.825 1578.24 292.825
  18 0.875 1586.16 301.459
  19 0.925 1633.82 308.374
  20 0.975 1535.18 308.565
18000 20 32020.000000000007
  1 0.025 1604.46 313.047
  2 0.075 1603.31 312.195
  3 0.125 1596.82 302.887
  4 0.175 1560.17 302.613
  5 0.225 1603.54 300.074
  6 0.275 1652.48 306.11
  7 0.325 1566.25 302.02
  8 0.375 1586.41 295.969
  9 0.425 1580.06 292.887
  10 0.475 1635.35 288.439
  11 0.525 1577.55 294.864
  12 0.575 1623.24 292.165
  13 0.625 1614.44 297.936
  14 0.675 1614.06 294.027
  15 0.725 1608.11 291.828
  16 0.775 1643.9 293.985
  17 0.825 1580.45 295.83
  18 0.875 1596.99 302.909
  19 0.925 1645.16 304.304
  20 0.975 1527.25 307.563
19000 20 32020
  1 0.025 1614.44 310.095
  2 0.075 1600.06 309.215
  3 0.125 1598.05 304.023
  4 0.175 1573.23 303.15
  5 0.225 1613.5 304.079
  6 0.275 1635.81 301.831
  7 0.325 1555.26 300.542
  8 0.375 1589.12 293.472
  9 0.425 1597.87 295.047
  10 0.475 1630.83 290.3
  11 0.525 1575.28 290.956
  12 0.575 1612.53 291.826
