# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32020
  1 0.025 1606.91 301.206
  2 0.075 1573.08 299.184
  3 0.125 1613.73 298.785
  4 0.175 1581.25 295.425
  5 0.225 1577.48 301.731
  6 0.275 1572.99 299.643
  7 0.325 1578.9 295.871
  8 0.375 1641.08 296.372
  9 0.425 1631 303.225
  10 0.475 1623.7 300.359
  11 0.525 1606.13 298.531
  12 0.575 1633.5 298.581
  13 0.625 1572.7 296.965
  14 0.675 1603.88 295.227
  15 0.725 1619.07 304.984
  16 0.775 1569.87 303.94
  17 0.825 1617.71 297.706
  18 0.875 1623.09 302.115
  19 0.925 1604.36 302.983
  20 0.975 1569.57 297.241
12000 20 32020
  1 0.025 1619.85 306.962
  2 0.075 1555.81 301.894
  3 0.125 1611.21 298.641
  4 0.175 1594.69 296.166
  5 0.225 1584.11 299.936
  6 0.275 1577.07 301.124
  7 0.325 1586.48 297.307
  8 0.375 1629.24 295.58
  9 0.425 1614.79 302.701
  10 0.475 1616.6 296.52
  11 0.525 1586.12 290.066
  12 0.575 1643.93 295.604
  13 0.625 1564.73 300.445
  14 0.675 1612.96 300.388
  15 0.725 1634.56 303.428
  16 0.775 1578.09 303.795
  17 0.825 1640.87 300.746
  18 0.875 1593.89 306.506
  19 0.925 1603.8 299.264
  20 0.975 1571.2 293.904
13000 20 32020
  1 0.025 1617.25 308.94
  2 0.075 1563.42 299.838
  3 0.125 1620.22 299.152
  4 0.175 1595.13 298.855
  5 0.225 1589.41 295.264
  6 0.275 1582.43 298.168
  7 0.325 1586.26 298.01
  8 0.375 1614.34 294.164
  9 0.425 1619.85 302.972
  10 0.475 1609.87 296.444
  11 0.525 1577.05 288.916
  12 0.575 1645.28 293.631
  13 0.625 1571.02 302.458
  14 0.675 1593.79 301.092
  15 0.725 1623.01 302.2
  16 0.775 1582.88 303.142
  17 0.825 1636.14 302.776
  18 0.875 1606.57 302.769
  19 0.925 1608.56 303.982
  20 0.975 1577.52 299.106
14000 20 32019.99999999999
  1 0.025 1613.47 309.635
  2 0.075 1588.56 303.635
  3 0.125 1613.41 294.522
  4 0.175 1588.4 302.033
  5 0.225 1578.96 296.762
  6 0.275 1589.98 294.646
  7 0.325 1589.65 299.441
  8 0.375 1642.98 292.065
  9 0.425 1623.29 302.366
  10 0.475 1614.64 296.921
  11 0.525 1584.21 289.828
  12 0.575 1623.71 291.473
  13 0.625 1567.28 301.499
  14 0.675 1611.35 300.956
  15 0.725 1627.03 304.484
  16 0.775 1590.33 300.469
  17 0.825 1606.44 300.508
  18 0.875 1609.86 304.426
  19 0.925 1593.01 304.966
  20 0.975 1563.44 301.228
15000 20 32020
  1 0.025 1612.11 306.392
  2 0.075 1573.98 302.741
  3 0.125 1610.07 295.426
  4 0.175 1578.35 302.215
  5 0.225 1594.4 298.502
  6 0.275 1577.46 298.234
  7 0.325 1583.75 298.925
  8 0.375 1627.72 295.588
  9 0.425 1637.45 296.29
  10 0.475 1607.3 292.488
  11 0.525 1592.91 290.121
  12 0.575 1627 293.859
  13 0.625 1558.71 303.627
  14 0.675 1631.23 300.086
  15 0.725 1617.44 300.819
  16 0.775 1597.72 301.025
  17 0.825 1628.52 303.902
  18 0.875 1590.54 305.57
  19 0.925 1593.54 301.211
  20 0.975 1579.8 304.631
16000 20 32020
  1 0.025 1620.3 312.712
  2 0.075 1577.89 304.095
  3 0.125 1609.43 297.697
  4 0.175 1577.17 300.164
  5 0.225 1592.3 298.194
  6 0.275 1568.93 298.31
  7 0.325 1597.83 304.963
  8 0.375 1627.01 293.039
  9 0.425 1638.22 293.663
  10 0.475 1601.96 291.843
  11 0.525 1607.92 284.948
  12 0.575 1627.2 295.545
  13 0.625 1557.53 301.63
  14 0.675 1605.24 296.472
  15 0.725 1606.88 302.672
  16 0.775 1589.53 304.339
  17 0.825 1623.77 299.638
  18 0.875 1626.03 304.416
  19 0.925 1588.31 302.23
  20 0.975 1576.55 307.603
17000 20 32019.999999999996
  1 0.025 1612.1 312.185
  2 0.075 1570.95 306.009
  3 0.125 1603.63 299.362
  4 0.175 1585.73 297.521
  5 0.225 1590.98 297.075
  6 0.275 1575.75 296.249
  7 0.325 1581.1 305.622
  8 0.375 1639.68 297.237
  9 0.425 1622.49 296.802
  10 0.475 1599.62 283.946
  11 0.525 1609.57 285.331
  12 0.575 1634.43 296.108
  13 0.625 1570.81 303.367
  14 0.675 1621.43 299.205
  15 0.725 1622.31 303.257
  16 0.775 1573.37 302.251
  17 0.825 1629.76 298.72
  18 0.875 1615.42 300.384
  19 0.925 1582.14 302.59
  20 0.975 1578.73 310.719
18000 20 32020
  1 0.025 1605.59 312.554
  2 0.075 1571.85 305.338
  3 0.125 1617.94 302.605
  4 0.175 1591.78 300.978
  5 0.225 1579.09 294.211
  6 0.275 1578.17 298.843
  7 0.325 1590.27 301.287
  8 0.375 1620.76 303.146
  9 0.425 1642.19 294.451
  10 0.475 1613.97 286.627
  11 0.525 1604.01 284.009
  12 0.575 1633.1 291.087
  13 0.625 1555.52 299.14
