# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32020
  1 0.025 1598.98 304.052
  2 0.075 1584.49 301.67
  3 0.125 1595.96 302.598
  4 0.175 1624.77 299.179
  5 0.225 1577.83 296.23
  6 0.275 1593.46 296.002
  7 0.325 1579.65 297.352
  8 0.375 1630.8 302.541
  9 0.425 1592.46 305.089
  10 0.475 1614.04 300.43
  11 0.525 1635.3 301.608
  12 0.575 1609.76 297.353
  13 0.625 1630.77 299.316
  14 0.675 1580.51 297.108
  15 0.725 1618.84 287.218
  16 0.775 1613.85 298.94
  17 0.825 1619.38 303.163
  18 0.875 1581.66 300.969
  19 0.925 1548.32 299.787
  20 0.975 1589.17 299.561
12000 20 32020
  1 0.025 1602.02 306.964
  2 0.075 1575.21 302.405
  3 0.125 1613.59 301.842
  4 0.175 1621.68 298.943
  5 0.225 1580.86 299.441
  6 0.275 1592.4 296.967
  7 0.325 1580 296.805
  8 0.375 1633.79 297.633
  9 0.425 1593.39 301.197
  10 0.475 1631.78 302.704
  11 0.525 1618.63 301.383
  12 0.575 1601.75 297.43
  13 0.625 1619.99 300.838
  14 0.675 1578.86 293.538
  15 0.725 1601.7 293.232
  16 0.775 1631.44 296.65
  17 0.825 1610.27 299.616
  18 0.875 1580.69 298.284
  19 0.925 1560.04 302.002
  20 0.975 1591.91 301.377
13000 20 32020
  1 0.025 1583.8 307.358
  2 0.075 1592.55 300.436
  3 0.125 1613.89 300.811
  4 0.175 1624.64 300.785
  5 0.225 1582.85 295.359
  6 0.275 1600.24 298.136
  7 0.325 1580.26 297.208
  8 0.375 1629.18 299.728
  9 0.425 1579.1 303.438
  10 0.475 1632.59 299.495
  11 0.525 1624.75 298.254
  12 0.575 1609.85 298.683
  13 0.625 1606.5 295.856
  14 0.675 1595.79 291.31
  15 0.725 1608.1 294.02
  16 0.775 1633.84 302.109
  17 0.825 1589.54 299.458
  18 0.875 1576.24 298.01
  19 0.925 1568.98 303.795
  20 0.975 1587.31 303.511
14000 20 32020
  1 0.025 1591.78 302.11
  2 0.075 1585.5 304.886
  3 0.125 1608.59 300.661
  4 0.175 1623.1 299.059
  5 0.225 1588.89 297.323
  6 0.275 1580.2 296.415
  7 0.325 1583.97 296.246
  8 0.375 1629.13 303.693
  9 0.425 1591.25 300.405
  10 0.475 1623.34 301.333
  11 0.525 1626.61 293.639
  12 0.575 1613.77 295.792
  13 0.625 1629.51 296.182
  14 0.675 1570.01 293.476
  15 0.725 1608.99 297.553
  16 0.775 1617.3 302.356
  17 0.825 1616.27 300.707
  18 0.875 1584.93 300.057
  19 0.925 1561.48 304.438
  20 0.975 1585.38 302.823
15000 20 32019.999999999993
  1 0.025 1594.67 302.447
  2 0.075 1577.54 301.492
  3 0.125 1610.18 299.498
  4 0.175 1611.74 300.844
  5 0.225 1584.53 300.649
  6 0.275 1595.19 298.386
  7 0.325 1591.6 296.945
  8 0.375 1632.14 304.717
  9 0.425 1593.85 298.522
  10 0.475 1630.05 298.998
  11 0.525 1631.59 294.013
  12 0.575 1612.58 294.566
  13 0.625 1628.6 296.159
  14 0.675 1581.48 294.285
  15 0.725 1603.45 297.194
  16 0.775 1621.69 301.542
  17 0.825 1607.86 297.967
  18 0.875 1566.34 303.472
  19 0.925 1569.37 306.78
  20 0.975 1575.55 307.282
16000 20 32020
  1 0.025 1597.28 305.903
  2 0.075 1576 301.567
  3 0.125 1630.88 298.168
  4 0.175 1622.91 302.339
  5 0.225 1576.97 298.69
  6 0.275 1603.35 298.454
  7 0.325 1576.39 299.088
  8 0.375 1636.37 304.15
  9 0.425 1596.34 298.349
  10 0.475 1619.47 293.352
  11 0.525 1628.06 296.278
  12 0.575 1616.68 290.52
  13 0.625 1613.97 295.053
  14 0.675 1588.13 295.405
  15 0.725 1596.44 298.005
  16 0.775 1623.5 303.7
  17 0.825 1599.83 300.607
  18 0.875 1583.72 299.371
  19 0.925 1569.37 303.094
  20 0.975 1564.34 306.179
17000 20 32019.999999999996
  1 0.025 1600.79 309.963
  2 0.075 1572.67 304.177
  3 0.125 1631.54 301.597
  4 0.175 1626.06 299.473
  5 0.225 1570.08 297.257
  6 0.275 1605.9 295.324
  7 0.325 1572.31 299.379
  8 0.375 1641.2 304.464
  9 0.425 1600.11 293.834
  10 0.475 1618.96 298.35
  11 0.525 1636.42 295.283
  12 0.575 1603.69 291.734
  13 0.625 1594.31 295.728
  14 0.675 1605.96 294.989
  15 0.725 1588.29 301.124
  16 0.775 1624.92 301.709
  17 0.825 1604.17 302.451
  18 0.875 1569.96 299.435
  19 0.925 1576.81 301.325
  20 0.975 1575.85 304.326
18000 20 32020.000000000004
  1 0.025 1591.09 309.891
  2 0.075 1602.41 306.188
  3 0.125 1615.63 296.614
  4 0.175 1608.94 299.723
  5 0.225 1579.06 299.4
  6 0.275 1594.56 300.881
  7 0.325 1597.28 297.776
  8 0.375 1618.38 300.761
  9 0.425 1610.86 295.908
  10 0.475 1619.6 296.473
  11 0.525 1632.37 290.164
  12 0.575 1607.08 293.437
  13 0.625 1618.29 300.075
  14 0.675 1603.86 291.58
  15 0.725 1569.74 297.42
  16 0.775 1624.08 305.111
  17 0.825 1596.22 303.519
  18 0.875 1571.25 298.923
  19 0.925 1567.48 303.045
  20 0.975 1591.82 302.84
19000 20 32020.000000000004
  1 0.025 1591.32 310.119
  2 0.075 1581.18 307.689
  3 0.125 1605.3 297.333
  4 0.175 1613.27 297.689
  5 0.225 1579.05 301.467
  6 0.275 1608.91 300.809
  7 0.325 1579.92 296.47
  8 0.375 1624.23 301.308
