# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32020.000000000004
  1 0.025 1585.69 347.841
  2 0.075 1625.86 340.155
  3 0.125 1558.3 341.43
  4 0.175 1538.09 325.893
  5 0.225 1621.1 308
  6 0.275 1626.78 298.491
  7 0.325 1597.78 287.824
  8 0.375 1591.88 280.732
  9 0.425 1613.89 274.553
  10 0.475 1641.17 257.814
  11 0.525 1618.23 252.173
  12 0.575 1611.24 261.097
  13 0.625 1587.92 270.249
  14 0.675 1655.14 280.354
  15 0.725 1594.28 291.802
  16 0.775 1649.03 297.69
  17 0.825 1568.79 308.542
  18 0.875 1573.87 314.183
  19 0.925 1623.02 323.667
  20 0.975 1537.94 338.266
22000 20 32019.999999999993
  1 0.025 1594.49 348.767
  2 0.075 1622.58 339.54
  3 0.125 1555.92 339.198
  4 0.175 1538.46 322.178
  5 0.225 1619.93 309.457
  6 0.275 1615.67 300.406
  7 0.325 1587.21 289.203
  8 0.375 1592.96 284.945
  9 0.425 1621.07 268.378
  10 0.475 1643.89 256.951
  11 0.525 1617.33 250.178
  12 0.575 1623.1 254.752
  13 0.625 1598.61 269.635
  14 0.675 1642.68 282.526
  15 0.725 1588.26 288.365
  16 0.775 1642.88 298.644
  17 0.825 1557.82 308.758
  18 0.875 1577.46 314.822
  19 0.925 1641.72 323.021
  20 0.975 1537.96 339.158
23000 20 32019.999999999993
  1 0.025 1598.8 347.626
  2 0.075 1611.34 338.027
  3 0.125 1575.96 334.138
  4 0.175 1531.73 321.063
  5 0.225 1636.27 310.936
  6 0.275 1604.41 302.291
  7 0.325 1598.59 289.746
  8 0.375 1601.73 280.807
  9 0.425 1628.03 271.062
  10 0.475 1626.24 262.128
  11 0.525 1611.36 252.812
  12 0.575 1627.42 255.375
  13 0.625 1584.55 270.476
  14 0.675 1656.73 280.818
  15 0.725 1590.6 286.307
  16 0.775 1646.15 298.774
  17 0.825 1551.62 312.408
  18 0.875 1567.64 311.765
  19 0.925 1638.25 320.249
  20 0.975 1532.58 339.453
24000 20 32019.999999999993
  1 0.025 1618.96 349.99
  2 0.075 1611.55 343.229
  3 0.125 1576.23 333.312
  4 0.175 1550.48 319.519
  5 0.225 1600.69 316.533
  6 0.275 1604.51 299.398
  7 0.325 1590.75 288.249
  8 0.375 1593.89 281.234
  9 0.425 1619.05 270.281
  10 0.475 1631.94 259.774
  11 0.525 1615.51 253.758
  12 0.575 1616.48 257.676
  13 0.625 1576.03 273.4
  14 0.675 1656.69 279.244
  15 0.725 1585.51 288.369
  16 0.775 1638.49 298.035
  17 0.825 1560.27 310.924
  18 0.875 1590.68 313.344
  19 0.925 1649.19 322.094
  20 0.975 1533.1 339.593
25000 20 32019.999999999996
  1 0.025 1601.33 347.791
  2 0.075 1615.57 339.215
  3 0.125 1561.15 333.774
  4 0.175 1556.01 320.287
  5 0.225 1599.62 314.085
  6 0.275 1597.43 300.568
  7 0.325 1606.08 289.398
  8 0.375 1573.17 280.677
  9 0.425 1645.49 272.898
  10 0.475 1626.63 254.433
  11 0.525 1619.96 252.026
  12 0.575 1616.23 261.234
  13 0.625 1595.87 269.318
  14 0.675 1638.89 280.234
  15 0.725 1592.47 291.717
  16 0.775 1623.37 294.948
  17 0.825 1569.92 311.835
  18 0.875 1584.56 312.469
  19 0.925 1646.9 325.965
  20 0.975 1549.35 339.394
26000 20 32019.999999999993
  1 0.025 1595.97 349.221
  2 0.075 1618.07 342.842
  3 0.125 1568.96 334.474
  4 0.175 1566.03 323.778
  5 0.225 1610.3 308.828
  6 0.275 1600.9 298.248
  7 0.325 1607.65 291.397
  8 0.375 1579.18 279.912
  9 0.425 1639.47 273.285
  10 0.475 1614.62 252.805
  11 0.525 1624.62 251.574
  12 0.575 1605.66 260.436
  13 0.625 1594.07 266.456
  14 0.675 1638.83 277.731
  15 0.725 1595.37 290.887
  16 0.775 1625.89 295.077
  17 0.825 1550.53 310.62
  18 0.875 1576.74 319.271
  19 0.925 1660.92 325.538
  20 0.975 1546.22 338.364
27000 20 32020
  1 0.025 1599.43 349.653
  2 0.075 1624.92 341.235
  3 0.125 1550.26 335.353
  4 0.175 1558.45 323.876
  5 0.225 1609.66 308.491
  6 0.275 1590.32 298.842
  7 0.325 1601.18 291.305
  8 0.375 1581.98 280.481
  9 0.425 1629.07 271.175
  10 0.475 1607.11 253.01
  11 0.525 1625.09 251.733
  12 0.575 1608.78 256.258
  13 0.625 1593.55 263.606
  14 0.675 1642.51 277.898
  15 0.725 1608.39 292.198
