# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32020
  1 0.025 1585.84 351.155
  2 0.075 1579.78 339.333
  3 0.125 1588.57 322.863
  4 0.175 1612.05 313.712
  5 0.225 1565.83 301.187
  6 0.275 1582.7 298.454
  7 0.325 1601.66 293.658
  8 0.375 1628.78 291.464
  9 0.425 1629.67 273.168
  10 0.475 1622.57 260.79
  11 0.525 1606.43 251.616
  12 0.575 1645.98 254.259
  13 0.625 1578.22 270.257
  14 0.675 1624.82 279.82
  15 0.725 1623.85 289.869
  16 0.775 1589.09 301.914
  17 0.825 1612.43 300.023
  18 0.875 1573.91 308.239
  19 0.925 1619.77 321.875
  20 0.975 1548.05 333.135
22000 20 32020
  1 0.025 1605.6 351.814
  2 0.075 1570.72 337.44
  3 0.125 1605.89 326.811
  4 0.175 1603.37 313.778
  5 0.225 1573.09 304.452
  6 0.275 1567.91 296.969
  7 0.325 1609.72 294.156
  8 0.375 1633.78 286.493
  9 0.425 1613.41 276.575
  10 0.475 1617.03 262.62
  11 0.525 1623.1 251.254
  12 0.575 1645.54 255.259
  13 0.625 1572.07 270.436
  14 0.675 1630.24 279.858
  15 0.725 1629.75 292.033
  16 0.775 1565.99 300.39
  17 0.825 1622.1 295.867
  18 0.875 1570.21 312.135
  19 0.925 1608.56 326.286
  20 0.975 1551.92 339.656
23000 20 32020
  1 0.025 1600.06 350.533
  2 0.075 1552.12 336.689
  3 0.125 1629.49 327.331
  4 0.175 1593.36 315.79
  5 0.225 1552.56 306.883
  6 0.275 1575.17 293.398
  7 0.325 1624.68 296.666
  8 0.375 1634.09 288.458
  9 0.425 1622.35 271.343
  10 0.475 1623.95 263.058
  11 0.525 1616.32 250.64
  12 0.575 1636.09 255.195
  13 0.625 1579.9 268.959
  14 0.675 1625.6 281.093
  15 0.725 1634.56 294.508
  16 0.775 1556.1 299.5
  17 0.825 1624.46 299.058
  18 0.875 1598.78 310.083
  19 0.925 1582.52 324.184
  20 0.975 1557.84 344.498
24000 20 32020
  1 0.025 1601.48 347.867
  2 0.075 1568.64 338.353
  3 0.125 1621.89 324.739
  4 0.175 1584.33 318.893
  5 0.225 1561.86 304.472
  6 0.275 1566.06 294.678
  7 0.325 1612.63 298.13
  8 0.375 1625.22 285.153
  9 0.425 1614.07 267.586
  10 0.475 1613.53 258.83
  11 0.525 1613.56 252.213
  12 0.575 1632.99 256.089
  13 0.625 1580.66 273.164
  14 0.675 1618.8 279.568
  15 0.725 1637.64 292.188
  16 0.775 1580.81 297.142
  17 0.825 1637.84 302.498
  18 0.875 1600.28 311.581
  19 0.925 1582.23 325.577
  20 0.975 1565.48 341.357
25000 20 32020
  1 0.025 1591.34 348.108
  2 0.075 1564.63 340.36
  3 0.125 1622.33 326.764
  4 0.175 1588.4 316.804
  5 0.225 1576.82 307.26
  6 0.275 1565.65 297.626
  7 0.325 1619.28 296.112
  8 0.375 1619.79 288.255
  9 0.425 1628.39 268.024
  10 0.475 1617.14 254.296
  11 0.525 1621.37 251.938
  12 0.575 1641.1 254.267
  13 0.625 1577.62 267.939
  14 0.675 1614.18 278.256
  15 0.725 1642.18 289.642
  16 0.775 1562.29 295.353
  17 0.825 1633.55 308.707
  18 0.875 1604.08 311.877
  19 0.925 1579.87 323.33
  20 0.975 1549.99 337.349
26000 20 32020.000000000004
  1 0.025 1578.09 347.818
  2 0.075 1569.61 343.36
  3 0.125 1605.5 326.555
  4 0.175 1594.67 317.029
  5 0.225 1562.56 306.82
  6 0.275 1565.15 297.654
  7 0.325 1632.12 293.535
  8 0.375 1632.03 288.506
  9 0.425 1623.29 266.345
  10 0.475 1627.67 253.324
  11 0.525 1628.61 247.594
  12 0.575 1644.01 253.984
  13 0.625 1567.22 267.441
  14 0.675 1626.95 276.687
  15 0.725 1628.32 286.6
  16 0.775 1577.4 292.596
  17 0.825 1618.12 308.985
  18 0.875 1591.7 309.965
  19 0.925 1599.92 328.855
  20 0.975 1547.06 342.832
27000 20 32020
  1 0.025 1592.35 350.871
  2 0.075 1564.81 340.588
  3 0.125 1608.82 330.07
  4 0.175 1585.96 313.538
  5 0.225 1567.6 305.798
  6 0.275 1569.42 298.083
  7 0.325 1614.58 290.502
  8 0.375 1620.09 282.644
  9 0.425 1634.33 265.721
  10 0.475 1618.18 252.782
  11 0.525 1631.85 254.189
  12 0.575 1632.82 259.119
  13 0.625 1575.14 270.782
  14 0.675 1608.17 277.001
  15 0.725 1644.62 285.489
  16 0.775 1574.17 296.125
  17 0.825 1631.95 306.032
  18 0.875 1601.99 305.486
  19 0.925 1596.31 330.449
  20 0.975 1546.84 345.773
28000 20 32020
  1 0.025 1593.72 350.819
  2 0.075 1563.37 341.861
  3 0.125 1626.9 330.833
  4 0.175 1584.12 315.081
  5 0.225 1578 307.784
  6 0.275 1577.48 294.45
  7 0.325 1614.69 291.224
  8 0.375 1621.27 283.003
  9 0.425 1624.97 260.579
  10 0.475 1618.86 255.859
  11 0.525 1613.59 249.63
  12 0.575 1641.53 253.561
  13 0.625 1582.93 272.758
  14 0.675 1626.27 276.516
  15 0.725 1623.05 286.581
  16 0.775 1576.11 296.536
  17 0.825 1624.98 305.389
  18 0.875 1577.99 306.925
  19 0.925 1596.91 325.677
  20 0.975 1553.26 342.69
29000 20 32019.999999999996
  1 0.025 1592.92 351.977
  2 0.075 1563.12 342.549
  3 0.125 1617.9 328.349
  4 0.175 1593.49 319.572
  5 0.225 1574.13 304.971
  6 0.275 1573.78 296.767
  7 0.325 1631.13 289.431
  8 0.375 1623.01 280.004
  9 0.425 1629.47 264.505
  10 0.475 1652.19 252.42
  11 0.525 1614.1 252.332
  12 0.575 1637.29 251.085
  13 0.625 1569.48 267.031
  14 0.675 1614.39 278.391
  15 0.725 1616.04 287.692
  16 0.775 1577.26 294.441
  17 0.825 1619.35 305.265
  18 0.875 1590.89 309.166
  19 0.925 1591.05 323
  20 0.975 1539.01 337.544
30000 20 32020.000000000004
  1 0.025 1596.6 348.637
  2 0.075 1575.73 342.372
  3 0.125 1622.68 329.155
  4 0.175 1593.69 315.827
  5 0.225 1562.52 306.316
  6 0.275 1581.1 294.131
  7 0.325 1614.92 289.834
  8 0.375 1625.59 280.463
  9 0.425 1618.04 262.923
  10 0.475 1648.16 251.622
  11 0.525 1616.54 250.571
  12 0.575 1621.99 251.966
  13 0.625 1571.16 268.484
  14 0.675 1610.49 276.873
  15 0.725 1626.24 286.578
  16 0.775 1583.21 300.429
  17 0.825 1627.37 305.837
  18 0.875 1601.76 307.773
  19 0.925 1585.05 322.023
  20 0.975 1537.16 335.204
31000 20 32020
  1 0.025 1612.77 349.119
  2 0.075 1566.79 347.533
  3 0.125 1618.64 331.69
  4 0.175 1608.93 316.785
  5 0.225 1577.92 302.615
  6 0.275 1572.92 298.706
  7 0.325 1618.74 285.429
  8 0.375 1625.76 275.428
  9 0.425 1630.99 263.366
  10 0.475 1630.75 252.486
  11 0.525 1605.36 248.425
  12 0.575 1617.74 256.493
  13 0.625 1563.37 269.228
  14 0.675 1611.03 277.404
  15 0.725 1629.06 285.645
  16 0.775 1582.48 297.648
  17 0.825 1621.99 302.64
  18 0.875 1598.26 311.057
  19 0.925 1585.02 323.285
  20 0.975 1541.48 333.565
32000 20 32020.000000000007
  1 0.025 1607.67 350.582
  2 0.075 1560.24 350.298
  3 0.125 1604.83 334.49
  4 0.175 1607.2 318.455
  5 0.225 1566.01 304.896
  6 0.275 1579.63 294.113
  7 0.325 1614.43 283.47
  8 0.375 1635.27 276.205
  9 0.425 1631.68 264.642
  10 0.475 1621.09 249.572
  11 0.525 1619.62 250.38
  12 0.575 1628.29 254.898
  13 0.625 1578.92 270.258
  14 0.675 1635.24 274.508
  15 0.725 1617.57 285.847
  16 0.775 1577.5 299.743
  17 0.825 1629.55 303.001
  18 0.875 1587.8 313.55
  19 0.925 1591.47 324.557
  20 0.975 1525.99 340.979
33000 20 32020
  1 0.025 1577.81 349.136
  2 0.075 1568.72 350.59
  3 0.125 1629.24 332.957
  4 0.175 1597.13 315.855
  5 0.225 1567.11 304.507
  6 0.275 1590.46 293.803
  7 0.325 1603.02 285.924
  8 0.375 1619.52 274.734
  9 0.425 1634.65 259.69
  10 0.475 1617.96 251.779
  11 0.525 1612.74 249.104
  12 0.575 1640.41 251.629
  13 0.625 1566.84 267.701
  14 0.675 1617.06 275.245
  15 0.725 1617.51 285.482
  16 0.775 1577.94 292.984
  17 0.825 1634.08 306.958
  18 0.875 1591.11 315.1
  19 0.925 1610.13 329.756
  20 0.975 1546.56 342.105
34000 20 32020
  1 0.025 1590.18 350.281
  2 0.075 1581.79 342.993
  3 0.125 1631.24 333.359
  4 0.175 1597.96 317.61
  5 0.225 1561.4 305.513
  6 0.275 1565.27 295.011
  7 0.325 1612.61 288.082
  8 0.375 1636.36 276.259
  9 0.425 1622.01 260.504
  10 0.475 1640 248.652
  11 0.525 1611.18 251.578
  12 0.575 1642.07 250.362
  13 0.625 1574.32 263.52
  14 0.675 1610.4 275.39
  15 0.725 1611.56 285.107
  16 0.775 1574.78 295.18
  17 0.825 1633.53 297.374
  18 0.875 1583.57 313.863
  19 0.925 1591.74 334.962
  20 0.975 1548.03 344.156
35000 20 32020.000000000004
  1 0.025 1571.44 351.118
  2 0.075 1576.94 340.487
  3 0.125 1622.39 331.782
  4 0.175 1608.13 318.514
  5 0.225 1557.28 303.692
  6 0.275 1573.78 299.533
  7 0.325 1616.83 288.885
  8 0.375 1636.95 276.03
  9 0.425 1639.55 257.329
  10 0.475 1642.44 250.195
  11 0.525 1598.73 251.767
  12 0.575 1646.76 254.785
  13 0.625 1590.31 265.35
  14 0.675 1631.61 272.983
  15 0.725 1599.65 283.44
  16 0.775 1574.78 295.272
  17 0.825 1627.69 303.556
  18 0.875 1589.11 309.473
  19 0.925 1570.54 331.305
  20 0.975 1545.09 340.441
36000 20 32019.999999999993
  1 0.025 1599.99 346.88
  2 0.075 1583.07 343.369
  3 0.125 1620.79 332.664
  4 0.175 1616.74 316.953
  5 0.225 1569.26 306.008
  6 0.275 1568.61 295.545
  7 0.325 1607.74 288.593
  8 0.375 1649.83 273.923
  9 0.425 1633.81 260.027
  10 0.475 1615.55 247.445
  11 0.525 1600.77 252.321
  12 0.575 1646.8 255.504
  13 0.625 1575.91 264.886
  14 0.675 1621.98 272.726
  15 0.725 1613.66 281.72
  16 0.775 1576.01 292.452
  17 0.825 1618.19 303.607
  18 0.875 1580.98 309.874
  19 0.925 1575.12 330.515
  20 0.975 1545.19 342.084
37000 20 32020
  1 0.025 1596.41 346.522
  2 0.075 1575.16 339.985
  3 0.125 1585.51 327.614
  4 0.175 1612.76 318.536
  5 0.225 1552.42 306.224
  6 0.275 1580.52 296.787
  7 0.325 1624.28 288.549
  8 0.375 1631.46 277.277
  9 0.425 1639.55 261.101
  10 0.475 1632.88 253.146
  11 0.525 1606.53 250.627
  12 0.575 1655.63 251.399
  13 0.625 1575.76 265.935
  14 0.675 1617.68 272.902
  15 0.725 1630.28 284.411
  16 0.775 1567.82 291.729
  17 0.825 1627.15 300.529
  18 0.875 1603.84 309.626
  19 0.925 1566 330.028
  20 0.975 1538.36 341.354
38000 20 32020.000000000004
  1 0.025 1611.71 345.874
  2 0.075 1563.97 335.99
  3 0.125 1596.05 329.191
  4 0.175 1606.25 315.02
  5 0.225 1555.98 306.989
  6 0.275 1555.46 296.126
  7 0.325 1613.24 288.597
  8 0.375 1623.09 278.36
  9 0.425 1632.83 264.139
  10 0.475 1624.44 252.954
  11 0.525 1602.82 251.98
  12 0.575 1663.42 254.546
  13 0.625 1580.45 268.799
  14 0.675 1620.39 276.786
  15 0.725 1634.22 283.496
  16 0.775 1577.38 287.741
  17 0.825 1648.21 300.227
  18 0.875 1596.62 311.008
  19 0.925 1574.34 328.668
  20 0.975 1539.13 345.635
39000 20 32020
  1 0.025 1617.33 348.506
  2 0.075 1560.89 335.132
  3 0.125 1604.3 326.61
  4 0.175 1620.44 313.918
  5 0.225 1548.51 305.468
  6 0.275 1562.37 297.127
  7 0.325 1629.36 287.651
  8 0.375 1616.21 280.923
  9 0.425 1619.61 263.249
