# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32020.000000000007
  1 0.025 1598.65 348.479
  2 0.075 1583.69 337.92
  3 0.125 1609.46 327.161
  4 0.175 1623.96 313.73
  5 0.225 1522.83 296.865
  6 0.275 1594.91 300.645
  7 0.325 1586.75 295.225
  8 0.375 1633.26 281.172
  9 0.425 1621.7 277.83
  10 0.475 1632.75 258.035
  11 0.525 1631.21 249.726
  12 0.575 1624.21 255.978
  13 0.625 1621.45 270.981
  14 0.675 1597.06 281.485
  15 0.725 1621.89 291.399
  16 0.775 1612.65 293.96
  17 0.825 1591.31 304.811
  18 0.875 1585.13 318.751
  19 0.925 1562.15 334.343
  20 0.975 1564.98 341.404
22000 20 32020.000000000004
  1 0.025 1579.84 350.211
  2 0.075 1610.85 334.636
  3 0.125 1604.18 324.709
  4 0.175 1616.51 318.855
  5 0.225 1530.69 298.202
  6 0.275 1593.2 301.928
  7 0.325 1599.15 292.184
  8 0.375 1606.87 279.367
  9 0.425 1638.7 272.632
  10 0.475 1626.1 262.46
  11 0.525 1641.98 250.976
  12 0.575 1638.22 256.415
  13 0.625 1610.07 273.486
  14 0.675 1597.34 280.88
  15 0.725 1628.39 291.052
  16 0.775 1613.19 294.222
  17 0.825 1584.15 306.233
  18 0.875 1581.05 317.949
  19 0.925 1552.9 334.476
  20 0.975 1566.62 341.375
23000 20 32020.000000000004
  1 0.025 1605.95 344.815
  2 0.075 1584.46 332.885
  3 0.125 1600.47 327.524
  4 0.175 1625.22 316.568
  5 0.225 1526.74 304.242
  6 0.275 1582.63 301.186
  7 0.325 1604.34 291.439
  8 0.375 1621.69 277.629
  9 0.425 1632.49 271.68
  10 0.475 1624 260.553
  11 0.525 1623.44 252.433
  12 0.575 1630.32 257.9
  13 0.625 1613.99 269.871
  14 0.675 1610.32 282.007
  15 0.725 1619.93 288.057
  16 0.775 1607.75 295.595
  17 0.825 1596.41 310.336
  18 0.875 1586.29 319.366
  19 0.925 1559.31 332.148
  20 0.975 1564.25 343.145
24000 20 32020
  1 0.025 1611.77 349.654
  2 0.075 1561.36 333.54
  3 0.125 1617.58 326.434
  4 0.175 1610.55 318.287
  5 0.225 1546.97 303.723
  6 0.275 1586.08 297.962
  7 0.325 1612.6 295.99
  8 0.375 1623.28 280.129
  9 0.425 1646.58 269.274
  10 0.475 1621.79 259.724
  11 0.525 1628.54 251.491
  12 0.575 1622.39 257.251
  13 0.625 1617.58 271.502
  14 0.675 1612.09 283.563
  15 0.725 1625.4 286.514
  16 0.775 1606.89 295.342
  17 0.825 1597.35 308.805
  18 0.875 1572.22 322.29
  19 0.925 1548.05 329.574
  20 0.975 1550.93 345.845
25000 20 32020
  1 0.025 1603.28 348.128
  2 0.075 1570.26 333.559
  3 0.125 1621.44 324.605
  4 0.175 1617.17 319.434
  5 0.225 1533.39 307.232
  6 0.275 1574.69 295.926
  7 0.325 1611.34 294.217
  8 0.375 1633.48 280.952
  9 0.425 1619.44 270.094
  10 0.475 1615.82 254.905
  11 0.525 1627.88 252.956
  12 0.575 1637.95 253.602
  13 0.625 1625.59 269.873
  14 0.675 1596.76 277.868
  15 0.725 1611.07 288.243
  16 0.775 1607.88 294.592
  17 0.825 1610.29 311.162
  18 0.875 1583.66 321.647
  19 0.925 1573.83 333.73
  20 0.975 1544.78 342.782
26000 20 32019.999999999996
  1 0.025 1608.42 346.901
  2 0.075 1581.44 336.598
  3 0.125 1616.76 330.687
  4 0.175 1601.18 324.865
  5 0.225 1545.73 305.059
  6 0.275 1588.98 296.569
  7 0.325 1603.96 290.587
  8 0.375 1618.55 281.523
  9 0.425 1627.58 264.3
  10 0.475 1636.8 251.89
  11 0.525 1632.91 250.292
  12 0.575 1642.51 256.076
  13 0.625 1611.99 271.904
  14 0.675 1606.85 278.524
  15 0.725 1618.76 285.619
  16 0.775 1613.51 293.962
  17 0.825 1591.22 309.128
  18 0.875 1569.37 322.335
  19 0.925 1554.79 335.303
  20 0.975 1548.69 340.381
27000 20 32019.999999999996
  1 0.025 1618.78 348.396
  2 0.075 1579.28 334.189
  3 0.125 1616.45 327.284
  4 0.175 1618.99 319.298
  5 0.225 1540.99 307.449
  6 0.275 1572.99 302.502
  7 0.325 1606.6 285.623
  8 0.375 1610.8 280.416
  9 0.425 1624.1 266.413
  10 0.475 1631.76 252.882
  11 0.525 1636.05 248.777
  12 0.575 1639.34 255.103
  13 0.625 1619.26 266.927
  14 0.675 1603.82 278.745
  15 0.725 1605.95 285.299
  16 0.775 1608.85 300.077
  17 0.825 1602.75 306.048
  18 0.875 1582.05 317.715
  19 0.925 1564.23 335.545
  20 0.975 1536.96 340.985
28000 20 32020
  1 0.025 1616.24 347.348
  2 0.075 1586.73 333.13
  3 0.125 1608.72 327.366
  4 0.175 1602.7 320.327
  5 0.225 1536.19 307.398
  6 0.275 1601.77 298.432
  7 0.325 1598.4 288.163
  8 0.375 1605.45 279.593
  9 0.425 1631.52 269.271
  10 0.475 1624.51 257.511
  11 0.525 1620.5 252.756
  12 0.575 1652.49 259.568
  13 0.625 1616.09 267.587
  14 0.675 1593.6 276.967
  15 0.725 1614.51 284.779
  16 0.775 1605.35 299.678
  17 0.825 1604.41 306.736
  18 0.875 1575.16 317.053
  19 0.925 1560.44 332.544
  20 0.975 1565.22 339.902
29000 20 32020
  1 0.025 1616.45 347.319
  2 0.075 1583.44 339.709
  3 0.125 1608.97 328.858
  4 0.175 1603.74 320.235
  5 0.225 1535.48 305.36
  6 0.275 1572.82 298.17
  7 0.325 1613.62 286.938
  8 0.375 1612.21 279.906
  9 0.425 1630.58 269.459
  10 0.475 1626.15 256.149
  11 0.525 1618.21 250.938
  12 0.575 1640.1 257.003
  13 0.625 1625.68 266.983
  14 0.675 1603.13 274.701
  15 0.725 1615.16 288.972
  16 0.775 1610.33 297.437
  17 0.825 1601.07 306.898
  18 0.875 1575.85 320.372
  19 0.925 1563.24 334.086
  20 0.975 1563.77 335.524
30000 20 32020
  1 0.025 1597.98 349.146
  2 0.075 1580.78 341.757
  3 0.125 1595.41 328.057
  4 0.175 1606.42 317.521
  5 0.225 1534.74 305.585
  6 0.275 1580.47 296.262
  7 0.325 1613.86 288.724
  8 0.375 1608.92 278.586
  9 0.425 1653.69 265.267
  10 0.475 1609.06 257.856
  11 0.525 1646.19 252.081
  12 0.575 1630.59 259.969
  13 0.625 1611.12 264.235
  14 0.675 1610 275.535
  15 0.725 1604.95 289.516
  16 0.775 1606.6 297.63
  17 0.825 1592.87 303.723
  18 0.875 1584.87 323.714
  19 0.925 1557.58 334.595
  20 0.975 1593.9 339.471
31000 20 32020
  1 0.025 1595.82 349.039
  2 0.075 1575.2 339.188
  3 0.125 1607.06 330.842
  4 0.175 1595.73 315.233
  5 0.225 1519.86 304.402
  6 0.275 1588.64 299.106
  7 0.325 1603.82 285.277
  8 0.375 1639.17 276.941
  9 0.425 1630.14 265.52
  10 0.475 1615.02 259.488
  11 0.525 1636.4 255.227
  12 0.575 1633.27 256.753
  13 0.625 1630.42 261.241
  14 0.675 1602.85 276.798
  15 0.725 1609.54 294.147
  16 0.775 1608.37 296.806
  17 0.825 1589.66 302.009
  18 0.875 1589.61 318.604
  19 0.925 1557.42 334.961
  20 0.975 1592 336.894
32000 20 32020
  1 0.025 1588.95 347.792
  2 0.075 1565.8 342.724
  3 0.125 1601.3 327.366
  4 0.175 1627.31 316.093
  5 0.225 1506.98 308.114
  6 0.275 1584.62 297.456
  7 0.325 1608.92 286.066
  8 0.375 1637.79 281.792
  9 0.425 1611.17 265.723
  10 0.475 1623.11 256.753
  11 0.525 1621.82 252.16
  12 0.575 1638.74 257.991
  13 0.625 1623.68 264.621
  14 0.675 1606.2 272.693
  15 0.725 1611.41 291.646
  16 0.775 1611.12 299.045
  17 0.825 1604.5 304.042
  18 0.875 1576.28 320.374
  19 0.925 1561.97 333.423
  20 0.975 1608.33 342.266
33000 20 32020
  1 0.025 1598.35 350.534
  2 0.075 1565.32 342.4
  3 0.125 1607.36 328.097
  4 0.175 1600.81 314.77
  5 0.225 1542.34 306.433
  6 0.275 1587.16 298.305
