,mean,std
TotEng,130347.08133333332,309.5801710184554
Density,1.0531950499999998,0.0013199416768071503
Mn,43032.44435646548,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5297979797979798,0.039019850326704436
herman_x,0.008004886394950705,0.0015907026278990624
herman_y,-0.02250550138811387,0.0019390225633718033
herman_z,0.014500614993163154,0.0014970517838398655
herman_avg,-0.007947745809352192,0.001230985566559022
shape_aniso,0.31819670641256637,0.17981787142913053
Rg,1048.8481103731951,239.19185314038583
ehex_kappa,0.26131846145865795,0.0049560712364582135
ehex_kappa_x,0.26088042793719124,
ehex_kappa_y,0.2664790100746364,
ehex_kappa_z,0.25659594636414623,
lav_kappa,0.2861625071806693,0.005171965280433513
lav_kappa_x,0.28955681427182756,
lav_kappa_y,0.2802099765201691,
lav_kappa_z,0.28872073075001137,
