,mean,std
TotEng,117620.69500000002,239.82490333646484
Density,1.0557293466666666,0.0013654439817884535
Mn,43032.44435646548,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.521324354657688,0.03120412743986047
herman_x,0.008555196374482025,0.0015169509640479669
herman_y,-0.018434379657421875,0.0017202448217560067
herman_z,0.00987918328293984,0.0014879796867474236
herman_avg,0.009561097919300115,0.0015241422285983885
shape_aniso,0.9824090188531441,0.006733148234757687
Rg,4110.204746523573,958.2496724286588
ehex_kappa,0.2684303949416567,0.10349490690862663
ehex_kappa_x,0.21163841611162126,
ehex_kappa_y,0.20576487156750595,
ehex_kappa_z,0.38788789714584293,
lav_kappa,0.29502215741951826,0.03015823974926505
lav_kappa_x,0.28472996556940083,
lav_kappa_y,0.271357274274708,
lav_kappa_z,0.3289792324144461,
