,mean,std
TotEng,130619.88133333334,296.445189906753
Density,1.0569454033333334,0.001548160009658473
Mn,43032.44435646548,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5297979797979798,0.039019850326704436
herman_x,-0.0561602154711362,0.001838327603231364
herman_y,-0.06260362141486882,0.0019234041705178694
herman_z,0.11876383688600502,0.0015889843577580093
herman_avg,-0.04056949371308783,0.003972036480613805
shape_aniso,0.9433484767694879,0.1289827116249641
Rg,4658.891855525304,2233.1425439286672
ehex_kappa,0.2910671380982715,0.15377820384208662
ehex_kappa_x,0.1949218367507908,
ehex_kappa_y,0.20985407127584013,
ehex_kappa_z,0.4684255062681837,
lav_kappa,0.3041054290152751,0.07758991044145003
lav_kappa_x,0.2611683087568687,
lav_kappa_y,0.257474818956813,
lav_kappa_z,0.39367315933214353,
