,pDMA_graft_ac,pDMA_graft_aligned,pDMA_graft_fiber,pDMA_graft_mean,pDMA_graft_std
TotEng,75776.75143333332,68522.40419999999,76265.51766666668,73521.55776666666,4336.285898675135
Density,1.0980315466666668,1.09567088,1.09490981,1.0962040788888887,0.001627739458677959
Mn,19815.698431664383,19815.698431664383,19815.698431664383,19815.698431664383,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.5242424242424243,0.5224466891133558,0.5242424242424243,0.5236438458660682,0.001036768160160965
herman_x,0.005945641273664213,-0.006190438878427038,-0.04451606770203273,-0.01492028843559852,0.026339205059286025
herman_y,-0.009210256705682617,0.003411963040328744,-0.04781534535948482,-0.017871213008279565,0.026689293818477525
herman_z,0.0032646154320183883,0.002778475838098328,0.09233141306151753,0.03279150144387808,0.051563648915718054
herman_avg,-0.005943282899005857,0.002690472041085493,-0.009842235630140115,-0.00436501549602016,0.006413687425311177
shape_aniso,0.396923780947385,0.9961057410397088,0.833744523130493,0.7422580150391956,0.3098904503160335
Rg,606.7927125979055,3884.4432519503525,2088.3234914500727,2193.186485332777,1641.3395292089567
ehex_kappa,0.2572123369389426,0.2699996757224083,0.2591920222067003,0.2621346782893504,0.006882835673350763
ehex_kappa_x,0.27443137134556966,0.18713478551628362,0.18161424289699069,0.21439346658628133,0.052067567675251454
ehex_kappa_y,0.25806168268845275,0.20361164358055356,0.18364730454706293,0.21510687693868977,0.038515973452724055
ehex_kappa_z,0.23914395678280523,0.4192525980703876,0.41231451917604717,0.35690369134308003,0.10204190584003124
lav_kappa,0.28715672513318086,0.2944838167515404,0.2894651762465254,0.29036857271041555,0.0037461529298982933
lav_kappa_x,0.2918547469653311,0.24891859280756898,0.2436002687004368,0.2614578694911123,0.026458434627999603
lav_kappa_y,0.2873596662036409,0.2675203396405749,0.2407682917117636,0.26521609918532646,0.02338100056279225
lav_kappa_z,0.2822557622305705,0.3670125178064773,0.38402696832737576,0.34443174945480787,0.054513878252362695
