,mean,std
TotEng,75776.75143333332,188.5244091664641
Density,1.0980315466666668,0.001517329426130742
Mn,19815.698431664383,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5242424242424243,0.021284148995662097
herman_x,0.005945641273664213,0.001978221809067299
herman_y,-0.009210256705682617,0.00208877747749947
herman_z,0.0032646154320183883,0.0019975075231504166
herman_avg,-0.005943282899005857,0.001770829600494924
shape_aniso,0.396923780947385,0.1653834804252625
Rg,606.7927125979055,195.42910664508977
ehex_kappa,0.2572123369389426,0.017659033036459222
ehex_kappa_x,0.27443137134556966,
ehex_kappa_y,0.25806168268845275,
ehex_kappa_z,0.23914395678280523,
lav_kappa,0.28715672513318086,0.004802709213881417
lav_kappa_x,0.2918547469653311,
lav_kappa_y,0.2873596662036409,
lav_kappa_z,0.2822557622305705,
