,mean,std
TotEng,68522.40419999999,162.47365669619992
Density,1.09567088,0.002215764818592049
Mn,19815.698431664383,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5224466891133558,0.02170491538250697
herman_x,-0.006190438878427038,0.0026911551064356743
herman_y,0.003411963040328744,0.002550628062574877
herman_z,0.002778475838098328,0.002166728533312207
herman_avg,0.002690472041085493,0.002140978376745885
shape_aniso,0.9961057410397088,0.0012966969121103087
Rg,3884.4432519503525,273.01620519714675
ehex_kappa,0.2699996757224083,0.12951910220109036
ehex_kappa_x,0.18713478551628362,
ehex_kappa_y,0.20361164358055356,
ehex_kappa_z,0.4192525980703876,
lav_kappa,0.2944838167515404,0.06349657946572489
lav_kappa_x,0.24891859280756898,
lav_kappa_y,0.2675203396405749,
lav_kappa_z,0.3670125178064773,
