,mean,std
TotEng,76265.51766666668,219.12851428963307
Density,1.09490981,0.0017621302070074882
Mn,19815.698431664383,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5242424242424243,0.021284148995662097
herman_x,-0.04451606770203273,0.002312625214087417
herman_y,-0.04781534535948482,0.0024123130793204076
herman_z,0.09233141306151753,0.0019125463894426506
herman_avg,-0.009842235630140115,0.026142310751668823
shape_aniso,0.833744523130493,0.23936791138887126
Rg,2088.3234914500727,1515.259055389578
ehex_kappa,0.2591920222067003,0.1326118684112172
ehex_kappa_x,0.18161424289699069,
ehex_kappa_y,0.18364730454706293,
ehex_kappa_z,0.41231451917604717,
lav_kappa,0.2894651762465254,0.08190515499388654
lav_kappa_x,0.2436002687004368,
lav_kappa_y,0.2407682917117636,
lav_kappa_z,0.38402696832737576,
