,pGCBGMA_graft_ac,pGCBGMA_graft_aligned,pGCBGMA_graft_fiber,pGCBGMA_graft_mean,pGCBGMA_graft_std
TotEng,-573496.0303333333,-525962.2573333334,-571463.793,-556974.0268888889,26876.19551517491
Density,1.33238627,1.3500339000000001,1.3445734466666663,1.3423312055555556,0.009034956837444933
Mn,63032.86940446614,63032.86940446614,63032.86940446614,63032.869404466146,8.911191772433732e-12
DPn,200.0,200.0,200.0,200.0,0.0
PDI,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0
%mm,0.5090909090909091,0.5117845117845118,0.5090909090909091,0.5099887766554434,0.0015551522402413834
herman_x,0.011342259247457529,0.0061878532854271005,-0.06424825425014388,-0.015572713905753086,0.04223296279056403
herman_y,-0.0015764483638654638,-0.0063224200030090145,-0.05629372322135223,-0.021397530529408904,0.03031401095194791
herman_z,-0.009765810883592104,0.00013456671758192842,0.12054197747149617,0.036970244435161996,0.0725443332809923
herman_avg,0.006648622279477475,0.000307300267006918,0.09812724922304819,0.035027723923177524,0.05473769871869135
shape_aniso,0.2854755546399414,0.9232108685841843,0.913581003176895,0.7074224754670069,0.36544847321273904
Rg,1230.9585493183906,2799.9314983628133,7709.32018608141,3913.4034112542045,3379.668201135907
ehex_kappa,0.30968673996212076,0.3015783534336362,0.3359225129426566,0.31572920211280453,0.017951708406920328
ehex_kappa_x,0.3220353192883604,0.25899862063921847,0.22162884371866395,0.26755426121541426,0.050747062213824724
ehex_kappa_y,0.2979538186000267,0.2598206995995842,0.2215606787956304,0.25977839899841376,0.03819658746929041
ehex_kappa_z,0.3090710819979752,0.3859157400621058,0.5645780163136755,0.4198549461245855,0.13109100141491595
lav_kappa,0.3267019438510235,0.3302589336994565,0.34446312956762243,0.3338080023727008,0.009397438259995767
lav_kappa_x,0.3268368137989322,0.3134858133607737,0.28846429894146874,0.30959564203372486,0.019479798480397787
lav_kappa_y,0.32436286978562745,0.32056913170421986,0.2884475260763297,0.31112650918872564,0.019731961849163333
lav_kappa_z,0.32890614796851086,0.35672185603337614,0.456477563685069,0.38070185589565203,0.06708127027738656
