,mean,std
TotEng,-573496.0303333333,285.7848120947329
Density,1.33238627,0.0011318292725373442
Mn,63032.86940446614,7.275957614183426e-12
DPn,200.0,0.0
PDI,0.9999999999999999,0.0
%mm,0.5090909090909091,0.04242424242424243
herman_x,0.011342259247457529,0.0014830204966239425
herman_y,-0.0015764483638654638,0.001182592687098324
herman_z,-0.009765810883592104,0.0012660874718642874
herman_avg,0.006648622279477475,0.001007808856134318
shape_aniso,0.2854755546399414,0.08864044317145275
Rg,1230.9585493183906,292.0870014150425
ehex_kappa,0.30968673996212076,0.01205254931112775
ehex_kappa_x,0.3220353192883604,
ehex_kappa_y,0.2979538186000267,
ehex_kappa_z,0.3090710819979752,
lav_kappa,0.3267019438510235,0.0022746398811466346
lav_kappa_x,0.3268368137989322,
lav_kappa_y,0.32436286978562745,
lav_kappa_z,0.32890614796851086,
