,mean,std
TotEng,-525962.2573333334,307.8110373089235
Density,1.3500339000000001,0.001109147538458692
Mn,63032.86940446614,7.275957614183426e-12
DPn,200.0,0.0
PDI,0.9999999999999999,0.0
%mm,0.5117845117845118,0.043900352896987536
herman_x,0.0061878532854271005,0.0014871044317486517
herman_y,-0.0063224200030090145,0.0014471835224800032
herman_z,0.00013456671758192842,0.001229642941265142
herman_avg,0.000307300267006918,0.0012519222335472496
shape_aniso,0.9232108685841843,0.05226280786362973
Rg,2799.9314983628133,450.2845973945398
ehex_kappa,0.3015783534336362,0.07303947590819809
ehex_kappa_x,0.25899862063921847,
ehex_kappa_y,0.2598206995995842,
ehex_kappa_z,0.3859157400621058,
lav_kappa,0.3302589336994565,0.023189610680797227
lav_kappa_x,0.3134858133607737,
lav_kappa_y,0.32056913170421986,
lav_kappa_z,0.35672185603337614,
