,mean,std
TotEng,-571463.793,410.8081070545287
Density,1.3445734466666663,0.0009436507666882183
Mn,63032.86940446614,7.275957614183426e-12
DPn,200.0,0.0
PDI,0.9999999999999999,0.0
%mm,0.5090909090909091,0.04242424242424243
herman_x,-0.06424825425014388,0.001918989559178502
herman_y,-0.05629372322135223,0.001902028724023231
herman_z,0.12054197747149617,0.0011344718745380626
herman_avg,0.09812724922304819,0.0022311432129132453
shape_aniso,0.913581003176895,0.2321672736774139
Rg,7709.32018608141,3608.114516058964
ehex_kappa,0.3359225129426566,0.19802147756747174
ehex_kappa_x,0.22162884371866395,
ehex_kappa_y,0.2215606787956304,
ehex_kappa_z,0.5645780163136755,
lav_kappa,0.34446312956762243,0.09700734589875694
lav_kappa_x,0.28846429894146874,
lav_kappa_y,0.2884475260763297,
lav_kappa_z,0.456477563685069,
