,mean,std
TotEng,118269.42833333332,231.97687102431095
Density,1.14578842,0.001581291281680024
Mn,28414.614486064725,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5015151515151516,0.023369162224766208
herman_x,-0.011337081961828067,0.0015721302195199384
herman_y,-0.002030086326881813,0.0019234769660306998
herman_z,0.013367168288709878,0.0014532777457399366
herman_avg,-0.0061839232432401876,0.0015430703085961782
shape_aniso,0.2754059916347242,0.1556555565925383
Rg,828.379432856904,216.00898457740004
ehex_kappa,0.21569647274836015,0.014345889853375
ehex_kappa_x,0.2121781560471185,
ehex_kappa_y,0.2314742131020757,
ehex_kappa_z,0.20343704909588628,
lav_kappa,0.2402920066409815,0.010737166821724944
lav_kappa_x,0.23176561350541283,
lav_kappa_y,0.2523502154878355,
lav_kappa_z,0.2367601909296962,
