,mean,std
TotEng,106971.11966666665,178.97598190786695
Density,1.1611042566666667,0.001626148217930377
Mn,28414.614486064725,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5050505050505051,0.021950176448493768
herman_x,-0.008305502068217585,0.00157141072232468
herman_y,-0.02676067635453543,0.0016476193735567451
herman_z,0.03506617842275303,0.0020270009734333493
herman_avg,0.03619228081850455,0.002081280660800036
shape_aniso,0.9971319895933495,0.001746989503706549
Rg,5179.980863766725,301.01523920713254
ehex_kappa,0.23698776259291787,0.13021262950322426
ehex_kappa_x,0.16012619676826037,
ehex_kappa_y,0.16350539321124533,
ehex_kappa_z,0.3873316977992479,
lav_kappa,0.2507919489917314,0.05405897682099754
lav_kappa_x,0.22402557363611372,
lav_kappa_y,0.21533822606214423,
lav_kappa_z,0.3130120472769362,
