,mean,std
TotEng,118959.89833333333,228.02664637218928
Density,1.1446286466666669,0.002011565921628599
Mn,28414.614486064725,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5015151515151516,0.023369162224766208
herman_x,-0.05229694256676504,0.0017727004462382648
herman_y,-0.023706761211025697,0.0017312336719728697
herman_z,0.07600370377779073,0.0021709822291423853
herman_avg,0.07135355519154443,0.001986742442477747
shape_aniso,0.897086557682564,0.2730348489252704
Rg,3745.8608648488125,1943.790668664946
ehex_kappa,0.22977260329147162,0.12380524542172765
ehex_kappa_x,0.15547393230372908,
ehex_kappa_y,0.16115086801915646,
ehex_kappa_z,0.37269300955152923,
lav_kappa,0.24790516808607133,0.06421126034935631
lav_kappa_x,0.20162322730628812,
lav_kappa_y,0.2208806879756904,
lav_kappa_z,0.32121158897623553,
