,mean,std
TotEng,37979.42226666667,116.75500707920166
Density,1.0883310966666666,0.0023446156731575726
Mn,9908.857040864099,1.8189894035458565e-12
DPn,100.0,0.0
PDI,1.0000000000000004,0.0
%mm,0.4948979591836736,0.03797508993046612
herman_x,-0.005574993877051497,0.0029478116485927835
herman_y,-0.0014440340360946872,0.0027989691691896693
herman_z,0.007019027913146197,0.002527628454483938
herman_avg,0.007905612465646293,0.0027106967579218267
shape_aniso,0.36820305765869943,0.14150651957973656
Rg,368.9510063003824,127.26297309369431
ehex_kappa,0.22578658577751531,0.004262553791523348
ehex_kappa_x,0.22121369050276615,
ehex_kappa_y,0.2264963798605976,
ehex_kappa_z,0.22964968696918223,
lav_kappa,0.2749635601267516,0.0037578500301838325
lav_kappa_x,0.2707271345904562,
lav_kappa_y,0.27626877790357346,
lav_kappa_z,0.27789476788622514,
