,pDMA_dp100_poly_smp1,pDMA_dp100_poly_smp2,pDMA_dp100_poly_smp3,pDMA_dp100_poly_mean,pDMA_dp100_poly_std
TotEng,36598.52783333333,38030.4899,36822.78669999999,37150.60147777778,770.2114881577604
Density,1.0963701866666669,1.0940051,1.0921083866666668,1.0941612244444445,0.0021351852241936866
Mn,9581.93127496771,9948.484406427318,9631.465481921707,9720.627054438912,198.8784529706947
DPn,96.7,100.4,97.2,98.10000000000001,2.0074859899884747
PDI,1.3203491130615348,1.3025947632110033,1.2903956128167207,1.3044464963630864,0.015062361401151959
%mm,0.48868140721035036,0.5079917244862725,0.5046648370801935,0.5004459895922722,0.010323327657250332
herman_x,0.021892468720786533,0.004711905928872312,0.012474002965684494,0.013026125871781112,0.00860357857169354
herman_y,-0.0198275837157505,0.00255667637266961,0.0033581272043991745,-0.004637593379560572,0.01316101955279596
herman_z,-0.0020648850050360486,-0.007268582301541924,-0.015832130170083673,-0.008388532492220548,0.006951616803365431
herman_avg,0.018943319959585002,-0.0066985621593805686,0.011156293391608604,0.007800350397271012,0.013146227393692238
shape_aniso,0.44244466717401887,0.5694988666643211,0.4585294844211104,0.4901576727531502,0.06918055452875188
Rg,345.9438475467291,471.27179928678896,356.8709848526123,391.36221056204346,69.41907057894024
ehex_kappa,0.22406548004085405,0.22536999227253385,0.22732356722653968,0.2255863465133092,0.0016397834904365663
ehex_kappa_x,0.22862636406808906,0.21536480961515658,0.21905168771858136,0.22101428713394233,0.006845148207007994
ehex_kappa_y,0.2274711704890031,0.22991578947645613,0.23230276687190643,0.22989657561245522,0.002415855496764769
ehex_kappa_z,0.21609890556547007,0.23082937772598885,0.2306162470891312,0.22584817679353006,0.0084437890354864
lav_kappa,0.2789003196865696,0.27281108847273233,0.2757282310654073,0.2758132130749031,0.0030455049910229886
lav_kappa_x,0.29278778834292185,0.26757614933102775,0.27461036868069005,0.27832476878487983,0.013009775613630668
lav_kappa_y,0.269953688306607,0.2707261552937797,0.28079438861548284,0.2738247440719565,0.006048234048786282
lav_kappa_z,0.2739594824101798,0.28013096079338945,0.27177993590004906,0.2752901263678728,0.004331612193965002
