,pDMA_dp200_mono_smp1,pDMA_dp200_mono_smp2,pDMA_dp200_mono_smp3,pDMA_dp200_mono_mean,pDMA_dp200_mono_std
TotEng,75722.80519999999,75770.06593333333,75789.75223333335,75760.87445555556,34.406958102090215
Density,1.0939308533333332,1.09351272,1.0940709499999999,1.0938381744444443,0.0002904259209491838
Mn,19815.698431664383,19815.698431664383,19815.698431664383,19815.698431664383,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.4904040404040404,0.4883838383838384,0.509090909090909,0.49595959595959593,0.011416822783290178
herman_x,-0.00022155609469730466,-0.0044896475350206695,-0.007801366613750747,-0.0041708567478229075,0.003799947703678293
herman_y,-0.0026073777183951877,-0.006647207202625726,0.006153168746207993,-0.001033805391604307,0.006543661322883522
herman_z,0.002828933813092505,0.011136854737646413,0.0016481978675427723,0.00520466213942723,0.005171239320516229
herman_avg,0.002712090573467602,-0.00824313048383239,-0.007093491040584856,-0.004208176983649881,0.006020630781648815
shape_aniso,0.29604540753571074,0.280136733728624,0.39346718050894613,0.3232164405910936,0.061356713730686296
Rg,584.3703860850269,630.4461313963568,632.5893203212878,615.8019459342239,27.241613950117266
ehex_kappa,0.25669059273773615,0.2534754159322081,0.24990627807241492,0.2533574289141197,0.003393695930965415
ehex_kappa_x,0.26347924623457086,0.25773373280623507,0.23826101727346624,0.2531579987714241,0.0132171394201495
ehex_kappa_y,0.2438398310002165,0.24443929622685542,0.25131343612387547,0.24653085445031578,0.004152668447840367
ehex_kappa_z,0.2627527009784212,0.25825321876353385,0.26014438081990304,0.2603834335206194,0.0022592464885026757
lav_kappa,0.2853353365134475,0.28311298605390733,0.28350494011522964,0.28398442089419484,0.0011862279520827323
lav_kappa_x,0.28925166540770686,0.2807650066725951,0.27524670356235026,0.2817544585475507,0.007054714759089377
lav_kappa_y,0.2811526206823403,0.2791336573888498,0.28784597572055887,0.28271075126391637,0.004560367404079433
lav_kappa_z,0.28560172345029533,0.28944029410027705,0.2874221410627797,0.2874880528711174,0.0019201339624057559
