,mean,std
TotEng,76588.3243,191.32880285521543
Density,1.0958337033333332,0.001412771343112386
Mn,20063.369466434437,10471.231422484087
DPn,202.5,105.69697252050317
PDI,1.2723878767540446,0.0
%mm,0.47711263728017705,0.015681913987630473
herman_x,-0.0027623724798135135,0.0018127297099026398
herman_y,-0.003909439911450625,0.002375027251347789
herman_z,0.006671812391264128,0.0020133735769505127
herman_avg,0.007895250905758357,0.001961549587362763
shape_aniso,0.35875722696276424,0.1627132449244142
Rg,586.1158265766276,237.47351682424252
ehex_kappa,0.25090866584750265,0.004180781259059912
ehex_kappa_x,0.25374231263482283,
ehex_kappa_y,0.24610705791865586,
ehex_kappa_z,0.2528766269890293,
lav_kappa,0.287397448114649,0.005511558759439737
lav_kappa_x,0.2816660870247841,
lav_kappa_y,0.28786711008662685,
lav_kappa_z,0.2926591472325361,
