,pDMA_iso_dp100_mono_smp1,pDMA_iso_dp100_mono_smp2,pDMA_iso_dp100_mono_smp3,pDMA_iso_dp100_mono_mean,pDMA_iso_dp100_mono_std
TotEng,37906.44283333334,38011.714466666665,37977.9059,37965.354400000004,53.74648184164082
Density,1.1007052666666666,1.0957776333333333,1.0923222666666665,1.0962683888888887,0.004212992168457182
Mn,9908.857040864099,9908.857040864099,9908.857040864099,9908.857040864099,0.0
DPn,100.0,100.0,100.0,100.0,0.0
PDI,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0
%mm,0.8979591836734695,0.9173469387755102,0.8908163265306124,0.9020408163265307,0.013728187803136373
herman_x,0.010979549807555488,0.001166488732727373,2.5572469502926373e-05,0.004057203669928596,0.0060220079306458054
herman_y,-0.006811275802459981,0.007314322023577026,0.012084854668339336,0.004195966963152127,0.00982644597016265
herman_z,-0.004168274005095519,-0.008480810756304375,-0.012110427137842246,-0.008253170633080713,0.003975967066673921
herman_avg,-0.0016425943596105608,-0.003067475709970243,-0.011424832703376415,-0.005378300924319073,0.0052846931445461875
shape_aniso,0.4241906456662153,0.4462238944599636,0.5721992328063403,0.4808712576441731,0.07985590334169343
Rg,360.51252094956124,333.3598090259601,448.0140250892837,380.6287850216017,59.9157356245909
ehex_kappa,0.22366538428684687,0.22403854421802652,0.22108828493223265,0.2229307378123687,0.0016064826625895065
ehex_kappa_x,0.2217115665483312,0.2168200313820563,0.2018030655723292,0.2134448878342389,0.010374526411077686
ehex_kappa_y,0.22297362948576896,0.22383563523383934,0.2511708768797309,0.23266004719977973,0.016036641638994965
ehex_kappa_z,0.22631095682644042,0.231459966038184,0.21029091234463781,0.2226872784030874,0.011039949843951555
lav_kappa,0.2758341577630363,0.2735628239961279,0.2690111420230668,0.2728027079274103,0.003474437835882221
lav_kappa_x,0.28175015947368914,0.2670132513098682,0.2613485610850445,0.2700373239562006,0.01053162217944647
lav_kappa_y,0.2685553028830185,0.2799259700793305,0.2901627199084388,0.2795479976235959,0.010808666199424248
lav_kappa_z,0.27719701093240134,0.273749250599185,0.2555221450757172,0.26882280220243454,0.011646989861363198
mp_kappa,0.23629556698729356,0.23377293749990183,0.23346835538157454,0.2345122866229233,0.0015518566976891151
mp_kappa_x,0.23368553387317995,0.22541046658113587,0.21641234946439872,0.22516944997290486,0.008639114055215565
mp_kappa_y,0.23343540517417516,0.23658849710855565,0.26358505943749094,0.24453632057340724,0.016571853741229534
mp_kappa_z,0.24176576191452556,0.23931984881001403,0.220407657242834,0.23383108932245786,0.011689183860557223
gk_kappa,1.4731956133333333,1.4300520600000002,1.3856615333333333,1.429636402222222,0.04376852029601605
gk_kappa_x,1.4438250533333337,1.5891171233333332,1.5108122033333333,1.5145847933333334,0.07271946594758702
gk_kappa_y,1.5750490966666664,1.3204918833333334,1.3641998066666672,1.4199135955555555,0.13611709451525447
gk_kappa_z,1.4007126800000003,1.3805471666666667,1.28197258,1.3544108088888889,0.06353845084213591
