,mean,std
TotEng,114023.461,240.50460340206922
Density,1.09377478,0.0015171649535030494
Mn,29722.539822464787,3.637978807091713e-12
DPn,300.0,0.0
PDI,0.9999999999999999,0.0
%mm,0.9104026845637583,0.0104026845637584
herman_x,0.0022757873102615535,0.0016921010284941679
herman_y,-0.0002865271978363966,0.0020770384512694496
herman_z,-0.0019892601124251764,0.0016014660924959438
herman_avg,-0.0012015297354709229,0.0016096666564579397
shape_aniso,0.3586106210470494,0.1607566185683887
Rg,891.0491657038663,183.12543994702443
ehex_kappa,0.2594869609051981,0.01821017600624152
ehex_kappa_x,0.27238282188807467,
ehex_kappa_y,0.23865559941448028,
ehex_kappa_z,0.2674224614130394,
lav_kappa,0.28468596968518617,0.005508139336738256
lav_kappa_x,0.2883634301248156,
lav_kappa_y,0.27835315307444125,
lav_kappa_z,0.28734132585630157,
