,mean,std
TotEng,115040.23200000002,253.9301207486984
Density,1.09618948,0.0013599866881701366
Mn,29999.93138140713,16453.280273008393
DPn,302.8,166.07998073217615
PDI,1.3007907445900104,0.0
%mm,0.9146668994442504,0.01459500891438924
herman_x,0.0014697930980214124,0.0012539052919102148
herman_y,0.0037402851183327085,0.0015200042485750155
herman_z,-0.005210078216354126,0.0011581615755368224
herman_avg,-0.0016189507664820918,0.001026622247373636
shape_aniso,0.39419071035394404,0.26003180434561535
Rg,799.7254454485507,228.74868936079196
ehex_kappa,0.2629151529678286,0.010351599250522286
ehex_kappa_x,0.2622140576239087,
ehex_kappa_y,0.25293192320690056,
ehex_kappa_z,0.2735994780726764,
lav_kappa,0.2890840725038088,0.0024259869195612654
lav_kappa_x,0.2886511640728561,
lav_kappa_y,0.28690368395187427,
lav_kappa_z,0.29169736948669606,
