,mean,std
TotEng,16789.4236,104.5648278604695
Density,0.8351323359999998,0.0028362545502045164
Mn,5608.275675664004,9.094947017729282e-13
DPn,200.0,0.0
PDI,1.0000000000000002,0.0
%mm,0.0,0.0
herman_x,0.015813770588477574,0.004623363137669339
herman_y,0.005379292766233834,0.00405002299512675
herman_z,-0.021193063354711376,0.004910564762381485
herman_avg,-0.008991375808624677,0.004406200898347373
shape_aniso,0.36676712220260327,0.18819207047420525
Rg,388.49570648036513,112.94582989893564
ehex_kappa,0.3477733902553189,0.03196299122616068
ehex_kappa_x,0.31477100054476526,
ehex_kappa_y,0.3785841802540015,
ehex_kappa_z,0.34996498996719,
lav_kappa,0.41896936195918233,0.017181353074814602
lav_kappa_x,0.43311601822169143,
lav_kappa_y,0.4239419036978977,
lav_kappa_z,0.3998501639579578,
