,mean,std
TotEng,16755.852033333336,106.13580784768912
Density,0.8359012816666668,0.002416743323487464
Mn,5608.275675664004,9.094947017729282e-13
DPn,200.0,0.0
PDI,1.0000000000000002,0.0
%mm,0.0,0.0
herman_x,-0.009224276482299723,0.005671836018623388
herman_y,0.010471758409562295,0.004313188747993644
herman_z,-0.0012474819272625985,0.004750869725717763
herman_avg,0.004990919562844772,0.004540595703157925
shape_aniso,0.3507887570725943,0.21688357012365173
Rg,360.869087008126,53.64162917248285
ehex_kappa,0.32150807651516283,0.01646169103813214
ehex_kappa_x,0.33936259246620076,
ehex_kappa_y,0.31822877984887055,
ehex_kappa_z,0.30693285723041736,
lav_kappa,0.4221358094900349,0.009841443412890977
lav_kappa_x,0.42308780282179637,
lav_kappa_y,0.43146666195990335,
lav_kappa_z,0.4118529636884048,
