,pE_fb_aligned,pE_fb_aligned_fiber,pE_fb_fiber,pE_fb_mean,pE_fb_std
TotEng,15108.640633333333,14751.588266666668,16509.97883333333,15456.735911111109,929.4418153085046
Density,0.836361509,0.8560051729999999,0.8476648486666666,0.8466771768888889,0.009859006313604202
Mn,5608.275675664005,5608.275675664005,5608.275675664004,5608.275675664005,6.431098710768743e-13
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0000000000000002,1.0,1.5700924586837752e-16
%mm,0.0,0.0,0.0,0.0,0.0
herman_x,0.0297469294483562,-0.0014390085109397955,-0.07587227747221632,-0.01585478551159997,0.054265230005338144
herman_y,0.007888204488549705,-0.09223416549738549,-0.07497178962389102,-0.0531059168775756,0.05352298138294118
herman_z,-0.037635133936905873,0.09367317400832528,0.15084406709610734,0.06896070238917558,0.09663918457673477
herman_avg,-0.03590136897269644,0.0935169470122803,0.14999759935586124,0.06920439246514837,0.09530441667551914
shape_aniso,0.9451928699632572,0.9999487257755487,0.9980043174984295,0.9810486377457451,0.031067221364982207
Rg,1160.1242805058923,12033.284657215867,2774.1870729229113,5322.532003548223,5867.448385669595
ehex_kappa,0.32911487666666667,1.2497916533333335,0.5748287400000001,0.7179117566666667,0.4767242326724708
ehex_kappa_x,0.28759103,0.28014176,0.21116241,0.25963173333333334,0.0421405906956302
ehex_kappa_y,0.28845854,0.2030233,0.20490771,0.23212984999999997,0.04879117479728377
ehex_kappa_z,0.41129506,3.2662099,1.3084161,1.661973686666667,1.459927022570041
lav_kappa,0.4519471466666667,0.7171609233333333,0.7297601033333333,0.6329560577777777,0.15688484394737012
lav_kappa_x,0.45153584,0.40219249,0.32168775,0.39180536,0.06554426726564042
lav_kappa_y,0.43266874,0.24195098,0.30159706,0.32540559333333335,0.0975625475757359
lav_kappa_z,0.47163686,1.5073393,1.5659955,1.18165722,0.6155946890288343
