,mean,std
TotEng,14751.588266666668,117.55028411791399
Density,0.8560051729999999,0.003482450153486517
Mn,5608.275675664005,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.0,0.0
herman_x,-0.0014390085109397955,0.007088243139988054
herman_y,-0.09223416549738549,0.005785121037577163
herman_z,0.09367317400832528,0.006453359185202061
herman_avg,0.0935169470122803,0.0064763339749388344
shape_aniso,0.9999487257755487,7.290113769950395e-05
Rg,12033.284657215867,5090.588022915409
ehex_kappa,1.2497916533333335,1.7466950859654637
ehex_kappa_x,0.28014176,
ehex_kappa_y,0.2030233,
ehex_kappa_z,3.2662099,
lav_kappa,0.7171609233333333,0.6889889226942958
lav_kappa_x,0.40219249,
lav_kappa_y,0.24195098,
lav_kappa_z,1.5073393,
