,mean,std
TotEng,129802.342,210.14232120488916
Density,1.05626761,0.0017356896976269433
Mn,20012.501549264336,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.5080808080808081,0.02655240288504024
herman_x,-0.0006757152712097909,0.00171187020608962
herman_y,0.009595762285019507,0.0017724438503722124
herman_z,-0.008920047013809706,0.0014782715128821328
herman_avg,0.015252744484472376,0.0014446553065741456
shape_aniso,0.3910244149801357,0.19438122085894807
Rg,675.2390876674965,114.62725512952571
ehex_kappa,0.20542901061563343,0.01959856672383946
ehex_kappa_x,0.204425993062705,
ehex_kappa_y,0.22550982695059357,
ehex_kappa_z,0.18635121183360173,
lav_kappa,0.2354125284641773,0.007128138201525328
lav_kappa_x,0.23814031352940598,
lav_kappa_y,0.24077394229621885,
lav_kappa_z,0.22732332956690704,
