,mean,std
TotEng,58714.44776666667,191.65946773301528
Density,1.0161511466666668,0.0019360782113607418
Mn,20814.5357012643,0.0
DPn,200.0,0.0
PDI,0.9999999999999998,0.0
%mm,0.49343434343434345,0.02454046588536635
herman_x,0.0040429266328508885,0.002462201947625243
herman_y,-0.004271629511416528,0.0019330692327897993
herman_z,0.00022870287856563063,0.0020621201285996914
herman_avg,0.007812634511234451,0.003023720851099367
shape_aniso,0.3867253898351547,0.25981242926810016
Rg,643.4610261102919,223.2527055468469
ehex_kappa,0.17883775699954793,0.006256317600589037
ehex_kappa_x,0.17337339848928793,
ehex_kappa_y,0.18566225826949445,
ehex_kappa_z,0.1774776142398614,
lav_kappa,0.22979557496148786,0.0012809048846651211
lav_kappa_x,0.22919184073299081,
lav_kappa_y,0.22892810634141336,
lav_kappa_z,0.23126677781005942,
